"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"2-h glucose"	"ADM_CVDI"	"Inverse variance weighted"	-0.160983112899022	0.0652917555529568	0.0136785389305133	7
"2-h glucose"	"AGRP_CVDI"	"Inverse variance weighted"	-0.136448890302269	0.0752262785725297	0.0697014263678852	7
"2-h glucose"	"CA-125_CVDI"	"Inverse variance weighted"	-0.233933733696733	0.102195638823664	0.0220748519870679	7
"2-h glucose"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.050837186254379	0.0793956972516043	0.521976587655465	7
"2-h glucose"	"CCL20_CVDI"	"Inverse variance weighted"	-0.116946718281038	0.0706176417727255	0.0977106251882071	7
"2-h glucose"	"CCL3_CVDI"	"Inverse variance weighted"	-0.182692014583479	0.0660443151871263	0.00567131349436128	7
"2-h glucose"	"CCL4_CVDI"	"Inverse variance weighted"	-0.0829713338801489	0.0836236298078285	0.321100156903276	7
"2-h glucose"	"CD40_CVDI"	"Inverse variance weighted"	-0.00496196793838643	0.0701429855732738	0.943604082215435	7
"2-h glucose"	"CD40-L_CVDI"	"Inverse variance weighted"	0.000286802619191397	0.0848908138995163	0.997304361496709	7
"2-h glucose"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.0828836295187094	0.105001235757942	0.429902439754775	7
"2-h glucose"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.19483435418166	0.109846251162104	0.0761126983207883	7
"2-h glucose"	"CSTB_CVDI"	"Inverse variance weighted"	-0.0346216158449774	0.059486214282551	0.560559443846259	7
"2-h glucose"	"CTSD_CVDI"	"Inverse variance weighted"	0.0104981549115574	0.0589821991936798	0.858731983900121	7
"2-h glucose"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.239244065089091	0.117530345223323	0.0417911411882523	7
"2-h glucose"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.0250721388496474	0.0905704075313586	0.781914604348913	7
"2-h glucose"	"CXCL1_CVDI"	"Inverse variance weighted"	0.0619659588416034	0.0901613483453771	0.491907226541804	7
"2-h glucose"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.115057919800915	0.0737998579414722	0.118983740646292	7
"2-h glucose"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.0443269369525334	0.0927329294389967	0.632645625383994	7
"2-h glucose"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.0462137142210527	0.0664173766562897	0.486549340655942	7
"2-h glucose"	"ECP_CVDI"	"Inverse variance weighted"	-0.168919466226895	0.0938963377064405	0.0720187570392322	7
"2-h glucose"	"EGF_CVDI"	"Inverse variance weighted"	0.0644882314718448	0.0918169012545394	0.482456634811814	7
"2-h glucose"	"EN-RAGE_CVDI"	"Inverse variance weighted"	-0.0171680364001537	0.0796881454680142	0.829424068071368	7
"2-h glucose"	"ESM-1_CVDI"	"Inverse variance weighted"	-0.22205146389057	0.0965993918389323	0.0215228971096573	7
"2-h glucose"	"FABP4_CVDI"	"Inverse variance weighted"	-0.0800515130645893	0.0581247548697453	0.168439251555046	7
"2-h glucose"	"FAS_CVDI"	"Inverse variance weighted"	-0.174692062376569	0.0725230146556457	0.0160058977488616	7
"2-h glucose"	"FGF-23_CVDI"	"Inverse variance weighted"	-0.221934422699541	0.0661124294156076	0.000788146801168921	7
"2-h glucose"	"FS_CVDI"	"Inverse variance weighted"	0.00240769771690772	0.116907224956767	0.983568773949345	7
"2-h glucose"	"GAL_CVDI"	"Inverse variance weighted"	-0.258669026298873	0.092993698238484	0.00540956861060283	7
"2-h glucose"	"Gal-3_CVDI"	"Inverse variance weighted"	0.0406420561368431	0.0651186713326573	0.532546854222022	7
"2-h glucose"	"GDF-15_CVDI"	"Inverse variance weighted"	-0.138495987027289	0.0830104088461777	0.0952329526113743	7
"2-h glucose"	"HB-EGF_CVDI"	"Inverse variance weighted"	-0.08781484722462	0.0662730765666655	0.185156033851295	7
"2-h glucose"	"HGF_CVDI"	"Inverse variance weighted"	-0.120194823154149	0.0954785722226358	0.208078377451978	7
"2-h glucose"	"hK11_CVDI"	"Inverse variance weighted"	-0.225498415610712	0.117008082134475	0.0539542418231863	7
"2-h glucose"	"HSP_27_CVDI"	"Inverse variance weighted"	0.0336346101226378	0.0714157462749475	0.637662797467599	7
"2-h glucose"	"IL-18_CVDI"	"Inverse variance weighted"	-0.0386897750001542	0.0662376521502698	0.559149354271073	7
"2-h glucose"	"IL-1ra_CVDI"	"Inverse variance weighted"	-0.0578016336389223	0.0662730765666655	0.383113631087988	7
"2-h glucose"	"IL-27_CVDI"	"Inverse variance weighted"	-0.108218546965815	0.077667040493569	0.163509400825384	7
"2-h glucose"	"IL-6_CVDI"	"Inverse variance weighted"	-0.202193228467806	0.0767717848357797	0.00844620897433668	7
"2-h glucose"	"IL-6RA_CVDI"	"Inverse variance weighted"	-0.000873823454155237	0.0587702952569927	0.988137126895128	7
"2-h glucose"	"IL-8_CVDI"	"Inverse variance weighted"	-0.198966617895974	0.0704721893865962	0.00475268423161135	7
"2-h glucose"	"IL16_CVDI"	"Inverse variance weighted"	-0.0506882892214792	0.0662376521502698	0.444123357202408	7
"2-h glucose"	"ITGB1BP2_CVDI"	"Inverse variance weighted"	-0.145119203214169	0.13851310343912	0.294780092565618	7
"2-h glucose"	"KIM-1_CVDI"	"Inverse variance weighted"	0.131392988367489	0.0654294682306099	0.0446260526792855	7
"2-h glucose"	"KLK6_CVDI"	"Inverse variance weighted"	-0.119870298117693	0.108742091617884	0.270315720669288	7
"2-h glucose"	"LEP_CVDI"	"Inverse variance weighted"	-0.122420801698705	0.0850685663355139	0.150126761372304	7
"2-h glucose"	"LOX-1_CVDI"	"Inverse variance weighted"	-0.0338959646726773	0.0664173766562897	0.609807792806168	7
"2-h glucose"	"mAmP_CVDI"	"Inverse variance weighted"	-0.168415203658518	0.128171995710203	0.188853552491811	7
"2-h glucose"	"MB_CVDI"	"Inverse variance weighted"	-0.075420997832447	0.0763411627437991	0.323178765145348	7
"2-h glucose"	"MCP-1_CVDI"	"Inverse variance weighted"	-0.0886367911127355	0.0588134166302636	0.131788988295826	7
"2-h glucose"	"MMP-1_CVDI"	"Inverse variance weighted"	-0.0740800062268372	0.0720115822208826	0.303609628166512	7
"2-h glucose"	"MMP-10_CVDI"	"Inverse variance weighted"	-0.12614677202198	0.140908496889778	0.370659378115418	7
"2-h glucose"	"MMP-12_CVDI"	"Inverse variance weighted"	-0.0677595335311909	0.0758606432235606	0.371744382290967	7
"2-h glucose"	"MMP-3_CVDI"	"Inverse variance weighted"	-0.061089296162992	0.058231245243722	0.294140814924983	7
"2-h glucose"	"MMP-7_CVDI"	"Inverse variance weighted"	-0.114132151105652	0.0677161858322692	0.0919020523161811	7
"2-h glucose"	"MPO_CVDI"	"Inverse variance weighted"	0.0207874831485526	0.0588134166302636	0.723752623087288	7
"2-h glucose"	"NT-pro_BNP_CVDI"	"Inverse variance weighted"	0.0293701578824159	0.103453881045305	0.776489971827251	7
