"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Eczema"	"ADM_CVDI"	"Inverse variance weighted"	-0.0238055834452801	0.0296037322524761	0.421315380737267	11
"Eczema"	"AGRP_CVDI"	"Inverse variance weighted"	0.0465859940855917	0.0403133777547124	0.247846282446856	11
"Eczema"	"CA-125_CVDI"	"Inverse variance weighted"	-0.0281455977480177	0.0377596132214184	0.456036633239217	11
"Eczema"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.0230472102175305	0.0427776296981744	0.590047071959122	11
"Eczema"	"CCL20_CVDI"	"Inverse variance weighted"	0.0357339636592623	0.0400975158244744	0.372834491546063	11
"Eczema"	"CCL3_CVDI"	"Inverse variance weighted"	0.0105071134050376	0.026230381293754	0.688736468032256	11
"Eczema"	"CCL4_CVDI"	"Inverse variance weighted"	-0.0463192267652216	0.0282002573662858	0.100484193643451	11
"Eczema"	"CD40_CVDI"	"Inverse variance weighted"	0.0112958566552841	0.0279509214761117	0.686115789948507	11
"Eczema"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.0229879752007289	0.0329028897540533	0.484763734759202	11
"Eczema"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.00474912037901818	0.0243713663797874	0.845498825360053	11
"Eczema"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.0192905715089992	0.0280479950659685	0.491597587219361	11
"Eczema"	"CSTB_CVDI"	"Inverse variance weighted"	-0.00343205193666662	0.0316923845816262	0.91376356215299	11
"Eczema"	"CTSD_CVDI"	"Inverse variance weighted"	-0.0162019196418974	0.0348176688010688	0.641690757163122	11
"Eczema"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.0178911747177468	0.0293790992356255	0.542540157907851	11
"Eczema"	"CX3CL1_CVDI"	"Inverse variance weighted"	0.00932586923970671	0.0312678728265979	0.765506842505871	11
"Eczema"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0419440260351561	0.0269302218735826	0.119350010563621	11
"Eczema"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.0248113377256172	0.0239137375640674	0.29948663146231	11
"Eczema"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.0352397192551637	0.0282130801231326	0.211644563139646	11
"Eczema"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.0247101767856507	0.0294863488472644	0.402018961989385	11
