"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Prostate cancer"	"ADM_CVDI"	"Inverse variance weighted"	0.00536406776048234	0.00423263472422825	0.205043837300985	71
"Prostate cancer"	"AGRP_CVDI"	"Inverse variance weighted"	-0.00224724041459158	0.00432375073029579	0.603242512496953	71
"Prostate cancer"	"CA-125_CVDI"	"Inverse variance weighted"	-0.0115652691337044	0.0126316768675782	0.359888952043511	56
"Prostate cancer"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.00466279396689778	0.00459553858529296	0.310279882766967	70
"Prostate cancer"	"CCL20_CVDI"	"Inverse variance weighted"	1.29279470769476e-05	0.00429041917891802	0.997595807463948	70
"Prostate cancer"	"CCL3_CVDI"	"Inverse variance weighted"	0.00514289496645267	0.00455475623429961	0.258844566289912	71
"Prostate cancer"	"CCL4_CVDI"	"Inverse variance weighted"	-0.00140948095997084	0.00452118392398394	0.755230211066299	70
"Prostate cancer"	"CD40_CVDI"	"Inverse variance weighted"	-0.000809158875091988	0.00428912574364655	0.850364345382951	70
"Prostate cancer"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.00390563360485071	0.00453800322555083	0.389430701897181	71
"Prostate cancer"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.00590745777639973	0.00432703628236884	0.172176558185666	71
"Prostate cancer"	"CSF-1_CVDI"	"Inverse variance weighted"	0.00700152712483333	0.00427050553325475	0.101107547897274	70
"Prostate cancer"	"CSTB_CVDI"	"Inverse variance weighted"	-0.00447340172913833	0.00424891920847732	0.292417605359816	70
"Prostate cancer"	"CTSD_CVDI"	"Inverse variance weighted"	0.00341125525918764	0.00429559282117421	0.427120278551329	70
"Prostate cancer"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.00664101267904822	0.00450836862932646	0.140739930211334	71
"Prostate cancer"	"CX3CL1_CVDI"	"Inverse variance weighted"	0.00233264071959345	0.00428111579047537	0.585844672380011	70
"Prostate cancer"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.00225735163556737	0.00856252457886742	0.792063844128532	71
