"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"SLE"	"ADM_CVDI"	"Inverse variance weighted"	-0.00233906326250377	0.00810573723704519	0.772911336900854	35
"SLE"	"AGRP_CVDI"	"Inverse variance weighted"	-0.0105220309094389	0.00775237305552374	0.174696766165534	35
"SLE"	"CA-125_CVDI"	"Inverse variance weighted"	0.00152330585686426	0.0102705058572657	0.882091428707971	35
"SLE"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.000882260334574013	0.00873100255164997	0.919511448480405	35
"SLE"	"CCL20_CVDI"	"Inverse variance weighted"	-0.00550436607811361	0.00786083120098452	0.483785566027645	35
"SLE"	"CCL3_CVDI"	"Inverse variance weighted"	-4.43947174744271e-05	0.00972223693213355	0.996356626895241	35
"SLE"	"CCL4_CVDI"	"Inverse variance weighted"	0.00787018346487107	0.00780496001069183	0.313283267735918	35
"SLE"	"CD40_CVDI"	"Inverse variance weighted"	0.00166850054671495	0.0070511485512139	0.81294524569746	35
"SLE"	"CD40-L_CVDI"	"Inverse variance weighted"	0.00371819919777141	0.00695548224715955	0.59294653165492	35
"SLE"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.00524558944655463	0.00649906014962275	0.419591321324238	35
"SLE"	"CSF-1_CVDI"	"Inverse variance weighted"	0.00511158466041085	0.00771944176259287	0.507862119827774	35
"SLE"	"CSTB_CVDI"	"Inverse variance weighted"	-0.00982651488930807	0.0067071095254302	0.142896535651096	35
"SLE"	"CTSD_CVDI"	"Inverse variance weighted"	-0.00941799535087426	0.00754230441020941	0.21177870991998	35
"SLE"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.00460391259318784	0.00643691409973782	0.474463237151968	35
"SLE"	"CX3CL1_CVDI"	"Inverse variance weighted"	0.00199913727492067	0.00906372933730541	0.825431515497447	35
"SLE"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.00128021931203727	0.00739697703138656	0.862593802466431	35
