"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Age at menarche"	"ADM_CVDI"	"Inverse variance weighted"	-0.0805687048205485	0.0384827832287168	0.0362929637137037	113
"Age at menarche"	"AGRP_CVDI"	"Inverse variance weighted"	0.0328074475650802	0.0430645631225915	0.446167413031654	113
"Age at menarche"	"CA-125_CVDI"	"Inverse variance weighted"	0.0681170753655614	0.0601421325238145	0.257381597545433	113
"Age at menarche"	"CASP-8_CVDI"	"Inverse variance weighted"	0.00954061250972386	0.0447396246950706	0.831133931160272	113
"Age at menarche"	"CCL20_CVDI"	"Inverse variance weighted"	-0.0311283652113429	0.0414457469100358	0.452614767970907	113
"Age at menarche"	"CCL3_CVDI"	"Inverse variance weighted"	0.00143808667634825	0.0402175595257033	0.971475576897382	113
"Age at menarche"	"CCL4_CVDI"	"Inverse variance weighted"	-0.0144995385015644	0.0415523350026838	0.727129535482151	113
"Age at menarche"	"CD40_CVDI"	"Inverse variance weighted"	0.0564435518259127	0.0450802695613144	0.210545176716412	113
"Age at menarche"	"CD40-L_CVDI"	"Inverse variance weighted"	0.0180570718228237	0.0394342247013711	0.647021730112649	113
"Age at menarche"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.013033109575219	0.038563609874351	0.735390361410723	113
"Age at menarche"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.000170067809791793	0.044449556997561	0.996947232822585	113
"Age at menarche"	"CSTB_CVDI"	"Inverse variance weighted"	-0.0233736322883413	0.0393553272818051	0.552570443045739	113
"Age at menarche"	"CTSD_CVDI"	"Inverse variance weighted"	-0.0205520122258107	0.0389183171136445	0.597443324284173	113
"Age at menarche"	"CTSL1_CVDI"	"Inverse variance weighted"	0.043754687844221	0.0386635034544925	0.257769272924801	113
"Age at menarche"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.00325331298372031	0.0416283374241909	0.93770761833024	113
"Age at menarche"	"CXCL1_CVDI"	"Inverse variance weighted"	0.0574965872912645	0.0527791505315177	0.275986044256429	113
"Age at menarche"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.0489586488528232	0.0389544483158635	0.208819574194348	113
"Age at menarche"	"CXCL6_CVDI"	"Inverse variance weighted"	0.0385322355632997	0.0495100808889622	0.436409560874257	113
"Age at menarche"	"Dkk-1_CVDI"	"Inverse variance weighted"	0.0281376668299776	0.0529465637729629	0.595117245951717	113
"Age at menarche"	"ECP_CVDI"	"Inverse variance weighted"	-0.11605652530605	0.0564238266028381	0.0396986487194199	113
"Age at menarche"	"EGF_CVDI"	"Inverse variance weighted"	0.0895624187861918	0.0554612240907186	0.106339819359381	113
"Age at menarche"	"EN-RAGE_CVDI"	"Inverse variance weighted"	-0.0917629596687894	0.0446845469913336	0.0400170799890833	113
"Age at menarche"	"ESM-1_CVDI"	"Inverse variance weighted"	0.0489846539708022	0.0599630111305521	0.413977283990908	113
"Age at menarche"	"FABP4_CVDI"	"Inverse variance weighted"	-0.0183720125683793	0.0437787453629915	0.674736782506419	113
"Age at menarche"	"FAS_CVDI"	"Inverse variance weighted"	0.00967661113557336	0.0367832288589817	0.792495638948534	113
"Age at menarche"	"FGF-23_CVDI"	"Inverse variance weighted"	-0.0639525816399233	0.0399069591781516	0.10903578853707	113
"Age at menarche"	"FS_CVDI"	"Inverse variance weighted"	-0.0345653189788268	0.0415448522406329	0.405408918494369	113
"Age at menarche"	"GAL_CVDI"	"Inverse variance weighted"	0.190977819128505	0.0558161769635039	0.000622653618437721	113
"Age at menarche"	"Gal-3_CVDI"	"Inverse variance weighted"	0.0027051306836528	0.0385684434894845	0.944083466704159	113
"Age at menarche"	"GDF-15_CVDI"	"Inverse variance weighted"	-0.0618567396382189	0.0364179513930428	0.0894090354900746	113
"Age at menarche"	"HB-EGF_CVDI"	"Inverse variance weighted"	0.07440211116166	0.0577174091666078	0.197371761305129	113
