"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"All stroke"	"ADM_CVDI"	"Inverse variance weighted"	-0.0247697212786536	0.0704703671277983	0.725219794773961	8
"All stroke"	"AGRP_CVDI"	"Inverse variance weighted"	0.111381888854735	0.105836230023171	0.292616760361295	8
"All stroke"	"CA-125_CVDI"	"Inverse variance weighted"	0.114615698822988	0.0882393992655082	0.193972247448507	8
"All stroke"	"CASP-8_CVDI"	"Inverse variance weighted"	0.0803255236389767	0.0859945313033508	0.350264116251156	8
"All stroke"	"CCL20_CVDI"	"Inverse variance weighted"	-0.0822666662778345	0.0658265648324393	0.211391347565701	8
"All stroke"	"CCL3_CVDI"	"Inverse variance weighted"	0.120460050053141	0.126875950197449	0.342401090209549	8
"All stroke"	"CCL4_CVDI"	"Inverse variance weighted"	0.0266483082493623	0.0658265648324393	0.685605378787175	8
"All stroke"	"CD40_CVDI"	"Inverse variance weighted"	0.00602451332893036	0.0653082174992681	0.926501478006144	8
"All stroke"	"CD40-L_CVDI"	"Inverse variance weighted"	0.0665391171901962	0.0630139464972905	0.290994391413432	8
"All stroke"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.103773962641844	0.0550345851156733	0.0593470421933908	8
"All stroke"	"CSF-1_CVDI"	"Inverse variance weighted"	0.0435808200893365	0.0817815244275908	0.59410749711704	8
"All stroke"	"CSTB_CVDI"	"Inverse variance weighted"	0.0698487643106047	0.0609171379514721	0.251539008318579	8
"All stroke"	"CTSD_CVDI"	"Inverse variance weighted"	0.146863654074139	0.0760912423939403	0.0535945345409399	8
"All stroke"	"CTSL1_CVDI"	"Inverse variance weighted"	0.139554055345941	0.0615707568767384	0.0234168789634645	8
"All stroke"	"CX3CL1_CVDI"	"Inverse variance weighted"	0.120147165886313	0.0687069379593317	0.0803445426506777	8
"All stroke"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.102443371832796	0.0758130495337442	0.176611186871079	8
