"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Alzheimer"	"ADM_CVDI"	"Inverse variance weighted"	-0.0202570361669866	0.0114509731545494	0.0768900176770315	13
"Alzheimer"	"AGRP_CVDI"	"Inverse variance weighted"	0.0565690973196986	0.0116308455583184	1.15203796056832e-06	13
"Alzheimer"	"CA-125_CVDI"	"Inverse variance weighted"	0.00398429084670347	0.0169304174978875	0.813950059057074	13
"Alzheimer"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.0142420154532192	0.0136284799748229	0.296014359865087	13
"Alzheimer"	"CCL20_CVDI"	"Inverse variance weighted"	-0.0109845618541399	0.0164567911277555	0.504466243616674	13
"Alzheimer"	"CCL3_CVDI"	"Inverse variance weighted"	-0.00741956466080338	0.0128334817036398	0.563168785367796	13
"Alzheimer"	"CCL4_CVDI"	"Inverse variance weighted"	-0.0236579908173335	0.0123893279089537	0.0561917012219734	13
"Alzheimer"	"CD40_CVDI"	"Inverse variance weighted"	0.0260421060210512	0.0123614369405295	0.0351417200781677	13
"Alzheimer"	"CD40-L_CVDI"	"Inverse variance weighted"	0.0102057726109033	0.0116319890955826	0.380275697163794	13
"Alzheimer"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.00294891580871026	0.0125185142274167	0.81377073078351	13
"Alzheimer"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.00457315260888387	0.0170551029148746	0.788591678502432	13
"Alzheimer"	"CSTB_CVDI"	"Inverse variance weighted"	-0.00486469384515703	0.0112564894044182	0.665619358239134	13
"Alzheimer"	"CTSD_CVDI"	"Inverse variance weighted"	-0.00241023224898976	0.0123974633760652	0.845852246237697	13
"Alzheimer"	"CTSL1_CVDI"	"Inverse variance weighted"	0.00497348985586628	0.0183331653324106	0.786172802999154	13
"Alzheimer"	"CX3CL1_CVDI"	"Inverse variance weighted"	0.0381721780040767	0.0144762928959492	0.0083673604414236	13
"Alzheimer"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.00200888178405328	0.0119354439621151	0.866337613769519	13
"Alzheimer"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.0110212984007817	0.015400707657885	0.474216235743737	13
"Alzheimer"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.00215696933668286	0.0136702188167124	0.874625419859902	13
"Alzheimer"	"Dkk-1_CVDI"	"Inverse variance weighted"	0.0122920452699799	0.0116316830359314	0.290615329318076	13
"Alzheimer"	"ECP_CVDI"	"Inverse variance weighted"	-0.00590668254611327	0.0165582905541447	0.721301018209705	13
"Alzheimer"	"EGF_CVDI"	"Inverse variance weighted"	0.0191769868405264	0.0161362585791452	0.234659819841534	13
"Alzheimer"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.00780378330921752	0.0143265363254757	0.585954152453218	13
"Alzheimer"	"ESM-1_CVDI"	"Inverse variance weighted"	0.0411667875106296	0.0161140914225679	0.0106277115077668	13
"Alzheimer"	"FABP4_CVDI"	"Inverse variance weighted"	0.000142730854380147	0.0109297976894789	0.9895808219364	13
"Alzheimer"	"FAS_CVDI"	"Inverse variance weighted"	-0.0119492429601053	0.0117081026338225	0.307445875480252	13
"Alzheimer"	"FGF-23_CVDI"	"Inverse variance weighted"	0.0117307899711057	0.012044401959762	0.330075401207713	13
"Alzheimer"	"FS_CVDI"	"Inverse variance weighted"	-0.012136882132566	0.0153851694925405	0.430188619210404	13
"Alzheimer"	"GAL_CVDI"	"Inverse variance weighted"	-0.00624635594585121	0.0164526173676858	0.704199836008058	13
"Alzheimer"	"Gal-3_CVDI"	"Inverse variance weighted"	0.0242984418535055	0.0101881813119263	0.0170808100689069	13
"Alzheimer"	"GDF-15_CVDI"	"Inverse variance weighted"	0.00310433272716297	0.0124527972049087	0.803138024326314	13
"Alzheimer"	"HB-EGF_CVDI"	"Inverse variance weighted"	0.0130903456986094	0.0127194731894107	0.303405504769014	13
"Alzheimer"	"HGF_CVDI"	"Inverse variance weighted"	-0.0254532956357301	0.0123049834632058	0.0385896920585638	13
"Alzheimer"	"hK11_CVDI"	"Inverse variance weighted"	0.0190401720424895	0.0194649585668868	0.327986859308361	13
"Alzheimer"	"HSP_27_CVDI"	"Inverse variance weighted"	-0.0020101661607567	0.0123950680029364	0.871168299930996	13
"Alzheimer"	"IL-18_CVDI"	"Inverse variance weighted"	-0.0239610541655023	0.0171347634519686	0.161996469615486	13
"Alzheimer"	"IL-1ra_CVDI"	"Inverse variance weighted"	-0.0355973799506815	0.0140816084680969	0.0114735845817045	13
"Alzheimer"	"IL-27_CVDI"	"Inverse variance weighted"	0.0174146873216735	0.0168997784948461	0.302790189431546	13
"Alzheimer"	"IL-6_CVDI"	"Inverse variance weighted"	0.00261200028972308	0.0173599218351782	0.880400504796648	13
"Alzheimer"	"IL-6RA_CVDI"	"Inverse variance weighted"	0.0111486990720387	0.0109640544445375	0.309229118226685	13
"Alzheimer"	"IL-8_CVDI"	"Inverse variance weighted"	-0.0165520765097251	0.0123752224221404	0.181053775062399	13
"Alzheimer"	"IL16_CVDI"	"Inverse variance weighted"	-0.0185012695366629	0.0120026899871818	0.123212914849303	13
