"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Asthma"	"ADM_CVDI"	"Inverse variance weighted"	-0.0066183033704251	0.0309402991923113	0.83062067042802	13
"Asthma"	"AGRP_CVDI"	"Inverse variance weighted"	0.00457424768981699	0.0270557027314645	0.865743325204906	13
"Asthma"	"CA-125_CVDI"	"Inverse variance weighted"	-0.0208678754031734	0.0388021896511824	0.59071410332545	13
"Asthma"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.00774987797435463	0.0392959667303667	0.843656825638051	13
"Asthma"	"CCL20_CVDI"	"Inverse variance weighted"	-0.010766631821546	0.0276764740312986	0.697263225373509	13
"Asthma"	"CCL3_CVDI"	"Inverse variance weighted"	0.0300128760263834	0.0257855483753349	0.244447622974141	13
"Asthma"	"CCL4_CVDI"	"Inverse variance weighted"	0.0759582798010536	0.0358848865355844	0.0342835645153782	13
"Asthma"	"CD40_CVDI"	"Inverse variance weighted"	0.0232774310681977	0.0318384221340343	0.464711155996669	13
"Asthma"	"CD40-L_CVDI"	"Inverse variance weighted"	0.0241287245861267	0.0258911261032926	0.351372554017136	13
"Asthma"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.0106700257411118	0.0280290890385831	0.703443037736463	13
"Asthma"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.00748689584862975	0.0307319167056785	0.807525482428499	13
"Asthma"	"CSTB_CVDI"	"Inverse variance weighted"	-0.00186887072613005	0.0287253004952377	0.948126154130989	13
"Asthma"	"CTSD_CVDI"	"Inverse variance weighted"	-0.0368151587183131	0.0234336480296107	0.116173751198487	13
"Asthma"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.0403864356300189	0.0398171496819284	0.310440813607771	13
"Asthma"	"CX3CL1_CVDI"	"Inverse variance weighted"	0.00732384184107644	0.0352893917703982	0.835590779923126	13
"Asthma"	"CXCL1_CVDI"	"Inverse variance weighted"	0.0329115921624495	0.027679315817335	0.234427076060955	13
"Asthma"	"CXCL16_CVDI"	"Inverse variance weighted"	0.0101422089128218	0.0361682018134413	0.779156954012036	13
"Asthma"	"CXCL6_CVDI"	"Inverse variance weighted"	0.0292295227278295	0.0291684540989805	0.316298362923032	13
"Asthma"	"Dkk-1_CVDI"	"Inverse variance weighted"	0.033740171012719	0.0276867082229141	0.222980299083912	13
"Asthma"	"ECP_CVDI"	"Inverse variance weighted"	0.207667539978845	0.041383063236225	5.21640808583527e-07	13
"Asthma"	"EGF_CVDI"	"Inverse variance weighted"	0.040583253705152	0.0431219206941403	0.34663918827795	13
"Asthma"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.0368125727961602	0.034413564704374	0.284749360050947	13
