"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Atrial fibrillation"	"ADM_CVDI"	"Inverse variance weighted"	0.0254482143508324	0.0182817671208937	0.163922488749592	73
"Atrial fibrillation"	"AGRP_CVDI"	"Inverse variance weighted"	0.0221830331342879	0.0206528889064661	0.282782960381254	73
"Atrial fibrillation"	"CA-125_CVDI"	"Inverse variance weighted"	0.0104931501987603	0.0278837355867229	0.70668053668767	73
"Atrial fibrillation"	"CASP-8_CVDI"	"Inverse variance weighted"	0.00809577631307716	0.0217016953822422	0.709112642174145	73
"Atrial fibrillation"	"CCL20_CVDI"	"Inverse variance weighted"	0.00940631764783915	0.0207869206675168	0.650900642569715	73
"Atrial fibrillation"	"CCL3_CVDI"	"Inverse variance weighted"	0.00828024784021886	0.0185253848527994	0.654898413384946	73
"Atrial fibrillation"	"CCL4_CVDI"	"Inverse variance weighted"	0.0160817694184341	0.0198664785250537	0.418231797876925	73
"Atrial fibrillation"	"CD40_CVDI"	"Inverse variance weighted"	-0.00146688064792784	0.0216358086353914	0.945945843715872	73
"Atrial fibrillation"	"CD40-L_CVDI"	"Inverse variance weighted"	0.00609883544941521	0.0199755398496527	0.760126119221785	73
"Atrial fibrillation"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.0217312140309157	0.0208122460077848	0.296413609521775	73
"Atrial fibrillation"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.00339524289745124	0.0197290271691574	0.863363801211587	73
"Atrial fibrillation"	"CSTB_CVDI"	"Inverse variance weighted"	-0.0127348731426303	0.0165930985797848	0.442796113824541	73
"Atrial fibrillation"	"CTSD_CVDI"	"Inverse variance weighted"	0.0321509604457188	0.0184965606492345	0.0821733057632036	73
"Atrial fibrillation"	"CTSL1_CVDI"	"Inverse variance weighted"	0.0242026576167331	0.0195112587639648	0.214810575593276	73
"Atrial fibrillation"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.00893811907376892	0.0198475920928954	0.652466955534192	73
"Atrial fibrillation"	"CXCL1_CVDI"	"Inverse variance weighted"	0.0179710097457893	0.0243378346004888	0.460272595826003	73
"Atrial fibrillation"	"CXCL16_CVDI"	"Inverse variance weighted"	0.00344461097239958	0.0163915570203717	0.833554160732243	73
"Atrial fibrillation"	"CXCL6_CVDI"	"Inverse variance weighted"	0.00535139387328098	0.0224326216569871	0.811451360338034	73
"Atrial fibrillation"	"Dkk-1_CVDI"	"Inverse variance weighted"	0.0346630636590997	0.0301424800760936	0.250154644670921	73
"Atrial fibrillation"	"ECP_CVDI"	"Inverse variance weighted"	-0.0218922085179851	0.028524001340824	0.4427835120675	73
"Atrial fibrillation"	"EGF_CVDI"	"Inverse variance weighted"	0.0245459466907276	0.0262417477969381	0.349593665617181	73
"Atrial fibrillation"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.0248106051122374	0.0216931945498349	0.252746189586329	73
"Atrial fibrillation"	"ESM-1_CVDI"	"Inverse variance weighted"	0.00209752569041431	0.0258224460951651	0.935260015162163	73
"Atrial fibrillation"	"FABP4_CVDI"	"Inverse variance weighted"	-0.00518546978608624	0.0161502616860818	0.748152404929327	73
"Atrial fibrillation"	"FAS_CVDI"	"Inverse variance weighted"	0.0112110409543051	0.0165950284917521	0.49931608375326	73
"Atrial fibrillation"	"FGF-23_CVDI"	"Inverse variance weighted"	0.030789194302339	0.0199172395789133	0.122139227727576	73
"Atrial fibrillation"	"FS_CVDI"	"Inverse variance weighted"	0.011412601245814	0.0189294257470804	0.54657344243321	73
"Atrial fibrillation"	"GAL_CVDI"	"Inverse variance weighted"	-0.00770530637737993	0.0317636045078192	0.808328551820694	73
"Atrial fibrillation"	"Gal-3_CVDI"	"Inverse variance weighted"	-0.00888050761316142	0.0180593060032599	0.622902198790843	73
"Atrial fibrillation"	"GDF-15_CVDI"	"Inverse variance weighted"	0.0189147648905627	0.0167229772777704	0.258027970933338	73
"Atrial fibrillation"	"HB-EGF_CVDI"	"Inverse variance weighted"	0.0466024361451637	0.031694445734051	0.141462648228947	73
"Atrial fibrillation"	"HGF_CVDI"	"Inverse variance weighted"	0.0150420151147927	0.0196984976042383	0.445098315597917	73
"Atrial fibrillation"	"hK11_CVDI"	"Inverse variance weighted"	-0.00811179682961794	0.0268730542645208	0.762761720867452	73
"Atrial fibrillation"	"HSP_27_CVDI"	"Inverse variance weighted"	0.0284926013887882	0.0220868969781589	0.197042730860028	73
"Atrial fibrillation"	"IL-18_CVDI"	"Inverse variance weighted"	0.000291544731450382	0.0185945124026215	0.987490421668356	73
"Atrial fibrillation"	"IL-1ra_CVDI"	"Inverse variance weighted"	-0.0104109364087256	0.018616505871604	0.576003741302313	73
"Atrial fibrillation"	"IL-27_CVDI"	"Inverse variance weighted"	0.0349073843317536	0.0200878473138913	0.082257264249167	73
"Atrial fibrillation"	"IL-6_CVDI"	"Inverse variance weighted"	0.000355709987391779	0.0215488475126055	0.986829800612905	73
"Atrial fibrillation"	"IL-6RA_CVDI"	"Inverse variance weighted"	0.013934871524424	0.0164117789581691	0.395838193965222	73
"Atrial fibrillation"	"IL-8_CVDI"	"Inverse variance weighted"	-0.0158105513373035	0.0197566252329806	0.423556818204437	73
"Atrial fibrillation"	"IL16_CVDI"	"Inverse variance weighted"	-0.0211687177469912	0.0194609667873075	0.276704328004209	73
"Atrial fibrillation"	"ITGB1BP2_CVDI"	"Inverse variance weighted"	0.0454237397186662	0.0381392089390162	0.23365418319946	73
"Atrial fibrillation"	"KIM-1_CVDI"	"Inverse variance weighted"	0.0279439329179711	0.0222582472370381	0.209318440480206	73
