"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"BMI"	"ADM_CVDI"	"Inverse variance weighted"	0.269651418531379	0.0428839115072868	3.21708317667143e-10	191
"BMI"	"AGRP_CVDI"	"Inverse variance weighted"	-0.0911171889638414	0.0493554032577699	0.064871277857901	191
"BMI"	"CA-125_CVDI"	"Inverse variance weighted"	-0.108637719946632	0.0624174331795673	0.0817707611718249	191
"BMI"	"CASP-8_CVDI"	"Inverse variance weighted"	0.108633792371435	0.051713829822645	0.0356697721802108	191
"BMI"	"CCL20_CVDI"	"Inverse variance weighted"	0.174697616231362	0.0476121367761161	0.000243327388767228	191
"BMI"	"CCL3_CVDI"	"Inverse variance weighted"	0.186089272284349	0.0452088230292314	3.85143694712318e-05	191
"BMI"	"CCL4_CVDI"	"Inverse variance weighted"	0.116687740337112	0.0492276290942049	0.0177702478406901	191
"BMI"	"CD40_CVDI"	"Inverse variance weighted"	0.00562194173043588	0.045694354384673	0.902080477080717	191
"BMI"	"CD40-L_CVDI"	"Inverse variance weighted"	0.0557930292187247	0.0432277938291636	0.196816425833332	191
"BMI"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.055131254974865	0.0385648802792547	0.152840031021352	191
"BMI"	"CSF-1_CVDI"	"Inverse variance weighted"	0.141617514463123	0.0476255668553277	0.0029436616678047	191
"BMI"	"CSTB_CVDI"	"Inverse variance weighted"	0.22218416421504	0.0396320150394286	2.0684223571063e-08	191
"BMI"	"CTSD_CVDI"	"Inverse variance weighted"	0.138362301933626	0.0390520565136683	0.000395569449229315	191
"BMI"	"CTSL1_CVDI"	"Inverse variance weighted"	0.0327391332536522	0.0460217171193627	0.476846041324768	191
"BMI"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.148952021239524	0.0485656715360336	0.00216202375256324	191
"BMI"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0231046405026757	0.0463888888304329	0.618438857938683	191
"BMI"	"CXCL16_CVDI"	"Inverse variance weighted"	0.0590144686695459	0.0411763520348181	0.151797075274918	191
"BMI"	"CXCL6_CVDI"	"Inverse variance weighted"	0.023229249664942	0.0461075693210417	0.6143980219847	191
"BMI"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.0138712490644234	0.0526317227825413	0.792124369610365	191
"BMI"	"ECP_CVDI"	"Inverse variance weighted"	0.137374120754557	0.0620184981953252	0.0267565815280736	191
"BMI"	"EGF_CVDI"	"Inverse variance weighted"	-0.0309191269053308	0.0612092129526931	0.613461597705546	191
"BMI"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.0726367124630835	0.0507803723501726	0.152599605500423	191
"BMI"	"ESM-1_CVDI"	"Inverse variance weighted"	-0.21785736251955	0.0700300783151099	0.00186510949183271	191
"BMI"	"FABP4_CVDI"	"Inverse variance weighted"	0.401762053571981	0.0383308501121012	1.05143754746721e-25	191
"BMI"	"FAS_CVDI"	"Inverse variance weighted"	0.208129339902091	0.0388382431078326	8.37411722761404e-08	191
"BMI"	"FGF-23_CVDI"	"Inverse variance weighted"	0.102139875900479	0.04399223384524	0.0202452902215668	191
"BMI"	"FS_CVDI"	"Inverse variance weighted"	0.0136278150186328	0.0477560468279822	0.775365951351851	191
"BMI"	"GAL_CVDI"	"Inverse variance weighted"	-0.277654993941071	0.0667358820340076	3.17544184018348e-05	191
"BMI"	"Gal-3_CVDI"	"Inverse variance weighted"	0.0486402686536113	0.0394021188856061	0.217032214415979	191
"BMI"	"GDF-15_CVDI"	"Inverse variance weighted"	0.20056252383927	0.0391259993714688	2.95856169715909e-07	191
"BMI"	"HB-EGF_CVDI"	"Inverse variance weighted"	0.0121945912036406	0.0547150096411842	0.823633029837948	191
"BMI"	"HGF_CVDI"	"Inverse variance weighted"	0.312391771962444	0.0492647577929832	2.28159969369627e-10	191
"BMI"	"hK11_CVDI"	"Inverse variance weighted"	-0.177753298381963	0.0620172718063407	0.0041544452365392	191
"BMI"	"HSP_27_CVDI"	"Inverse variance weighted"	0.0159174924346239	0.0463074185696122	0.73104539356994	191
"BMI"	"IL-18_CVDI"	"Inverse variance weighted"	0.0366723477401674	0.0459205348414728	0.424519752591026	191
"BMI"	"IL-1ra_CVDI"	"Inverse variance weighted"	0.315573715861721	0.0458760415035942	6.03440414707523e-12	191
"BMI"	"IL-27_CVDI"	"Inverse variance weighted"	-0.0430428333595264	0.0431909966400999	0.318973477987513	191
"BMI"	"IL-6_CVDI"	"Inverse variance weighted"	0.294917758088905	0.0521875067971105	1.594076270386e-08	191
"BMI"	"IL-6RA_CVDI"	"Inverse variance weighted"	0.0105201315926143	0.0389270413038598	0.786965978655102	191
"BMI"	"IL-8_CVDI"	"Inverse variance weighted"	0.10006820521183	0.045928318894118	0.0293472021222982	191
"BMI"	"IL16_CVDI"	"Inverse variance weighted"	0.121427055929568	0.0430255377602793	0.00476940977180841	191
"BMI"	"ITGB1BP2_CVDI"	"Inverse variance weighted"	0.124607410805059	0.0943775970318853	0.186732508289498	191
"BMI"	"KIM-1_CVDI"	"Inverse variance weighted"	0.186889331423858	0.0472500956345737	7.64317143712924e-05	191
"BMI"	"KLK6_CVDI"	"Inverse variance weighted"	-0.13651475941377	0.0416345806681601	0.00104220248639719	191
"BMI"	"LEP_CVDI"	"Inverse variance weighted"	0.570350341216924	0.0431330335942851	6.45890923726969e-40	191
"BMI"	"LOX-1_CVDI"	"Inverse variance weighted"	0.11022632218814	0.0431945056758696	0.0107149629029008	191
"BMI"	"mAmP_CVDI"	"Inverse variance weighted"	-0.00424299341613341	0.087261346542213	0.961218964338326	191
"BMI"	"MB_CVDI"	"Inverse variance weighted"	0.183550922327003	0.0384783662978092	1.84009393548041e-06	191
"BMI"	"MCP-1_CVDI"	"Inverse variance weighted"	0.0595815329755442	0.0415049779520442	0.15113686692672	191
"BMI"	"MMP-1_CVDI"	"Inverse variance weighted"	0.0802231473284985	0.0499676783422266	0.108383638254332	191
"BMI"	"MMP-10_CVDI"	"Inverse variance weighted"	-0.0507111596931121	0.05147953338758	0.324587629786155	191
"BMI"	"MMP-12_CVDI"	"Inverse variance weighted"	0.121496719006793	0.0447741434471693	0.00665672306402316	191
"BMI"	"MMP-3_CVDI"	"Inverse variance weighted"	-0.0951577329866911	0.0437106313527558	0.0294810991052186	191
"BMI"	"MMP-7_CVDI"	"Inverse variance weighted"	0.0656902242270369	0.0447307873593213	0.141949870455431	191
"BMI"	"MPO_CVDI"	"Inverse variance weighted"	0.151981320134593	0.0389772294663871	9.64976695801572e-05	191
"BMI"	"NT-pro_BNP_CVDI"	"Inverse variance weighted"	-0.00756009312285123	0.0765087570808209	0.921286400822703	191
"BMI"	"OPG_CVDI"	"Inverse variance weighted"	-0.0947877615556809	0.0523709222303394	0.0703064705559459	173
"BMI"	"PAPPA_CVDI"	"Inverse variance weighted"	-0.000843250059369984	0.0491700138255258	0.986317204900422	191
"BMI"	"PAR-1_CVDI"	"Inverse variance weighted"	0.0169822906677014	0.0464547374198989	0.714688658344745	191
"BMI"	"PDGF_subunit_B_CVDI"	"Inverse variance weighted"	-0.00565651883378846	0.0488573208861968	0.907829850367299	191
