"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Body fat %"	"ADM_CVDI"	"Inverse variance weighted"	0.478263331901872	0.0993600688275113	1.48357130139252e-06	10
"Body fat %"	"AGRP_CVDI"	"Inverse variance weighted"	-0.22341793667133	0.143865166373903	0.12043088436978	10
"Body fat %"	"CA-125_CVDI"	"Inverse variance weighted"	-0.0837396557738862	0.144394863667558	0.561958356212395	10
"Body fat %"	"CASP-8_CVDI"	"Inverse variance weighted"	0.211686767086892	0.120786924994125	0.0796769453831889	10
"Body fat %"	"CCL20_CVDI"	"Inverse variance weighted"	-0.0671842953502527	0.107695355698058	0.532734956549092	10
"Body fat %"	"CCL3_CVDI"	"Inverse variance weighted"	0.176250314792401	0.100608162061903	0.0797997645752187	10
"Body fat %"	"CCL4_CVDI"	"Inverse variance weighted"	0.0952922142656379	0.161766994049689	0.555813773507208	10
"Body fat %"	"CD40_CVDI"	"Inverse variance weighted"	0.000741816063684834	0.136691795815794	0.995669961936346	10
"Body fat %"	"CD40-L_CVDI"	"Inverse variance weighted"	0.111888498147651	0.153802369198202	0.46693056685156	10
"Body fat %"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.0183274084460156	0.0976569925591221	0.85113438035124	10
"Body fat %"	"CSF-1_CVDI"	"Inverse variance weighted"	0.240301234885027	0.10759960756017	0.0255297608127255	10
"Body fat %"	"CSTB_CVDI"	"Inverse variance weighted"	0.212515256419985	0.0925088220603312	0.0216049036978859	10
"Body fat %"	"CTSD_CVDI"	"Inverse variance weighted"	0.104281971282633	0.127048256620171	0.411756780600015	10
"Body fat %"	"CTSL1_CVDI"	"Inverse variance weighted"	0.00781326534726356	0.115626862999552	0.946125471106394	10
"Body fat %"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.114511070293333	0.153539339942771	0.455782610785217	10
"Body fat %"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0815804750345053	0.152239800581085	0.592049611141028	10
"Body fat %"	"CXCL16_CVDI"	"Inverse variance weighted"	0.125941406999654	0.104182119270352	0.22671733545518	10
"Body fat %"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.0341550993839327	0.148980315288942	0.818667507078575	10
"Body fat %"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.0299221674461973	0.156702289071371	0.848565439702493	10
"Body fat %"	"ECP_CVDI"	"Inverse variance weighted"	0.0663915079092979	0.167775985388259	0.692315139651583	10
"Body fat %"	"EGF_CVDI"	"Inverse variance weighted"	-0.0147335899636027	0.238032557269181	0.950644559597155	10
"Body fat %"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.0478753184988697	0.120814189662668	0.691904149281022	10
"Body fat %"	"ESM-1_CVDI"	"Inverse variance weighted"	-0.373397879714142	0.138811252509303	0.00714587900557827	10
"Body fat %"	"FABP4_CVDI"	"Inverse variance weighted"	0.389609248183884	0.0948491365365793	3.99665200150633e-05	10
"Body fat %"	"FAS_CVDI"	"Inverse variance weighted"	0.32352971318806	0.126503276411006	0.0105433347868266	10
"Body fat %"	"FGF-23_CVDI"	"Inverse variance weighted"	0.0318747394448283	0.100689728006546	0.751574482905383	10
"Body fat %"	"FS_CVDI"	"Inverse variance weighted"	-0.0503185731975664	0.102455943504259	0.623338745021157	10
"Body fat %"	"GAL_CVDI"	"Inverse variance weighted"	-0.339764858341017	0.190052517755999	0.0738176506049158	10
"Body fat %"	"Gal-3_CVDI"	"Inverse variance weighted"	-0.0780700389461242	0.0911055421529426	0.391489840328622	10
"Body fat %"	"GDF-15_CVDI"	"Inverse variance weighted"	0.112852661025242	0.126237644270121	0.371337967324166	10
"Body fat %"	"HB-EGF_CVDI"	"Inverse variance weighted"	0.0567498119025497	0.119088198296272	0.633692576871254	10
"Body fat %"	"HGF_CVDI"	"Inverse variance weighted"	0.259178484148002	0.170293949291767	0.128022186252328	10
"Body fat %"	"hK11_CVDI"	"Inverse variance weighted"	-0.195797456822544	0.138811252509302	0.158383200304136	10
"Body fat %"	"HSP_27_CVDI"	"Inverse variance weighted"	0.126658042185348	0.154605865276141	0.412654171686076	10
"Body fat %"	"IL-18_CVDI"	"Inverse variance weighted"	0.12792068052855	0.108443285496537	0.238155743519806	10
"Body fat %"	"IL-1ra_CVDI"	"Inverse variance weighted"	0.381196595151895	0.101130750076327	0.000163677112618347	10
"Body fat %"	"IL-27_CVDI"	"Inverse variance weighted"	-0.153814863026401	0.1003728797697	0.125415251345103	10
"Body fat %"	"IL-6_CVDI"	"Inverse variance weighted"	0.37623230823054	0.116392160196922	0.00122731877651017	10
"Body fat %"	"IL-6RA_CVDI"	"Inverse variance weighted"	-0.0342922815899309	0.09146748166796	0.707725710116279	10
"Body fat %"	"IL-8_CVDI"	"Inverse variance weighted"	0.0417667880908163	0.152636716691449	0.784364932063265	10
"Body fat %"	"IL16_CVDI"	"Inverse variance weighted"	0.339596887840136	0.101677197924032	0.000837930870093466	10
"Body fat %"	"ITGB1BP2_CVDI"	"Inverse variance weighted"	0.230045749098084	0.271506446805004	0.396831340412271	10
"Body fat %"	"KIM-1_CVDI"	"Inverse variance weighted"	0.0991034866101778	0.14770313093172	0.502243450263413	10
"Body fat %"	"KLK6_CVDI"	"Inverse variance weighted"	-0.165326634185724	0.125833475697992	0.188895825941871	10
"Body fat %"	"LEP_CVDI"	"Inverse variance weighted"	0.813565716918094	0.107637514044615	4.08106189325854e-14	10
"Body fat %"	"LOX-1_CVDI"	"Inverse variance weighted"	0.0806729210797218	0.102871264170874	0.432915489715567	10
"Body fat %"	"mAmP_CVDI"	"Inverse variance weighted"	0.0250799477816824	0.195967199560381	0.89816453572098	10
"Body fat %"	"MB_CVDI"	"Inverse variance weighted"	0.146835301767836	0.144983915813737	0.311170226627456	10
"Body fat %"	"MCP-1_CVDI"	"Inverse variance weighted"	0.0098482225540105	0.106070698808023	0.92602603752751	10
"Body fat %"	"MMP-1_CVDI"	"Inverse variance weighted"	0.0980068175176468	0.13565252685296	0.469996789881556	10
"Body fat %"	"MMP-10_CVDI"	"Inverse variance weighted"	-0.09057450153747	0.108028303687833	0.401787526862174	10
"Body fat %"	"MMP-12_CVDI"	"Inverse variance weighted"	0.0698267267730642	0.0994887139390459	0.482769121817368	10
"Body fat %"	"MMP-3_CVDI"	"Inverse variance weighted"	-0.17741048937277	0.0908399551024114	0.0508195207640944	10
"Body fat %"	"MMP-7_CVDI"	"Inverse variance weighted"	-0.0664461633367698	0.115222572198008	0.564157930054161	10
"Body fat %"	"MPO_CVDI"	"Inverse variance weighted"	0.120519192336228	0.0915272869440157	0.187920103146433	10
"Body fat %"	"NT-pro_BNP_CVDI"	"Inverse variance weighted"	-0.250051344952594	0.233597712845933	0.284423210842844	10
"Body fat %"	"OPG_CVDI"	"Inverse variance weighted"	-0.126301451515427	0.112032662826967	0.259589139114391	9
"Body fat %"	"PAPPA_CVDI"	"Inverse variance weighted"	-0.105145082553984	0.102455943504259	0.304775274101982	10
