"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Bone fracture"	"ADM_CVDI"	"Inverse variance weighted"	0.0644722656550354	0.0513206864570169	0.209020729979581	17
"Bone fracture"	"AGRP_CVDI"	"Inverse variance weighted"	0.0763186266838739	0.0558488848534717	0.171775759762695	17
"Bone fracture"	"CA-125_CVDI"	"Inverse variance weighted"	-0.0851614132848606	0.0769610242905336	0.268487456720728	17
"Bone fracture"	"CASP-8_CVDI"	"Inverse variance weighted"	0.0207507955191526	0.0602283818383304	0.730443854528573	17
"Bone fracture"	"CCL20_CVDI"	"Inverse variance weighted"	0.0152590172711556	0.0558453318468505	0.784670952644011	17
"Bone fracture"	"CCL3_CVDI"	"Inverse variance weighted"	-0.0212341884503206	0.0520463983095588	0.683284142389689	17
"Bone fracture"	"CCL4_CVDI"	"Inverse variance weighted"	-0.0640172098738672	0.0559394432882098	0.252456965870816	17
"Bone fracture"	"CD40_CVDI"	"Inverse variance weighted"	0.0876463738239287	0.0611670534265605	0.151885936138071	17
"Bone fracture"	"CD40-L_CVDI"	"Inverse variance weighted"	0.000614111225423952	0.0589643912408463	0.991690221896358	17
"Bone fracture"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.0101891383513396	0.0465945426331833	0.826901941713902	17
"Bone fracture"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.0898421748108615	0.0556947288186695	0.106718853473344	17
"Bone fracture"	"CSTB_CVDI"	"Inverse variance weighted"	0.0470882136356409	0.0475509950155189	0.322043298307059	17
"Bone fracture"	"CTSD_CVDI"	"Inverse variance weighted"	-0.0414677568029891	0.0471041317525041	0.378673937159932	17
"Bone fracture"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.0604449516693343	0.0580235775995016	0.297536475003438	17
"Bone fracture"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.00812672754640605	0.0554940729295533	0.883571555723063	17
"Bone fracture"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0398286462831075	0.0531712005291646	0.453818471696396	17
"Bone fracture"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.00299864652672545	0.0469579455917054	0.94908319275949	17
"Bone fracture"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.0792554107605162	0.0580657672177558	0.172276659315528	17
"Bone fracture"	"Dkk-1_CVDI"	"Inverse variance weighted"	0.12118619575217	0.173039746223274	0.483716657232421	17
"Bone fracture"	"ECP_CVDI"	"Inverse variance weighted"	-0.0273873709700241	0.0838061700896093	0.743823540570465	17
"Bone fracture"	"EGF_CVDI"	"Inverse variance weighted"	-0.00410410894034293	0.0742766648073408	0.955935828853962	17
"Bone fracture"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.0418287784188676	0.0602985395058316	0.487873678552393	17
"Bone fracture"	"ESM-1_CVDI"	"Inverse variance weighted"	0.122749802770754	0.0927312396190571	0.185597464335037	17
"Bone fracture"	"FABP4_CVDI"	"Inverse variance weighted"	0.0257045324007158	0.0550849184321003	0.640761282064244	17
"Bone fracture"	"FAS_CVDI"	"Inverse variance weighted"	-0.0163815143800002	0.0538523609607087	0.760980813052041	17
"Bone fracture"	"FGF-23_CVDI"	"Inverse variance weighted"	0.00266502874218327	0.0575927928685221	0.963092141025085	17
"Bone fracture"	"FS_CVDI"	"Inverse variance weighted"	-0.0404271764182928	0.0529348967478784	0.445037080212921	17
"Bone fracture"	"GAL_CVDI"	"Inverse variance weighted"	-0.0390809927283118	0.0905485890717057	0.666030378759583	17
"Bone fracture"	"Gal-3_CVDI"	"Inverse variance weighted"	0.0699834784276073	0.0551407805950632	0.204377502983451	17
"Bone fracture"	"GDF-15_CVDI"	"Inverse variance weighted"	-0.0183509216703398	0.0460397466809975	0.690196306919583	17
"Bone fracture"	"HB-EGF_CVDI"	"Inverse variance weighted"	0.00885348787852012	0.0561176758795578	0.874640817258231	17
"Bone fracture"	"HGF_CVDI"	"Inverse variance weighted"	-0.0914540145227718	0.0556135959437487	0.100082405887225	17
"Bone fracture"	"hK11_CVDI"	"Inverse variance weighted"	0.00596793556932882	0.0737744795622505	0.935526005642901	17
"Bone fracture"	"HSP_27_CVDI"	"Inverse variance weighted"	-0.0123736722704304	0.0534060631029026	0.816778486065366	17
"Bone fracture"	"IL-18_CVDI"	"Inverse variance weighted"	-0.0905794149646494	0.0631775108735012	0.151649678720107	17
"Bone fracture"	"IL-1ra_CVDI"	"Inverse variance weighted"	0.000434483987483012	0.0585566284281303	0.994079835299569	17
"Bone fracture"	"IL-27_CVDI"	"Inverse variance weighted"	-0.0106398096135359	0.0655939153805956	0.871142638935647	17
