"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Depressive symptoms"	"ADM_CVDI"	"Inverse variance weighted"	0.105716834661821	0.560229658745656	0.850325855690727	2
"Depressive symptoms"	"AGRP_CVDI"	"Inverse variance weighted"	-0.399124593305466	0.387750764252296	0.303323298966591	2
"Depressive symptoms"	"CA-125_CVDI"	"Inverse variance weighted"	0.340684214907788	0.556862160848809	0.540674908288504	2
"Depressive symptoms"	"CASP-8_CVDI"	"Inverse variance weighted"	0.0375841147071755	0.405701298044537	0.926189669818728	2
"Depressive symptoms"	"CCL20_CVDI"	"Inverse variance weighted"	0.0133092103848697	0.866122443693189	0.987739844798482	2
"Depressive symptoms"	"CCL3_CVDI"	"Inverse variance weighted"	0.266482179538765	0.441805234959023	0.546397837254017	2
"Depressive symptoms"	"CCL4_CVDI"	"Inverse variance weighted"	-0.0703266252891105	0.388491433017973	0.856348026515579	2
"Depressive symptoms"	"CD40_CVDI"	"Inverse variance weighted"	0.0107749135872628	0.385556378542728	0.977704899355694	2
"Depressive symptoms"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.488632885046939	0.366584844159657	0.182553927118223	2
"Depressive symptoms"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.484716770021153	0.322328691971545	0.13263376372665	2
"Depressive symptoms"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.307900085726602	0.385556378542728	0.424530268023263	2
"Depressive symptoms"	"CSTB_CVDI"	"Inverse variance weighted"	-0.0318580427426693	0.328329450304635	0.922701999040642	2
"Depressive symptoms"	"CTSD_CVDI"	"Inverse variance weighted"	-0.291797590693131	0.497267913612717	0.55733698459421	2
"Depressive symptoms"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.710044749560401	0.365111537013445	0.0518070243786289	2
"Depressive symptoms"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.367230158973606	0.385556378542728	0.340859626578466	2
"Depressive symptoms"	"CXCL1_CVDI"	"Inverse variance weighted"	0.177501195887045	0.375340142592774	0.636279121802705	2
"Depressive symptoms"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.736520800859751	0.325442787255106	0.0236273991655282	2
"Depressive symptoms"	"CXCL6_CVDI"	"Inverse variance weighted"	0.437017407361617	0.388491433017973	0.260627709135524	2
"Depressive symptoms"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.133966688343175	0.366584844159657	0.714779072239806	2
"Depressive symptoms"	"ECP_CVDI"	"Inverse variance weighted"	0.191899146758317	0.659530971537757	0.771079574972475	2
"Depressive symptoms"	"EGF_CVDI"	"Inverse variance weighted"	-0.0593684305452672	0.527243599668821	0.910346480212465	2
"Depressive symptoms"	"EN-RAGE_CVDI"	"Inverse variance weighted"	-0.313101697505314	0.402851127217027	0.437032287239877	2
"Depressive symptoms"	"ESM-1_CVDI"	"Inverse variance weighted"	-1.30157864315505	0.752967973305243	0.0838811367171637	2
