"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"eGFR (creatinine)"	"ADM_CVDI"	"Inverse variance weighted"	-0.291128603364678	0.0612940348919668	2.03713279143306e-06	42
"eGFR (creatinine)"	"AGRP_CVDI"	"Inverse variance weighted"	-0.214005547745345	0.0652751889455138	0.0010435560158868	42
"eGFR (creatinine)"	"CA-125_CVDI"	"Inverse variance weighted"	0.0135654870991655	0.079410713025096	0.864359865274467	42
"eGFR (creatinine)"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.184753746053774	0.0618369725750633	0.0028103441340199	42
"eGFR (creatinine)"	"CCL20_CVDI"	"Inverse variance weighted"	-0.0526451610589183	0.0621861151445998	0.397232496141475	42
"eGFR (creatinine)"	"CCL3_CVDI"	"Inverse variance weighted"	-0.146107853545866	0.0548149405302909	0.00768796478949419	42
"eGFR (creatinine)"	"CCL4_CVDI"	"Inverse variance weighted"	0.0177406869627912	0.0610935241116294	0.77152116736936	42
"eGFR (creatinine)"	"CD40_CVDI"	"Inverse variance weighted"	-0.246108436386721	0.0568373121603515	1.49075097826832e-05	42
"eGFR (creatinine)"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.0145570178464731	0.0689433465143309	0.832774410312959	42
"eGFR (creatinine)"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.00234683781634165	0.0747093333430149	0.97494024285299	42
"eGFR (creatinine)"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.234941785898047	0.0622264458777498	0.000159626912787644	42
"eGFR (creatinine)"	"CSTB_CVDI"	"Inverse variance weighted"	-0.242480837962048	0.0537193466225469	6.36625635586001e-06	42
"eGFR (creatinine)"	"CTSD_CVDI"	"Inverse variance weighted"	0.115233909623336	0.0716027835964472	0.107539923801341	42
"eGFR (creatinine)"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.0295703792514613	0.0576372664534253	0.60792144650639	42
"eGFR (creatinine)"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.359121762719344	0.0743585231749023	1.36809081158636e-06	42
"eGFR (creatinine)"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0464088103871482	0.0557839021776822	0.405443310117012	42
"eGFR (creatinine)"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.129076852067725	0.055838853396146	0.0207999751465269	42
"eGFR (creatinine)"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.0104302658267412	0.0624451454392561	0.86734577377554	42
"eGFR (creatinine)"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.1126327274657	0.061674388619622	0.0678129175038519	42
"eGFR (creatinine)"	"ECP_CVDI"	"Inverse variance weighted"	-0.0818735703029079	0.0786700847974977	0.298005284216323	42
