"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"eGFR (cystatin C)"	"ADM_CVDI"	"Inverse variance weighted"	-0.0148636439173455	0.0372418033940901	0.689810813563218	4
"eGFR (cystatin C)"	"AGRP_CVDI"	"Inverse variance weighted"	-0.0770909360074633	0.079433750848703	0.331794309258317	4
"eGFR (cystatin C)"	"CA-125_CVDI"	"Inverse variance weighted"	0.0550438631946038	0.0684814582695186	0.421525419969146	4
"eGFR (cystatin C)"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.00442639719629387	0.0792571226570975	0.955462439682035	4
"eGFR (cystatin C)"	"CCL20_CVDI"	"Inverse variance weighted"	0.00855878769713934	0.0401744788182708	0.831295438462861	4
"eGFR (cystatin C)"	"CCL3_CVDI"	"Inverse variance weighted"	-0.0388437616470401	0.136396368370355	0.775808180209743	4
"eGFR (cystatin C)"	"CCL4_CVDI"	"Inverse variance weighted"	0.00754795766513958	0.0528840366987995	0.886506124260727	4
"eGFR (cystatin C)"	"CD40_CVDI"	"Inverse variance weighted"	-0.100778340146089	0.0522698922723082	0.0538503959830753	4
"eGFR (cystatin C)"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.0738439085890122	0.0752752066574806	0.326599745652986	4
"eGFR (cystatin C)"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.0688143367554221	0.0479158035646493	0.150959333745906	4
"eGFR (cystatin C)"	"CSF-1_CVDI"	"Inverse variance weighted"	0.0119950041400024	0.0730825697364861	0.869629215115325	4
"eGFR (cystatin C)"	"CSTB_CVDI"	"Inverse variance weighted"	-0.0452328738499677	0.0634238201470795	0.475731709609362	4
"eGFR (cystatin C)"	"CTSD_CVDI"	"Inverse variance weighted"	0.0212144014006808	0.0911448695760143	0.815951851585963	4
"eGFR (cystatin C)"	"CTSL1_CVDI"	"Inverse variance weighted"	0.118763967679044	0.0632712871457745	0.0605099457635681	4
"eGFR (cystatin C)"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.0234923491985415	0.046151536660853	0.610733740093575	4
"eGFR (cystatin C)"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0386558542311009	0.0396674142954172	0.329808852088081	4
"eGFR (cystatin C)"	"CXCL16_CVDI"	"Inverse variance weighted"	0.0816029571766957	0.14032889691238	0.560895338524521	4
"eGFR (cystatin C)"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.0744482156651878	0.100426829404915	0.458500654237865	4
"eGFR (cystatin C)"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.0951064708673421	0.0579298720554655	0.100641454813637	4
"eGFR (cystatin C)"	"ECP_CVDI"	"Inverse variance weighted"	-0.084253484850069	0.0819970720420114	0.304176514310859	4
"eGFR (cystatin C)"	"EGF_CVDI"	"Inverse variance weighted"	-0.0954632629964615	0.0543444908328687	0.0789805819880952	4
"eGFR (cystatin C)"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.0138036005237584	0.0530657009636618	0.794769025034771	4
"eGFR (cystatin C)"	"ESM-1_CVDI"	"Inverse variance weighted"	0.0274882242445773	0.130478896196051	0.833143379152248	4
"eGFR (cystatin C)"	"FABP4_CVDI"	"Inverse variance weighted"	0.0144715321806226	0.0399817630619706	0.717386908211419	4
"eGFR (cystatin C)"	"FAS_CVDI"	"Inverse variance weighted"	0.0207569891763442	0.0458524339678599	0.650771182775767	4
"eGFR (cystatin C)"	"FGF-23_CVDI"	"Inverse variance weighted"	-0.0353933610594603	0.0378014539525392	0.349120658256034	4
"eGFR (cystatin C)"	"FS_CVDI"	"Inverse variance weighted"	-0.0258557379350772	0.0383485046435279	0.500164674352468	4
"eGFR (cystatin C)"	"GAL_CVDI"	"Inverse variance weighted"	-0.0537372186258102	0.0553881289924661	0.331949907013601	4
"eGFR (cystatin C)"	"Gal-3_CVDI"	"Inverse variance weighted"	0.035794712033372	0.0570560684234977	0.530423086871357	4
"eGFR (cystatin C)"	"GDF-15_CVDI"	"Inverse variance weighted"	0.0200462935629956	0.0335833731181397	0.55056662916186	4
