"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Fasting glucose"	"ADM_CVDI"	"Inverse variance weighted"	0.0437598849236063	0.0728768323758033	0.548197314467343	16
"Fasting glucose"	"AGRP_CVDI"	"Inverse variance weighted"	0.001128209019746	0.0857393900171687	0.98950127145475	16
"Fasting glucose"	"CA-125_CVDI"	"Inverse variance weighted"	0.0194133371976472	0.119657318943485	0.871115981257238	16
"Fasting glucose"	"CASP-8_CVDI"	"Inverse variance weighted"	0.0333366016319911	0.0788807600917721	0.672572395231389	16
"Fasting glucose"	"CCL20_CVDI"	"Inverse variance weighted"	0.00852728675085108	0.0812572318005429	0.916421926182014	16
"Fasting glucose"	"CCL3_CVDI"	"Inverse variance weighted"	-0.107527315960589	0.0657715393538504	0.102078217259071	16
"Fasting glucose"	"CCL4_CVDI"	"Inverse variance weighted"	0.0402469238637531	0.0767416049761583	0.599967498404451	16
"Fasting glucose"	"CD40_CVDI"	"Inverse variance weighted"	0.105919117687306	0.0697797371290326	0.129037967038179	16
"Fasting glucose"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.139861332984941	0.074931831332696	0.0619694484818921	16
"Fasting glucose"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.10054960790027	0.137262257287577	0.463841198013322	16
"Fasting glucose"	"CSF-1_CVDI"	"Inverse variance weighted"	0.113509787418738	0.127807920856437	0.374471926751661	16
"Fasting glucose"	"CSTB_CVDI"	"Inverse variance weighted"	-0.0637064640955771	0.0603912968050846	0.291473447338585	16
"Fasting glucose"	"CTSD_CVDI"	"Inverse variance weighted"	-0.0257475212049209	0.114585991304297	0.822212332197307	16
"Fasting glucose"	"CTSL1_CVDI"	"Inverse variance weighted"	0.00610647682763144	0.087806139161669	0.944555824671834	16
"Fasting glucose"	"CX3CL1_CVDI"	"Inverse variance weighted"	0.127851155817876	0.0960500500035108	0.183159759468725	16
"Fasting glucose"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0122765042454117	0.0868648883637033	0.887610255125862	16
"Fasting glucose"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.0239950478628315	0.0595268691881014	0.686877541310402	16
