"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Fasting insulin"	"ADM_CVDI"	"Inverse variance weighted"	-0.0107719421807786	0.208608779737026	0.958817896345665	4
"Fasting insulin"	"AGRP_CVDI"	"Inverse variance weighted"	-0.147316154038454	0.297798244996455	0.620822896303072	4
"Fasting insulin"	"CA-125_CVDI"	"Inverse variance weighted"	-0.233852517935697	0.299857979161099	0.435462930750819	4
"Fasting insulin"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.0489985993370087	0.257635107573406	0.849163354617781	4
"Fasting insulin"	"CCL20_CVDI"	"Inverse variance weighted"	-0.205554410193923	0.225531506675466	0.36207298844045	4
"Fasting insulin"	"CCL3_CVDI"	"Inverse variance weighted"	-0.145804171669138	0.211327807847537	0.490229944166133	4
"Fasting insulin"	"CCL4_CVDI"	"Inverse variance weighted"	0.153031454928231	0.226000676118168	0.498324550958053	4
"Fasting insulin"	"CD40_CVDI"	"Inverse variance weighted"	-0.0654577949805809	0.224260915401775	0.770376606169726	4
"Fasting insulin"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.60523485734449	0.430408199853482	0.159668298538733	4
"Fasting insulin"	"CHI3L1_CVDI"	"Inverse variance weighted"	-1.10769204681367	0.647018672798732	0.0868977852669634	4
"Fasting insulin"	"CSF-1_CVDI"	"Inverse variance weighted"	0.470586748940038	0.647080450244555	0.467075195992281	4
"Fasting insulin"	"CSTB_CVDI"	"Inverse variance weighted"	0.0925888984600381	0.19131208598396	0.628408687760677	4
"Fasting insulin"	"CTSD_CVDI"	"Inverse variance weighted"	-0.345429384254035	0.70739435302521	0.625328629743542	4
"Fasting insulin"	"CTSL1_CVDI"	"Inverse variance weighted"	0.745890791690201	0.294289242797684	0.0112591867236612	4
"Fasting insulin"	"CX3CL1_CVDI"	"Inverse variance weighted"	0.49101460265354	0.486891080561845	0.313229321693469	4
"Fasting insulin"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.391693475656086	0.285165723964902	0.169576967183834	4
"Fasting insulin"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.139315521570369	0.293308481020644	0.634801570670547	4
"Fasting insulin"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.257038306657262	0.254553216771603	0.312609063903819	4
"Fasting insulin"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.0591886732533521	0.21234357437413	0.780444271472905	4
"Fasting insulin"	"ECP_CVDI"	"Inverse variance weighted"	-0.198273793603402	0.294113627426315	0.50022224013689	4
"Fasting insulin"	"EGF_CVDI"	"Inverse variance weighted"	-0.478765225204803	0.287145966391692	0.0954500910590828	4
"Fasting insulin"	"EN-RAGE_CVDI"	"Inverse variance weighted"	-0.132067378155097	0.4895929269549	0.787353084692049	4
"Fasting insulin"	"ESM-1_CVDI"	"Inverse variance weighted"	0.480562590773144	0.382417755859065	0.208882941675749	4
"Fasting insulin"	"FABP4_CVDI"	"Inverse variance weighted"	0.333237332659668	0.187120368179247	0.0749334438109672	4
"Fasting insulin"	"FAS_CVDI"	"Inverse variance weighted"	0.343333175495871	0.344246035137808	0.318595508438128	4
"Fasting insulin"	"FGF-23_CVDI"	"Inverse variance weighted"	0.135356359341925	0.211072131589958	0.521340710819913	4
"Fasting insulin"	"FS_CVDI"	"Inverse variance weighted"	-1.34600695236954	1.27542501541799	0.291269883146872	4
"Fasting insulin"	"GAL_CVDI"	"Inverse variance weighted"	0.149035882583348	0.409505093672464	0.715901722288245	4
"Fasting insulin"	"Gal-3_CVDI"	"Inverse variance weighted"	-0.926983397259419	0.446320308381233	0.0378064983814477	4
"Fasting insulin"	"GDF-15_CVDI"	"Inverse variance weighted"	0.11852493575154	0.185716820540976	0.523341881981167	4
"Fasting insulin"	"HB-EGF_CVDI"	"Inverse variance weighted"	-0.395234262753263	0.324895578041741	0.223795926480171	4
"Fasting insulin"	"HGF_CVDI"	"Inverse variance weighted"	0.341783110585918	0.224260915401775	0.127498156774045	4
"Fasting insulin"	"hK11_CVDI"	"Inverse variance weighted"	0.298702463582959	0.285417841812607	0.295309725191328	4
"Fasting insulin"	"HSP_27_CVDI"	"Inverse variance weighted"	-0.338205138137782	0.286155024879324	0.237247442437346	4
"Fasting insulin"	"IL-18_CVDI"	"Inverse variance weighted"	0.421849610792915	0.211327807847537	0.0459136810869149	4
"Fasting insulin"	"IL-1ra_CVDI"	"Inverse variance weighted"	0.102438955705517	0.274493212812556	0.709004778177776	4
"Fasting insulin"	"IL-27_CVDI"	"Inverse variance weighted"	0.257491853064554	0.210604671826374	0.221469004656601	4
"Fasting insulin"	"IL-6_CVDI"	"Inverse variance weighted"	0.250172962642847	0.241669364616327	0.300581631036554	4
"Fasting insulin"	"IL-6RA_CVDI"	"Inverse variance weighted"	-0.40809166141423	0.319780383060621	0.20189816095957	4
"Fasting insulin"	"IL-8_CVDI"	"Inverse variance weighted"	0.234756869250136	0.224260915401775	0.295190713421988	4
"Fasting insulin"	"IL16_CVDI"	"Inverse variance weighted"	-0.0652038327162945	0.241814095110241	0.787433787498265	4
"Fasting insulin"	"ITGB1BP2_CVDI"	"Inverse variance weighted"	0.115556218972265	0.862279446371839	0.893392694920323	4
"Fasting insulin"	"KIM-1_CVDI"	"Inverse variance weighted"	-0.0307437142445658	0.212771399993061	0.885112162066537	4
"Fasting insulin"	"KLK6_CVDI"	"Inverse variance weighted"	-0.0859588767824276	0.212577702796255	0.685944700366762	4
"Fasting insulin"	"LEP_CVDI"	"Inverse variance weighted"	0.634592911608632	0.35414146971043	0.073145904265102	4
"Fasting insulin"	"LOX-1_CVDI"	"Inverse variance weighted"	-0.256432033226653	0.211859897222873	0.226131210317639	4
