"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"HbA1C"	"ADM_CVDI"	"Inverse variance weighted"	-0.0693389567653194	0.0852288523396234	0.415895906480165	34
"HbA1C"	"AGRP_CVDI"	"Inverse variance weighted"	-0.10884440525056	0.0906128262728574	0.229672438189084	34
"HbA1C"	"CA-125_CVDI"	"Inverse variance weighted"	-0.0485560261712298	0.0883941619797354	0.582790947871029	34
"HbA1C"	"CASP-8_CVDI"	"Inverse variance weighted"	0.0186871395829593	0.0672963073334933	0.781254581387113	34
"HbA1C"	"CCL20_CVDI"	"Inverse variance weighted"	0.126365091218437	0.060822526970207	0.0377458991577031	34
"HbA1C"	"CCL3_CVDI"	"Inverse variance weighted"	-0.0753871623229727	0.0907756152103335	0.406268513144058	34
"HbA1C"	"CCL4_CVDI"	"Inverse variance weighted"	-0.00357968306721093	0.0811940774061605	0.964834272013353	34
"HbA1C"	"CD40_CVDI"	"Inverse variance weighted"	-0.0311250497301095	0.0604308883998829	0.606516685704822	34
"HbA1C"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.088110513911793	0.0655943213356967	0.179186388900842	34
"HbA1C"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.0869590087539279	0.0524688422765982	0.0974496081119433	34
"HbA1C"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.0367487562128616	0.077412870221987	0.634992836674703	34
"HbA1C"	"CSTB_CVDI"	"Inverse variance weighted"	0.0289582787294398	0.0578951063441796	0.616944637344444	34
"HbA1C"	"CTSD_CVDI"	"Inverse variance weighted"	-0.0644865005789294	0.0615248798699815	0.294575509639088	34
"HbA1C"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.154011495485452	0.0700160770579061	0.0278310963155394	34
"HbA1C"	"CX3CL1_CVDI"	"Inverse variance weighted"	0.0115561266986889	0.0963418881198692	0.904523436762852	34
"HbA1C"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0368176401789853	0.0599714045355307	0.539268242795581	34
"HbA1C"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.00200622310326784	0.0843496688074551	0.981024424273809	34
"HbA1C"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.170197195169855	0.096872469010681	0.0789314163565833	34
"HbA1C"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.0546935063792066	0.0628703021556997	0.384332188451463	34
"HbA1C"	"ECP_CVDI"	"Inverse variance weighted"	0.0417885466503436	0.0888333100220122	0.638058347506473	34
"HbA1C"	"EGF_CVDI"	"Inverse variance weighted"	-0.0378644525861455	0.0819119418412556	0.643896295715904	34
"HbA1C"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.0683123875542099	0.0672377983488794	0.309637995661616	34
"HbA1C"	"ESM-1_CVDI"	"Inverse variance weighted"	-0.269399642353716	0.0989008949256655	0.00645091357156998	34
"HbA1C"	"FABP4_CVDI"	"Inverse variance weighted"	0.126898833844033	0.0663984649016642	0.0559825836550284	34
"HbA1C"	"FAS_CVDI"	"Inverse variance weighted"	-0.0436715784752009	0.0534266938677848	0.413693471656388	34
"HbA1C"	"FGF-23_CVDI"	"Inverse variance weighted"	-0.00964553123713278	0.0869881507619297	0.911708906652245	34
"HbA1C"	"FS_CVDI"	"Inverse variance weighted"	0.00226118041486985	0.0578499556216773	0.968821036579267	34
"HbA1C"	"GAL_CVDI"	"Inverse variance weighted"	-0.142200577834042	0.102843384372743	0.166759764368764	34
"HbA1C"	"Gal-3_CVDI"	"Inverse variance weighted"	0.0932164216863042	0.0504608758860323	0.0647035418857332	34
"HbA1C"	"GDF-15_CVDI"	"Inverse variance weighted"	0.00210803929500231	0.0551599422585572	0.969514785547406	34
"HbA1C"	"HB-EGF_CVDI"	"Inverse variance weighted"	-0.0705610446230596	0.061549519568325	0.251625144494326	34
"HbA1C"	"HGF_CVDI"	"Inverse variance weighted"	-0.0631679893886346	0.081261100894772	0.436954679529219	34
"HbA1C"	"hK11_CVDI"	"Inverse variance weighted"	-0.0394634257817079	0.0951073945269205	0.678189186685007	34
"HbA1C"	"HSP_27_CVDI"	"Inverse variance weighted"	-0.00291596564808631	0.0642605566682779	0.963806635223684	34
"HbA1C"	"IL-18_CVDI"	"Inverse variance weighted"	-0.0686892929343759	0.079298386639837	0.386373368709218	34
"HbA1C"	"IL-1ra_CVDI"	"Inverse variance weighted"	0.0120276292569222	0.0757786877682543	0.873889106582758	34
"HbA1C"	"IL-27_CVDI"	"Inverse variance weighted"	-0.0709748675441281	0.0986067718954865	0.471662426339115	34
"HbA1C"	"IL-6_CVDI"	"Inverse variance weighted"	0.0783564826576184	0.0707917089608245	0.268354635266428	34
"HbA1C"	"IL-6RA_CVDI"	"Inverse variance weighted"	-0.0662005912432344	0.056106492272241	0.238036154343955	34
"HbA1C"	"IL-8_CVDI"	"Inverse variance weighted"	-0.0222487236783326	0.0629093298091295	0.723591199833722	34
"HbA1C"	"IL16_CVDI"	"Inverse variance weighted"	0.162324111257631	0.0695160882546791	0.0195403810578243	34
"HbA1C"	"ITGB1BP2_CVDI"	"Inverse variance weighted"	-0.070120817351741	0.120127444964465	0.559408568113141	34
"HbA1C"	"KIM-1_CVDI"	"Inverse variance weighted"	-0.00564248832603126	0.0666974914895443	0.932580822961587	34
"HbA1C"	"KLK6_CVDI"	"Inverse variance weighted"	0.0142968514650056	0.0526942703411938	0.786147230833203	34
"HbA1C"	"LEP_CVDI"	"Inverse variance weighted"	0.00867299223203043	0.0880563277976931	0.921540286041868	34
"HbA1C"	"LOX-1_CVDI"	"Inverse variance weighted"	-0.0334139754729095	0.0607920066745007	0.58256341826633	34
"HbA1C"	"mAmP_CVDI"	"Inverse variance weighted"	0.0425417498104189	0.115210623515924	0.711939921396448	34
"HbA1C"	"MB_CVDI"	"Inverse variance weighted"	0.0807010206190596	0.0674069173159627	0.231220174339087	34
"HbA1C"	"MCP-1_CVDI"	"Inverse variance weighted"	-0.050979235597869	0.0600699462666224	0.396067961841417	34
