"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"HDL cholesterol"	"ADM_CVDI"	"Inverse variance weighted"	0.0720318367250213	0.0357347453452811	0.043827518537953	62
"HDL cholesterol"	"AGRP_CVDI"	"Inverse variance weighted"	-0.0252680767431919	0.0349045556874208	0.469115364447364	62
"HDL cholesterol"	"CA-125_CVDI"	"Inverse variance weighted"	-0.0101054024764843	0.0562665905422158	0.857467681685983	62
"HDL cholesterol"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.0563306780187623	0.03781934002546	0.136364304116401	62
"HDL cholesterol"	"CCL20_CVDI"	"Inverse variance weighted"	-0.0163163288635488	0.0398673137475555	0.682344595873473	62
"HDL cholesterol"	"CCL3_CVDI"	"Inverse variance weighted"	-0.0664787095250994	0.0324162974537414	0.0402883309102633	62
"HDL cholesterol"	"CCL4_CVDI"	"Inverse variance weighted"	-0.0651816318585593	0.0442057780828174	0.140345726964391	62
"HDL cholesterol"	"CD40_CVDI"	"Inverse variance weighted"	0.015151639327906	0.0419328725719233	0.717852155076594	62
"HDL cholesterol"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.060235993474413	0.031637905723396	0.0569208015193794	62
"HDL cholesterol"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.0235462240871366	0.0539255828257671	0.662370329053035	62
"HDL cholesterol"	"CSF-1_CVDI"	"Inverse variance weighted"	0.0681192594305242	0.0423769710995287	0.107953634502862	62
"HDL cholesterol"	"CSTB_CVDI"	"Inverse variance weighted"	-0.0321062147664053	0.0333189628728301	0.335245571413304	62
"HDL cholesterol"	"CTSD_CVDI"	"Inverse variance weighted"	-0.0510787230202761	0.0396136434790873	0.197251245044483	62
"HDL cholesterol"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.00893544463459382	0.0432858330155122	0.836455938792547	62
"HDL cholesterol"	"CX3CL1_CVDI"	"Inverse variance weighted"	0.0516216566126729	0.0408048543332954	0.205840442393742	62
"HDL cholesterol"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.00817225167318445	0.0467663825081516	0.861278995985854	62
