"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Heart rate"	"ADM_CVDI"	"Inverse variance weighted"	-0.397250021181509	0.108027633026549	0.000235715706343989	12
"Heart rate"	"AGRP_CVDI"	"Inverse variance weighted"	0.0894728804771737	0.110019560778992	0.41607748513934	12
"Heart rate"	"CA-125_CVDI"	"Inverse variance weighted"	0.0812936063170117	0.174086740506475	0.640520022213043	12
"Heart rate"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.103577550032011	0.128880111695674	0.421585474674964	12
"Heart rate"	"CCL20_CVDI"	"Inverse variance weighted"	0.107334705727683	0.13692263116893	0.433094267656926	12
"Heart rate"	"CCL3_CVDI"	"Inverse variance weighted"	-0.122958164009388	0.120634270185801	0.308077668719473	12
"Heart rate"	"CCL4_CVDI"	"Inverse variance weighted"	-0.0216152211532112	0.126284846436571	0.864096048236583	12
"Heart rate"	"CD40_CVDI"	"Inverse variance weighted"	-0.0123554806527461	0.121941838853906	0.919294268955536	12
"Heart rate"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.154444933908652	0.148109258272509	0.297051567589729	12
"Heart rate"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.0424219714608336	0.0990158405401473	0.668333566581622	12
"Heart rate"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.217401776483834	0.139597712654181	0.119388636453562	12
"Heart rate"	"CSTB_CVDI"	"Inverse variance weighted"	-0.178832139578929	0.0991848065296573	0.0713851533755529	12
"Heart rate"	"CTSD_CVDI"	"Inverse variance weighted"	-0.0826010404435068	0.10381101129565	0.426214162301781	12
"Heart rate"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.11439630786447	0.109928022884215	0.298039237849239	12
"Heart rate"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.0428816980907901	0.133446508146756	0.747952762913495	12
"Heart rate"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0446243949729292	0.125795395241427	0.722785951191419	12
"Heart rate"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.203488938059407	0.0978772817788973	0.0376154073560425	12
"Heart rate"	"CXCL6_CVDI"	"Inverse variance weighted"	0.080705597486297	0.127209867909895	0.525801051867562	12
"Heart rate"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.181340634598587	0.165698187672129	0.273778160529503	12
"Heart rate"	"ECP_CVDI"	"Inverse variance weighted"	0.0401360807785523	0.176266853841524	0.819878951270957	12
"Heart rate"	"EGF_CVDI"	"Inverse variance weighted"	-0.182996836521175	0.215264453042925	0.395268135842343	12
"Heart rate"	"EN-RAGE_CVDI"	"Inverse variance weighted"	-0.0185492268684496	0.128654805558123	0.885359702280464	12
"Heart rate"	"ESM-1_CVDI"	"Inverse variance weighted"	-0.143286217421873	0.153117472080306	0.349379914611383	12
"Heart rate"	"FABP4_CVDI"	"Inverse variance weighted"	-0.26937134871607	0.096671295850731	0.00532860892532261	12
"Heart rate"	"FAS_CVDI"	"Inverse variance weighted"	0.0195612461120647	0.0978392724872474	0.841533406090958	12
"Heart rate"	"FGF-23_CVDI"	"Inverse variance weighted"	0.0993788125167242	0.109656236468649	0.364789799015899	12
"Heart rate"	"FS_CVDI"	"Inverse variance weighted"	-0.207429142710483	0.112129917191927	0.0643279524610199	12
"Heart rate"	"GAL_CVDI"	"Inverse variance weighted"	-0.0113104955173781	0.212700083774406	0.957591843114527	12
"Heart rate"	"Gal-3_CVDI"	"Inverse variance weighted"	0.0415430469362435	0.112867089961471	0.712820662149609	12
"Heart rate"	"GDF-15_CVDI"	"Inverse variance weighted"	-0.154810503781362	0.0963527429418755	0.108118936988552	12
"Heart rate"	"HB-EGF_CVDI"	"Inverse variance weighted"	-0.14166972385036	0.178871200365603	0.428348506975015	12
"Heart rate"	"HGF_CVDI"	"Inverse variance weighted"	-0.129278286658789	0.158488079617557	0.414673326847146	12
"Heart rate"	"hK11_CVDI"	"Inverse variance weighted"	-0.0141305999804977	0.153046451079695	0.926436782041416	12
"Heart rate"	"HSP_27_CVDI"	"Inverse variance weighted"	-0.0504567157775941	0.121784310176473	0.67864553856023	12
"Heart rate"	"IL-18_CVDI"	"Inverse variance weighted"	-0.0201474609349016	0.132635077878886	0.879264662941924	12
"Heart rate"	"IL-1ra_CVDI"	"Inverse variance weighted"	-0.166327294900034	0.109962430085468	0.1303856323609	12
"Heart rate"	"IL-27_CVDI"	"Inverse variance weighted"	-0.0801580130216177	0.109235982175153	0.463067017351326	12
"Heart rate"	"IL-6_CVDI"	"Inverse variance weighted"	0.116952988126178	0.144318468430132	0.417721061804565	12
"Heart rate"	"IL-6RA_CVDI"	"Inverse variance weighted"	0.0452078661560508	0.106673493341603	0.671714141744566	12
"Heart rate"	"IL-8_CVDI"	"Inverse variance weighted"	-0.0779077822845696	0.117288601561308	0.50653670735221	12
"Heart rate"	"IL16_CVDI"	"Inverse variance weighted"	-0.206112119548877	0.114068917922829	0.0707765167019858	12
"Heart rate"	"ITGB1BP2_CVDI"	"Inverse variance weighted"	0.109477788946241	0.219892821097846	0.618576474584494	12
"Heart rate"	"KIM-1_CVDI"	"Inverse variance weighted"	0.00942142454109985	0.108341562866673	0.930702997129548	12
"Heart rate"	"KLK6_CVDI"	"Inverse variance weighted"	-0.117383242079081	0.142247854386787	0.409256805857116	12
"Heart rate"	"LEP_CVDI"	"Inverse variance weighted"	-0.151084723408059	0.106225111665999	0.154937138078093	12
"Heart rate"	"LOX-1_CVDI"	"Inverse variance weighted"	-0.0222460310170748	0.109994607893192	0.839723975852182	12
"Heart rate"	"mAmP_CVDI"	"Inverse variance weighted"	-0.19916021437819	0.250365556774881	0.426335684480856	12
"Heart rate"	"MB_CVDI"	"Inverse variance weighted"	-0.166102291665249	0.107580067086458	0.122591331950725	12
"Heart rate"	"MCP-1_CVDI"	"Inverse variance weighted"	-0.238785694793055	0.0978772817788973	0.0147017538095395	12
"Heart rate"	"MMP-1_CVDI"	"Inverse variance weighted"	-0.0611671160149518	0.150197811620729	0.683828991465528	12
"Heart rate"	"MMP-10_CVDI"	"Inverse variance weighted"	-0.00653566019357452	0.117452198270977	0.955624393941598	12
"Heart rate"	"MMP-12_CVDI"	"Inverse variance weighted"	0.00770862611464449	0.137874567871794	0.955413163398895	12
"Heart rate"	"MMP-3_CVDI"	"Inverse variance weighted"	-0.251566211650642	0.0974160690161967	0.00981188421436509	12
"Heart rate"	"MMP-7_CVDI"	"Inverse variance weighted"	-0.133693649532295	0.112289425667126	0.233804148212177	12
"Heart rate"	"MPO_CVDI"	"Inverse variance weighted"	0.110912136082517	0.0982416435774138	0.258909339635185	12
"Heart rate"	"NT-pro_BNP_CVDI"	"Inverse variance weighted"	-0.250303135542611	0.170827356884624	0.142855355477299	12
"Heart rate"	"OPG_CVDI"	"Inverse variance weighted"	0.0950211355159088	0.109737960134043	0.386549821738286	12
"Heart rate"	"PAPPA_CVDI"	"Inverse variance weighted"	-0.246385094774443	0.111914935019418	0.0276978885052545	12
"Heart rate"	"PAR-1_CVDI"	"Inverse variance weighted"	0.0303971390492846	0.117317284786975	0.79555656849534	12
