"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Inflammatory bowel disease"	"ADM_CVDI"	"Inverse variance weighted"	0.000669193240993435	0.0120716668555814	0.955791887066228	46
"Inflammatory bowel disease"	"AGRP_CVDI"	"Inverse variance weighted"	0.0273566736824015	0.0110272881156921	0.0131081988713294	46
"Inflammatory bowel disease"	"CA-125_CVDI"	"Inverse variance weighted"	0.0245617754230129	0.0166513809316963	0.140196583237481	46
"Inflammatory bowel disease"	"CASP-8_CVDI"	"Inverse variance weighted"	0.0199540213260358	0.0154314222132742	0.195984335279897	46
"Inflammatory bowel disease"	"CCL20_CVDI"	"Inverse variance weighted"	0.0161908163540654	0.0132989542561219	0.223432920640515	46
"Inflammatory bowel disease"	"CCL3_CVDI"	"Inverse variance weighted"	0.0244861832064612	0.0112516941341153	0.0295386719876374	46
"Inflammatory bowel disease"	"CCL4_CVDI"	"Inverse variance weighted"	0.00630662434162296	0.0138472449183432	0.648790899738518	46
"Inflammatory bowel disease"	"CD40_CVDI"	"Inverse variance weighted"	0.0249649579223133	0.0133525354204353	0.0615283777682038	46
"Inflammatory bowel disease"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.00284207351403066	0.0126444644417281	0.822159605728559	46
"Inflammatory bowel disease"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.0196169343791946	0.0110842644478588	0.0767604163984885	46
"Inflammatory bowel disease"	"CSF-1_CVDI"	"Inverse variance weighted"	0.0116204718029143	0.01270992386032	0.360567975545455	46
"Inflammatory bowel disease"	"CSTB_CVDI"	"Inverse variance weighted"	0.00235241334829212	0.0104884266101717	0.822534316779142	46
"Inflammatory bowel disease"	"CTSD_CVDI"	"Inverse variance weighted"	0.0137911597132683	0.0103088031989498	0.180960288328971	46
"Inflammatory bowel disease"	"CTSL1_CVDI"	"Inverse variance weighted"	0.00748588717940978	0.0122439722354868	0.540938989066098	46
"Inflammatory bowel disease"	"CX3CL1_CVDI"	"Inverse variance weighted"	0.00563961795601208	0.0134088946750425	0.674056079728988	46
"Inflammatory bowel disease"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.000339202897630368	0.0131020087892076	0.979345569930209	46
"Inflammatory bowel disease"	"CXCL16_CVDI"	"Inverse variance weighted"	0.0120926470349776	0.0141987976619363	0.394398955968592	46
"Inflammatory bowel disease"	"CXCL6_CVDI"	"Inverse variance weighted"	0.00829203124293679	0.0124567482856886	0.505624741685493	46
"Inflammatory bowel disease"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.00126446151058652	0.0128061709681297	0.921345936927694	46
"Inflammatory bowel disease"	"ECP_CVDI"	"Inverse variance weighted"	0.0249163809260268	0.0176549269293332	0.158156465801241	46
"Inflammatory bowel disease"	"EGF_CVDI"	"Inverse variance weighted"	0.0437834582368527	0.0153715081628397	0.0043946358107883	46
"Inflammatory bowel disease"	"EN-RAGE_CVDI"	"Inverse variance weighted"	-0.00347050439532786	0.0138482273578616	0.802115641869735	46
"Inflammatory bowel disease"	"ESM-1_CVDI"	"Inverse variance weighted"	0.0186943472559465	0.0152681933347988	0.220802077170487	46
"Inflammatory bowel disease"	"FABP4_CVDI"	"Inverse variance weighted"	0.00999478621593854	0.00970847281026397	0.303248966474819	46
"Inflammatory bowel disease"	"FAS_CVDI"	"Inverse variance weighted"	0.0159318407762558	0.00982689662022244	0.104964368765766	46
"Inflammatory bowel disease"	"FGF-23_CVDI"	"Inverse variance weighted"	0.0107511296353285	0.0109986388659576	0.328323470893245	46
"Inflammatory bowel disease"	"FS_CVDI"	"Inverse variance weighted"	0.0140571859577785	0.0145103985228962	0.332661774480968	46
"Inflammatory bowel disease"	"GAL_CVDI"	"Inverse variance weighted"	-0.00313651953474388	0.0154220669745156	0.83883906700573	46
"Inflammatory bowel disease"	"Gal-3_CVDI"	"Inverse variance weighted"	-0.00541235509406181	0.00978787423121735	0.580287151525233	46
"Inflammatory bowel disease"	"GDF-15_CVDI"	"Inverse variance weighted"	0.0243021089083291	0.0100747040817744	0.015856979122055	46
"Inflammatory bowel disease"	"HB-EGF_CVDI"	"Inverse variance weighted"	0.002765935634827	0.0129400211004476	0.830741648824344	46
"Inflammatory bowel disease"	"HGF_CVDI"	"Inverse variance weighted"	0.0145416823730305	0.0152979134804355	0.341824537644386	46
"Inflammatory bowel disease"	"hK11_CVDI"	"Inverse variance weighted"	-0.0159051592701944	0.0171000923206858	0.352308308717525	46
"Inflammatory bowel disease"	"HSP_27_CVDI"	"Inverse variance weighted"	0.0187038676245423	0.0134160720551738	0.163275671345868	46
"Inflammatory bowel disease"	"IL-18_CVDI"	"Inverse variance weighted"	0.00850682350164531	0.0127970523795915	0.506211260913241	46
"Inflammatory bowel disease"	"IL-1ra_CVDI"	"Inverse variance weighted"	0.00807998788537466	0.0110255881846375	0.463656251642237	46
"Inflammatory bowel disease"	"IL-27_CVDI"	"Inverse variance weighted"	0.0174381518344372	0.0139119973414962	0.21003783384203	46
"Inflammatory bowel disease"	"IL-6_CVDI"	"Inverse variance weighted"	0.046353446323175	0.0128210169922368	0.000299853387473699	46
