"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Insulin secretion"	"ADM_CVDI"	"Inverse variance weighted"	0.0165980097576086	0.059030910029266	0.778576261346171	2
"Insulin secretion"	"AGRP_CVDI"	"Inverse variance weighted"	-0.0174601891904739	0.0615230308504064	0.776564239566394	2
"Insulin secretion"	"CA-125_CVDI"	"Inverse variance weighted"	-0.127240468657837	0.0851265802598587	0.134987328092484	2
"Insulin secretion"	"CASP-8_CVDI"	"Inverse variance weighted"	0.0780312587608635	0.0721754066060958	0.279637679388107	2
"Insulin secretion"	"CCL20_CVDI"	"Inverse variance weighted"	-0.0253950103950104	0.0638345053622574	0.690758629913029	2
"Insulin secretion"	"CCL3_CVDI"	"Inverse variance weighted"	-0.0833637550665107	0.0951024863306221	0.38072156181311	2
"Insulin secretion"	"CCL4_CVDI"	"Inverse variance weighted"	-0.120571178658485	0.0645135065562747	0.0616326598782924	2
"Insulin secretion"	"CD40_CVDI"	"Inverse variance weighted"	0.0488390666670226	0.0635906117331071	0.442473387321994	2
"Insulin secretion"	"CD40-L_CVDI"	"Inverse variance weighted"	0.0131315063934971	0.0943630270475828	0.889324155481168	2
"Insulin secretion"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.0100469168900804	0.0537215539791088	0.851646238179803	2
"Insulin secretion"	"CSF-1_CVDI"	"Inverse variance weighted"	0.0599532224532225	0.0638345053622574	0.347629234925568	2
"Insulin secretion"	"CSTB_CVDI"	"Inverse variance weighted"	0.125201324734182	0.0549885896224847	0.0227945822272404	2
"Insulin secretion"	"CTSD_CVDI"	"Inverse variance weighted"	0.00836210396577975	0.0544815411622364	0.878015751542343	2
"Insulin secretion"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.0151958454152208	0.0602931411537093	0.801015759545268	2
"Insulin secretion"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.0202376245685317	0.0982888628458086	0.836869441033855	2
"Insulin secretion"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0807952182952183	0.0671517671517671	0.228909235951726	2
"Insulin secretion"	"CXCL16_CVDI"	"Inverse variance weighted"	0.143581343951488	0.107273329193227	0.180745669491645	2
"Insulin secretion"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.0687644206522653	0.115002337774229	0.549880416598029	2
"Insulin secretion"	"Dkk-1_CVDI"	"Inverse variance weighted"	0.0570574464039549	0.0704604981698911	0.418067084591786	2
"Insulin secretion"	"ECP_CVDI"	"Inverse variance weighted"	0.0184931506849315	0.0833552596724915	0.824423310957439	2
"Insulin secretion"	"EGF_CVDI"	"Inverse variance weighted"	-0.0124439322324016	0.111970589951567	0.911508723010958	2
"Insulin secretion"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.0417730816474894	0.0719348853865734	0.561438035350148	2
"Insulin secretion"	"ESM-1_CVDI"	"Inverse variance weighted"	0.0657664800663224	0.108242134467163	0.543461631505396	2
"Insulin secretion"	"FABP4_CVDI"	"Inverse variance weighted"	0.134823949955317	0.0537215539791087	0.0120840354350194	2
"Insulin secretion"	"FAS_CVDI"	"Inverse variance weighted"	0.00989832691008055	0.0685098266635007	0.885121135475089	2
"Insulin secretion"	"FGF-23_CVDI"	"Inverse variance weighted"	-0.0924292502017536	0.0597840992502449	0.122092316909351	2
"Insulin secretion"	"FS_CVDI"	"Inverse variance weighted"	-0.104829939005479	0.0613107626309653	0.0873004582353721	2
"Insulin secretion"	"GAL_CVDI"	"Inverse variance weighted"	-0.0092078966197781	0.140980500231953	0.947924581810096	2
"Insulin secretion"	"Gal-3_CVDI"	"Inverse variance weighted"	-0.0647000858463168	0.108828015123564	0.552166493526825	2
"Insulin secretion"	"GDF-15_CVDI"	"Inverse variance weighted"	-0.0196787510676663	0.107725870741198	0.855053559919121	2
"Insulin secretion"	"HB-EGF_CVDI"	"Inverse variance weighted"	0.111157603270428	0.0775273327946	0.151633345439861	2
"Insulin secretion"	"HGF_CVDI"	"Inverse variance weighted"	-0.0188327865176338	0.101301946379137	0.852517339902852	2
"Insulin secretion"	"hK11_CVDI"	"Inverse variance weighted"	0.0583310459742754	0.102113261210385	0.567837852324718	2
"Insulin secretion"	"HSP_27_CVDI"	"Inverse variance weighted"	-0.0236434511434511	0.0854469854469854	0.78200804293538	2
