"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"LDL cholesterol"	"ADM_CVDI"	"Inverse variance weighted"	-0.0542135643212004	0.0331942500138196	0.102422410072692	52
"LDL cholesterol"	"AGRP_CVDI"	"Inverse variance weighted"	0.00396872134548625	0.0319167948012641	0.901041436827023	52
"LDL cholesterol"	"CA-125_CVDI"	"Inverse variance weighted"	0.0027432807877447	0.0410856800008274	0.946765001670884	52
"LDL cholesterol"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.0195184429897775	0.0312765300108696	0.532587936831955	52
"LDL cholesterol"	"CCL20_CVDI"	"Inverse variance weighted"	0.00460270918770602	0.034527557791425	0.893951873505129	52
"LDL cholesterol"	"CCL3_CVDI"	"Inverse variance weighted"	-0.0172950839353163	0.0335873900147407	0.606603409404881	52
"LDL cholesterol"	"CCL4_CVDI"	"Inverse variance weighted"	0.00872217520466867	0.0349825587827004	0.803106106034238	52
"LDL cholesterol"	"CD40_CVDI"	"Inverse variance weighted"	-0.00871299120167666	0.0316545460919637	0.783122297277845	52
"LDL cholesterol"	"CD40-L_CVDI"	"Inverse variance weighted"	0.0261352289610961	0.0285084618287231	0.359271883136657	52
"LDL cholesterol"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.00552827980144518	0.0509085247706549	0.913525774752474	52
"LDL cholesterol"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.0172844141667493	0.0415018830355703	0.677063912928915	52
"LDL cholesterol"	"CSTB_CVDI"	"Inverse variance weighted"	-0.0230952186908163	0.026051070278078	0.375328618129103	52
"LDL cholesterol"	"CTSD_CVDI"	"Inverse variance weighted"	-0.0258225784099685	0.0243755181573704	0.289433440727024	52
"LDL cholesterol"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.0489670517329212	0.0368337106607265	0.183713201981817	52
"LDL cholesterol"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.0906360485236123	0.0385304358407515	0.0186565429875313	52
"LDL cholesterol"	"CXCL1_CVDI"	"Inverse variance weighted"	0.02583578013042	0.0305387436277783	0.397552689080536	52
"LDL cholesterol"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.0554186994314563	0.0298196470765183	0.063103346900697	52
"LDL cholesterol"	"CXCL6_CVDI"	"Inverse variance weighted"	0.0264480778453441	0.0293897492596058	0.368169078969003	52
"LDL cholesterol"	"Dkk-1_CVDI"	"Inverse variance weighted"	0.0171141051781618	0.0271478296319871	0.528430179094052	52
"LDL cholesterol"	"ECP_CVDI"	"Inverse variance weighted"	0.00710971953495568	0.042259523640762	0.866394896936163	52
"LDL cholesterol"	"EGF_CVDI"	"Inverse variance weighted"	0.0210013723972389	0.0399700622315211	0.59928599671305	52
"LDL cholesterol"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.0597410884199735	0.0331417366505352	0.0714520342315324	52
"LDL cholesterol"	"ESM-1_CVDI"	"Inverse variance weighted"	0.024524317888995	0.0388932865768204	0.52833217634072	52
"LDL cholesterol"	"FABP4_CVDI"	"Inverse variance weighted"	-0.05651096879793	0.0276012718202184	0.0406183825397908	52
"LDL cholesterol"	"FAS_CVDI"	"Inverse variance weighted"	-0.0670088953822907	0.031653746694125	0.0342654421480144	52
"LDL cholesterol"	"FGF-23_CVDI"	"Inverse variance weighted"	-0.0484378463750549	0.0360084826513613	0.178567510644484	52
"LDL cholesterol"	"FS_CVDI"	"Inverse variance weighted"	0.0205011084610582	0.0341999958611156	0.548874384127997	52
"LDL cholesterol"	"GAL_CVDI"	"Inverse variance weighted"	-0.0116427002616162	0.0507134710129335	0.818419657569206	52
"LDL cholesterol"	"Gal-3_CVDI"	"Inverse variance weighted"	0.0222122025618199	0.0415110058378832	0.592586317786135	52
