"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Major depressive disorder"	"ADM_CVDI"	"Inverse variance weighted"	-0.00868495961325305	0.201094410360608	0.965551297293542	4
"Major depressive disorder"	"AGRP_CVDI"	"Inverse variance weighted"	0.146441463814873	0.115949102357313	0.206596161220395	4
"Major depressive disorder"	"CA-125_CVDI"	"Inverse variance weighted"	0.130781190041546	0.264941045616338	0.62157193099521	4
"Major depressive disorder"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.0416185821655339	0.130158320010626	0.749155177907196	4
"Major depressive disorder"	"CCL20_CVDI"	"Inverse variance weighted"	0.175518071327743	0.121779501299607	0.14950626375981	4
"Major depressive disorder"	"CCL3_CVDI"	"Inverse variance weighted"	0.0907678085476245	0.115330702481962	0.431268944945241	4
"Major depressive disorder"	"CCL4_CVDI"	"Inverse variance weighted"	0.0268626922365705	0.122455894557834	0.826364746532267	4
"Major depressive disorder"	"CD40_CVDI"	"Inverse variance weighted"	-0.0316170427354303	0.189860505675319	0.86774164707804	4
"Major depressive disorder"	"CD40-L_CVDI"	"Inverse variance weighted"	0.0471314134979828	0.119928080936912	0.694321466362437	4
"Major depressive disorder"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.00082938208827074	0.104543428474396	0.993670149990633	4
"Major depressive disorder"	"CSF-1_CVDI"	"Inverse variance weighted"	0.0568250763891699	0.230752863382823	0.805481387069314	4
"Major depressive disorder"	"CSTB_CVDI"	"Inverse variance weighted"	-0.0327374312315419	0.106162101493123	0.757799201638624	4
"Major depressive disorder"	"CTSD_CVDI"	"Inverse variance weighted"	0.203990612724273	0.106127218110798	0.0545890429256726	4
"Major depressive disorder"	"CTSL1_CVDI"	"Inverse variance weighted"	0.0790942742005814	0.115694454150854	0.494197510390531	4
"Major depressive disorder"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.236401929525331	0.22847384204803	0.300808943720161	4
"Major depressive disorder"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.16979851785923	0.117305303416604	0.147759104801156	4
"Major depressive disorder"	"CXCL16_CVDI"	"Inverse variance weighted"	0.0279975296539426	0.105453896476926	0.790627814840445	4
"Major depressive disorder"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.102952877684842	0.207324734821711	0.61948675366743	4
"Major depressive disorder"	"Dkk-1_CVDI"	"Inverse variance weighted"	0.0217939909188416	0.1947682257329	0.910905031498552	4
"Major depressive disorder"	"ECP_CVDI"	"Inverse variance weighted"	-0.0407210354675989	0.174109468442908	0.815076744717169	4
"Major depressive disorder"	"EGF_CVDI"	"Inverse variance weighted"	-0.0685906410732765	0.169189353799506	0.685177963645531	4
"Major depressive disorder"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.0292698570365606	0.155722528243948	0.850906745954936	4
"Major depressive disorder"	"ESM-1_CVDI"	"Inverse variance weighted"	0.00813642874805832	0.16746287468557	0.961248858264925	4
"Major depressive disorder"	"FABP4_CVDI"	"Inverse variance weighted"	0.0844789999217155	0.104006694305804	0.416650607835759	4
"Major depressive disorder"	"FAS_CVDI"	"Inverse variance weighted"	0.150147252356506	0.105216528958377	0.153570948867028	4
"Major depressive disorder"	"FGF-23_CVDI"	"Inverse variance weighted"	-0.000273767473262024	0.207202958856	0.998945793159432	4
"Major depressive disorder"	"FS_CVDI"	"Inverse variance weighted"	-0.17793567020993	0.116807629473985	0.127678083361578	4
"Major depressive disorder"	"GAL_CVDI"	"Inverse variance weighted"	-0.00167442868496632	0.171879330132002	0.992227223231947	4
"Major depressive disorder"	"Gal-3_CVDI"	"Inverse variance weighted"	0.0424696521845252	0.105117922918842	0.686198648919376	4
"Major depressive disorder"	"GDF-15_CVDI"	"Inverse variance weighted"	0.119008237543056	0.103197092989637	0.248822935739471	4
"Major depressive disorder"	"HB-EGF_CVDI"	"Inverse variance weighted"	-0.102506055137812	0.25915877764272	0.692448984934653	4
"Major depressive disorder"	"HGF_CVDI"	"Inverse variance weighted"	0.263499052759763	0.140800894276857	0.0612854693221859	4
"Major depressive disorder"	"hK11_CVDI"	"Inverse variance weighted"	-0.0885739330618479	0.167350371716292	0.596616498137753	4
"Major depressive disorder"	"HSP_27_CVDI"	"Inverse variance weighted"	0.157161087350922	0.158693375175042	0.322005836495407	4
"Major depressive disorder"	"IL-18_CVDI"	"Inverse variance weighted"	0.0574637967550133	0.1671332185709	0.730981417395879	4
"Major depressive disorder"	"IL-1ra_CVDI"	"Inverse variance weighted"	-0.0362113310582585	0.139430400580454	0.795088243421787	4
"Major depressive disorder"	"IL-27_CVDI"	"Inverse variance weighted"	0.214138684378257	0.114912773256643	0.0623935042973511	4
"Major depressive disorder"	"IL-6_CVDI"	"Inverse variance weighted"	0.0912063595969913	0.150933302338446	0.545655811246076	4
"Major depressive disorder"	"IL-6RA_CVDI"	"Inverse variance weighted"	0.0799872725117488	0.204471439681722	0.695656473999958	4
"Major depressive disorder"	"IL-8_CVDI"	"Inverse variance weighted"	0.014010542051554	0.121927289528929	0.908517256980334	4
"Major depressive disorder"	"IL16_CVDI"	"Inverse variance weighted"	0.0606336846714554	0.115458560044944	0.599475176173095	4
