"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Primary biliary cirrhosis"	"ADM_CVDI"	"Inverse variance weighted"	-0.00468153445636068	0.0102523412356184	0.647936459954976	22
"Primary biliary cirrhosis"	"AGRP_CVDI"	"Inverse variance weighted"	0.00267351465524023	0.00967133290228594	0.782212409655013	22
"Primary biliary cirrhosis"	"CA-125_CVDI"	"Inverse variance weighted"	0.00222434755799356	0.015631680619872	0.886845097695484	22
"Primary biliary cirrhosis"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.00451798702605509	0.0102666019016886	0.659888982160179	22
"Primary biliary cirrhosis"	"CCL20_CVDI"	"Inverse variance weighted"	0.0236696501971703	0.00959379196032052	0.0136180353313745	22
"Primary biliary cirrhosis"	"CCL3_CVDI"	"Inverse variance weighted"	0.0338374865216663	0.012097228354504	0.00515592295936989	22
"Primary biliary cirrhosis"	"CCL4_CVDI"	"Inverse variance weighted"	0.0253027107598784	0.0100072259047886	0.0114569346781079	22
"Primary biliary cirrhosis"	"CD40_CVDI"	"Inverse variance weighted"	0.0223495793281149	0.00945592735287946	0.0181006690922917	22
"Primary biliary cirrhosis"	"CD40-L_CVDI"	"Inverse variance weighted"	0.0101109636757818	0.00857347730270701	0.238266579169089	22
"Primary biliary cirrhosis"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.00685546729070436	0.00761439527953549	0.367944745142276	22
"Primary biliary cirrhosis"	"CSF-1_CVDI"	"Inverse variance weighted"	0.00348840796809697	0.0110511808124929	0.752261124333579	22
"Primary biliary cirrhosis"	"CSTB_CVDI"	"Inverse variance weighted"	0.00391894349577919	0.00775538965401595	0.613335003621336	22
"Primary biliary cirrhosis"	"CTSD_CVDI"	"Inverse variance weighted"	0.0156699088966475	0.00932269890108384	0.0927951706329577	22
"Primary biliary cirrhosis"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.00958186059368363	0.00977551327664995	0.326992327914169	22
"Primary biliary cirrhosis"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.0277284183784992	0.0120629717740968	0.0215254423012269	22
"Primary biliary cirrhosis"	"CXCL1_CVDI"	"Inverse variance weighted"	0.0114297346394228	0.0104905604702208	0.275922153169076	22
"Primary biliary cirrhosis"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.00638439631660422	0.0164247435431288	0.69749364551154	22
"Primary biliary cirrhosis"	"CXCL6_CVDI"	"Inverse variance weighted"	0.0171853046826575	0.0116095984342925	0.138802023821186	22
"Primary biliary cirrhosis"	"Dkk-1_CVDI"	"Inverse variance weighted"	0.0102816175856779	0.0093663363106001	0.272326638918675	22
"Primary biliary cirrhosis"	"ECP_CVDI"	"Inverse variance weighted"	0.00348378158561546	0.0159857743899045	0.827483565842565	22
"Primary biliary cirrhosis"	"EGF_CVDI"	"Inverse variance weighted"	-0.00675586457229105	0.0120628176618205	0.575440609927312	22
"Primary biliary cirrhosis"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.00880593851162684	0.0101909967725941	0.387538446005713	22
"Primary biliary cirrhosis"	"ESM-1_CVDI"	"Inverse variance weighted"	0.0268775735394958	0.0127455481408131	0.0349634637137175	22
"Primary biliary cirrhosis"	"FABP4_CVDI"	"Inverse variance weighted"	-0.00277270960683557	0.00757611830115593	0.714379819171085	22
"Primary biliary cirrhosis"	"FAS_CVDI"	"Inverse variance weighted"	0.000400446086227938	0.010404390227813	0.969298452250713	22
"Primary biliary cirrhosis"	"FGF-23_CVDI"	"Inverse variance weighted"	0.0161892701099641	0.00960093397285196	0.091753769463755	22
"Primary biliary cirrhosis"	"FS_CVDI"	"Inverse variance weighted"	0.0114448645302762	0.00920189620723097	0.213591342678043	22
"Primary biliary cirrhosis"	"GAL_CVDI"	"Inverse variance weighted"	-0.00966898787695268	0.0123040297008214	0.431961744637063	22
