"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Schizophrenia"	"ADM_CVDI"	"Inverse variance weighted"	-0.0527956240165851	0.0273169827336413	0.0532727523959716	46
"Schizophrenia"	"AGRP_CVDI"	"Inverse variance weighted"	0.0216015003648748	0.0219367336502131	0.324762521742919	46
"Schizophrenia"	"CA-125_CVDI"	"Inverse variance weighted"	0.0131268785003303	0.0360248329497454	0.715571161991449	46
"Schizophrenia"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.0307944992998432	0.026863215534505	0.251652638288653	46
"Schizophrenia"	"CCL20_CVDI"	"Inverse variance weighted"	-0.0237808756166275	0.0228090480014501	0.297130294986185	46
"Schizophrenia"	"CCL3_CVDI"	"Inverse variance weighted"	0.00596399408344039	0.022388721854662	0.789943596382823	46
"Schizophrenia"	"CCL4_CVDI"	"Inverse variance weighted"	-0.0159271983189234	0.0219951435834964	0.468989975302391	46
"Schizophrenia"	"CD40_CVDI"	"Inverse variance weighted"	-0.0319786623284431	0.0226872286934361	0.158674173944373	46
"Schizophrenia"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.0174174176159516	0.0206005904372369	0.397842070723556	46
"Schizophrenia"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.021820250995638	0.0183062467703035	0.233278277316936	46
"Schizophrenia"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.0396268934973038	0.0251127791439228	0.114575416811169	46
"Schizophrenia"	"CSTB_CVDI"	"Inverse variance weighted"	-0.0270565092730481	0.0210739739030877	0.199183021924395	46
"Schizophrenia"	"CTSD_CVDI"	"Inverse variance weighted"	0.00414122916586279	0.0229853992000411	0.857020824331579	46
"Schizophrenia"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.0247793253818989	0.0236765421288043	0.295294695864058	46
"Schizophrenia"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.0522970020231857	0.0218089086276327	0.0164864354172559	46
"Schizophrenia"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0169196267356032	0.0217807287078266	0.437267113873503	46
"Schizophrenia"	"CXCL16_CVDI"	"Inverse variance weighted"	0.0201885025728684	0.0214499185347579	0.346606216568067	46
"Schizophrenia"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.0187590204920683	0.0220058989559857	0.393962061338245	46
"Schizophrenia"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.012793965905176	0.0218285542345339	0.557800612119271	46
"Schizophrenia"	"ECP_CVDI"	"Inverse variance weighted"	0.0197701938219533	0.0342649611567315	0.563953034562957	46
"Schizophrenia"	"EGF_CVDI"	"Inverse variance weighted"	-0.0250259490873633	0.0291748687834392	0.391007705787793	46
"Schizophrenia"	"EN-RAGE_CVDI"	"Inverse variance weighted"	-0.0297865859504121	0.0306231864358915	0.33071196300527	46
"Schizophrenia"	"ESM-1_CVDI"	"Inverse variance weighted"	0.00102284507089818	0.031433114514093	0.974041125139202	46
"Schizophrenia"	"FABP4_CVDI"	"Inverse variance weighted"	-0.018405062185438	0.0185924815472067	0.32221341095012	46
"Schizophrenia"	"FAS_CVDI"	"Inverse variance weighted"	-0.00363911164463612	0.0201777714974835	0.856875837983266	46
"Schizophrenia"	"FGF-23_CVDI"	"Inverse variance weighted"	-0.0272243033733091	0.0233240225235459	0.243120881715866	46
"Schizophrenia"	"FS_CVDI"	"Inverse variance weighted"	0.00558054446169857	0.0237796951880246	0.814459540669617	46
"Schizophrenia"	"GAL_CVDI"	"Inverse variance weighted"	0.0568674287126118	0.0318437740024483	0.0741274906970533	46
"Schizophrenia"	"Gal-3_CVDI"	"Inverse variance weighted"	-0.0213470133169229	0.021566468433188	0.322260032539141	46
"Schizophrenia"	"GDF-15_CVDI"	"Inverse variance weighted"	-0.0198345160987697	0.0200448394998619	0.322414973504204	46
"Schizophrenia"	"HB-EGF_CVDI"	"Inverse variance weighted"	-0.0452701594926734	0.0265857339079224	0.088605701480791	46
"Schizophrenia"	"HGF_CVDI"	"Inverse variance weighted"	-0.00258969902639818	0.0238271421882286	0.91345080574849	46
"Schizophrenia"	"hK11_CVDI"	"Inverse variance weighted"	-0.0194243590109686	0.028960497838553	0.502399493656475	46
"Schizophrenia"	"HSP_27_CVDI"	"Inverse variance weighted"	-0.0289898056321722	0.0222653151961601	0.192910777912796	46
"Schizophrenia"	"IL-18_CVDI"	"Inverse variance weighted"	0.0375095561759125	0.0209818600059947	0.0738222288044957	46
"Schizophrenia"	"IL-1ra_CVDI"	"Inverse variance weighted"	-0.0337958316427351	0.023149310687944	0.144315742907311	46
"Schizophrenia"	"IL-27_CVDI"	"Inverse variance weighted"	-0.0061956859650973	0.0225203028161294	0.783227449192246	46
"Schizophrenia"	"IL-6_CVDI"	"Inverse variance weighted"	-0.0109612661487726	0.0240247858691262	0.648211483343354	46
"Schizophrenia"	"IL-6RA_CVDI"	"Inverse variance weighted"	0.011521359886888	0.0203429527356198	0.571151580432217	46
"Schizophrenia"	"IL-8_CVDI"	"Inverse variance weighted"	-0.0597495931168592	0.0250564815084481	0.0170978723619474	46
