"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Sleep duration"	"ADM_CVDI"	"Inverse variance weighted"	-0.286085187566462	0.280197841643941	0.307249042735425	2
"Sleep duration"	"AGRP_CVDI"	"Inverse variance weighted"	-0.393808092233175	0.285554462919511	0.167863996820546	2
"Sleep duration"	"CA-125_CVDI"	"Inverse variance weighted"	-0.924271360511022	0.449370283392322	0.0397040629690852	2
"Sleep duration"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.0403062288380775	0.31592589725066	0.898480350251112	2
"Sleep duration"	"CCL20_CVDI"	"Inverse variance weighted"	0.235637910616718	0.306974596923074	0.442716712099405	2
"Sleep duration"	"CCL3_CVDI"	"Inverse variance weighted"	-0.0180082126993608	0.543080748601881	0.97354750242106	2
"Sleep duration"	"CCL4_CVDI"	"Inverse variance weighted"	-0.185818513240841	0.713565995075528	0.794548835310183	2
"Sleep duration"	"CD40_CVDI"	"Inverse variance weighted"	-0.531356658372221	0.304965154982172	0.0814468634396587	2
"Sleep duration"	"CD40-L_CVDI"	"Inverse variance weighted"	0.143491300516607	0.285554462919511	0.615315401960439	2
"Sleep duration"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.288990261574502	0.248887663303197	0.245590132344203	2
"Sleep duration"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.223190510268168	0.52908444792483	0.673139700660181	2
"Sleep duration"	"CSTB_CVDI"	"Inverse variance weighted"	-0.431426497856915	0.349604195331225	0.217187001122032	2
"Sleep duration"	"CTSD_CVDI"	"Inverse variance weighted"	-0.249959790920937	0.421897728175576	0.553539007848369	2
"Sleep duration"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.147530216644694	0.284219791422567	0.603711315668216	2
"Sleep duration"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.191819016967103	0.304965154982172	0.529357783817867	2
"Sleep duration"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0812096657984226	0.291585126225171	0.78062012031321	2
"Sleep duration"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.47585026920058	0.248688676645672	0.0556920523675023	2
"Sleep duration"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.137164542156967	0.466166092412087	0.768574793975344	2
"Sleep duration"	"Dkk-1_CVDI"	"Inverse variance weighted"	-0.170376914501843	0.285554462919511	0.550739107216151	2
"Sleep duration"	"ECP_CVDI"	"Inverse variance weighted"	0.226820452377401	0.756308410695402	0.76424984377245	2
"Sleep duration"	"EGF_CVDI"	"Inverse variance weighted"	-0.31961984255125	0.426364499829364	0.453471611047376	2
"Sleep duration"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.0373538514096969	0.70260954840931	0.957600878963637	2
"Sleep duration"	"ESM-1_CVDI"	"Inverse variance weighted"	-0.622654644032853	0.492442074437148	0.206078563185232	2
"Sleep duration"	"FABP4_CVDI"	"Inverse variance weighted"	-0.300126844750431	0.24534026088028	0.221213169875312	2
"Sleep duration"	"FAS_CVDI"	"Inverse variance weighted"	-0.152413803839349	0.32316261864635	0.637189544242262	2
"Sleep duration"	"FGF-23_CVDI"	"Inverse variance weighted"	-0.783595751519392	0.284219791422567	0.00583332301395779	2
"Sleep duration"	"FS_CVDI"	"Inverse variance weighted"	-0.598982406675795	0.290898345216766	0.0394867591431489	2
"Sleep duration"	"GAL_CVDI"	"Inverse variance weighted"	-0.638829120087775	0.432387203139736	0.139555890086046	2
"Sleep duration"	"Gal-3_CVDI"	"Inverse variance weighted"	-0.493458095548601	0.622537240136674	0.427978069171578	2
"Sleep duration"	"GDF-15_CVDI"	"Inverse variance weighted"	-0.291359878173271	0.244667811727627	0.233716946227991	2
"Sleep duration"	"HB-EGF_CVDI"	"Inverse variance weighted"	-0.219818780655953	0.284219791422567	0.439279041401502	2
"Sleep duration"	"HGF_CVDI"	"Inverse variance weighted"	-0.232772329423899	0.574717770431805	0.685462633259965	2
"Sleep duration"	"hK11_CVDI"	"Inverse variance weighted"	-0.81591745410395	0.871477406875716	0.349146415424631	2
"Sleep duration"	"HSP_27_CVDI"	"Inverse variance weighted"	-0.23291871947066	0.291585126225171	0.424405355043973	2
"Sleep duration"	"IL-18_CVDI"	"Inverse variance weighted"	-0.204926695501814	0.284219791422567	0.470900366886993	2
"Sleep duration"	"IL-1ra_CVDI"	"Inverse variance weighted"	0.0647749013153538	0.471589049713372	0.890750554974025	2
"Sleep duration"	"IL-27_CVDI"	"Inverse variance weighted"	-0.426321032478089	0.282208840256318	0.130875617195111	2
"Sleep duration"	"IL-6_CVDI"	"Inverse variance weighted"	-0.315806802864778	0.35469910110447	0.373277287748775	2
"Sleep duration"	"IL-6RA_CVDI"	"Inverse variance weighted"	-0.0956216402172545	0.3488169630373	0.783983737031032	2
"Sleep duration"	"IL-8_CVDI"	"Inverse variance weighted"	-0.13242014064288	0.305655472606561	0.66484526164087	2
"Sleep duration"	"IL16_CVDI"	"Inverse variance weighted"	-0.59804015328141	0.284219791422567	0.0353656470040324	2
"Sleep duration"	"ITGB1BP2_CVDI"	"Inverse variance weighted"	-0.310193317202929	0.548606000401952	0.571787489002337	2
