"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Total cholesterol"	"ADM_CVDI"	"Inverse variance weighted"	-0.0617781987894423	0.0354177816822481	0.081111898528359	58
"Total cholesterol"	"AGRP_CVDI"	"Inverse variance weighted"	0.0049170756132499	0.03195050238649	0.877691217402882	58
"Total cholesterol"	"CA-125_CVDI"	"Inverse variance weighted"	0.0385702395579179	0.0447822754824926	0.389081864526547	58
"Total cholesterol"	"CASP-8_CVDI"	"Inverse variance weighted"	-0.0278998919977244	0.0323729481846759	0.388782534654848	58
"Total cholesterol"	"CCL20_CVDI"	"Inverse variance weighted"	-0.0163533313290417	0.0340717864628111	0.63125089601777	58
"Total cholesterol"	"CCL3_CVDI"	"Inverse variance weighted"	-0.0373251957838818	0.0335399107910464	0.265768937377228	58
"Total cholesterol"	"CCL4_CVDI"	"Inverse variance weighted"	-0.0139276945917728	0.0357551238781388	0.696884098228909	58
"Total cholesterol"	"CD40_CVDI"	"Inverse variance weighted"	-0.0254436764988125	0.033262888045943	0.444315098692805	58
"Total cholesterol"	"CD40-L_CVDI"	"Inverse variance weighted"	0.0285727647139972	0.0311040832222373	0.358295514702031	58
"Total cholesterol"	"CHI3L1_CVDI"	"Inverse variance weighted"	-0.006355218625142	0.0486786631348266	0.896127736685866	58
"Total cholesterol"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.0223925123758781	0.0384389262636104	0.560197746546803	58
"Total cholesterol"	"CSTB_CVDI"	"Inverse variance weighted"	-0.0308583962816863	0.0267161355663083	0.248071118223064	58
"Total cholesterol"	"CTSD_CVDI"	"Inverse variance weighted"	-0.0492070237145632	0.0255552666726645	0.0541650863871271	58
"Total cholesterol"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.063164189941231	0.0422098539375839	0.134541030705928	58
"Total cholesterol"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.0638118720332204	0.0415943660143711	0.124993491736957	58
"Total cholesterol"	"CXCL1_CVDI"	"Inverse variance weighted"	-0.0165774972250108	0.0321271733645506	0.60585710995128	58
"Total cholesterol"	"CXCL16_CVDI"	"Inverse variance weighted"	-0.0440789964128779	0.0320815226472591	0.169451511545775	58
"Total cholesterol"	"CXCL6_CVDI"	"Inverse variance weighted"	-0.0325695436113884	0.0326169126137804	0.318013838367176	58
"Total cholesterol"	"Dkk-1_CVDI"	"Inverse variance weighted"	0.0216732971462324	0.0300117696088472	0.470196161801574	58
"Total cholesterol"	"ECP_CVDI"	"Inverse variance weighted"	-0.00239153798795754	0.0431626027219361	0.955813708706056	58
"Total cholesterol"	"EGF_CVDI"	"Inverse variance weighted"	-0.0180587310780472	0.0441472327478361	0.682497889714251	58
"Total cholesterol"	"EN-RAGE_CVDI"	"Inverse variance weighted"	0.0569588603115886	0.0331241322485589	0.0855128507583963	58
"Total cholesterol"	"ESM-1_CVDI"	"Inverse variance weighted"	0.0424162459785825	0.0437025091760427	0.331763572302626	58
"Total cholesterol"	"FABP4_CVDI"	"Inverse variance weighted"	-0.058471269714276	0.0275841267311129	0.0340276934855802	58
"Total cholesterol"	"FAS_CVDI"	"Inverse variance weighted"	-0.0726883779343059	0.0302473084308795	0.0162551670805135	58
"Total cholesterol"	"FGF-23_CVDI"	"Inverse variance weighted"	-0.0238862392920024	0.0376739278014362	0.526064035414605	58
"Total cholesterol"	"FS_CVDI"	"Inverse variance weighted"	0.0245940321154384	0.0339837444918568	0.469250001335009	58
"Total cholesterol"	"GAL_CVDI"	"Inverse variance weighted"	0.117956206872901	0.0561607491982602	0.0356996646860467	58
"Total cholesterol"	"Gal-3_CVDI"	"Inverse variance weighted"	0.0679318487961179	0.0412808800056255	0.0998459761658729	58
"Total cholesterol"	"GDF-15_CVDI"	"Inverse variance weighted"	-0.0327336539611239	0.0240371664464554	0.173263103728132	58
"Total cholesterol"	"HB-EGF_CVDI"	"Inverse variance weighted"	-0.000134200895912019	0.0293945982267372	0.996357274554699	58
"Total cholesterol"	"HGF_CVDI"	"Inverse variance weighted"	-0.0356884200404302	0.0412497762814835	0.386940817776492	58
"Total cholesterol"	"hK11_CVDI"	"Inverse variance weighted"	-0.0449661150378369	0.039083266586602	0.249929391234915	58
"Total cholesterol"	"HSP_27_CVDI"	"Inverse variance weighted"	-0.0529307199083472	0.030560901316985	0.0832779971270348	58
"Total cholesterol"	"IL-18_CVDI"	"Inverse variance weighted"	-0.0999860784264667	0.0345332921182129	0.00378732107184415	58
"Total cholesterol"	"IL-1ra_CVDI"	"Inverse variance weighted"	-0.0916734360568049	0.0276026785611152	0.000896380318026754	58
"Total cholesterol"	"IL-27_CVDI"	"Inverse variance weighted"	0.0570392751013919	0.044525668144081	0.200178723863239	58
