"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Waist-hip ratio"	"ADM_CVDI"	"Inverse variance weighted"	-0.223043706673786	0.0516827071221686	1.59144659028188e-05	145
"Waist-hip ratio"	"AGRP_CVDI"	"Inverse variance weighted"	-0.00661185593424418	0.0515928745881728	0.898026754550945	145
"Waist-hip ratio"	"CA-125_CVDI"	"Inverse variance weighted"	0.0591028198994782	0.0704579421423936	0.401560059143397	145
"Waist-hip ratio"	"CASP-8_CVDI"	"Inverse variance weighted"	0.0885499235448514	0.0561690072044968	0.114912735528066	145
"Waist-hip ratio"	"CCL20_CVDI"	"Inverse variance weighted"	0.130082566188413	0.0540696319497288	0.0161355887897823	145
"Waist-hip ratio"	"CCL3_CVDI"	"Inverse variance weighted"	0.0982178874617292	0.0518499848405647	0.0581891382223986	145
"Waist-hip ratio"	"CCL4_CVDI"	"Inverse variance weighted"	0.0959718315641604	0.051482415365229	0.0622982239499108	145
"Waist-hip ratio"	"CD40_CVDI"	"Inverse variance weighted"	0.0708039433494935	0.0554930309006866	0.201988416861745	145
"Waist-hip ratio"	"CD40-L_CVDI"	"Inverse variance weighted"	-0.000691423451601935	0.0465670695858356	0.988153520671568	145
"Waist-hip ratio"	"CHI3L1_CVDI"	"Inverse variance weighted"	0.00954340371350143	0.040025459504982	0.811545016809171	145
"Waist-hip ratio"	"CSF-1_CVDI"	"Inverse variance weighted"	-0.0549353841250355	0.0484461301354497	0.256816432392562	145
"Waist-hip ratio"	"CSTB_CVDI"	"Inverse variance weighted"	0.0252245467887736	0.043646334962296	0.563311064135349	145
"Waist-hip ratio"	"CTSD_CVDI"	"Inverse variance weighted"	0.137272514834331	0.0479302660709736	0.00418321596917172	145
"Waist-hip ratio"	"CTSL1_CVDI"	"Inverse variance weighted"	-0.0854743661152968	0.0495165642621765	0.0843155317759097	145
"Waist-hip ratio"	"CX3CL1_CVDI"	"Inverse variance weighted"	-0.240231824072109	0.0563411360009581	2.00907671234195e-05	145
"Waist-hip ratio"	"CXCL1_CVDI"	"Inverse variance weighted"	0.0862336066803233	0.0462936976732694	0.0624973827600035	145
"Waist-hip ratio"	"CXCL16_CVDI"	"Inverse variance weighted"	0.082240894324182	0.0403014040832939	0.0412860380324107	145
"Waist-hip ratio"	"CXCL6_CVDI"	"Inverse variance weighted"	0.087327751986288	0.0499866076605031	0.0806333530320665	145
