"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Eczema"	"Wald ratio"	-0.173963608512612	0.133890572391335	0.193842050488397	1	"cis"
"CA-125_CVDI"	"CA-125"	"Eczema"	"Wald ratio"	-0.215797838313305	0.152366560261734	0.156685615328157	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Eczema"	"Wald ratio"	0.270265587171904	0.139423369628813	0.0525680338093893	1	"cis"
"CCL20_CVDI"	"CCL20"	"Eczema"	"Wald ratio"	-0.389447327289967	0.200665466456555	0.0522850868600644	1	"cis"
"CCL3_CVDI"	"CCL3"	"Eczema"	"Wald ratio"	0.0305224962082519	0.0495093259900885	0.537564615419452	1	"cis"
"CCL4_CVDI"	"CCL4"	"Eczema"	"Wald ratio"	-0.100033779986683	0.0625560314231213	0.109796857114967	1	"cis"
"CD40_CVDI"	"CD40"	"Eczema"	"Wald ratio"	-0.0146016868990058	0.0385020056838588	0.704506058326008	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Eczema"	"Wald ratio"	0.0645919434253768	0.0304697030260249	0.0340166388180482	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Eczema"	"Wald ratio"	0.0764221175808763	0.096167877556837	0.426803126082454	1	"cis"
"CSTB_CVDI"	"CSTB"	"Eczema"	"Wald ratio"	0.0152674276413978	0.0339035395071165	0.652480023372242	1	"cis"
"CTSD_CVDI"	"CTSD"	"Eczema"	"Wald ratio"	-0.0318136688045311	0.0757906065361901	0.674662679878	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Eczema"	"Wald ratio"	0.0544918878364838	0.141655996663314	0.700476298265951	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Eczema"	"Wald ratio"	-0.16349012016028	0.0856239187923689	0.0562107974070145	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Eczema"	"Wald ratio"	0.0220937075847296	0.0661475372519407	0.738374651688559	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Eczema"	"Wald ratio"	-0.112218534331223	0.152864238191894	0.46288421719784	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Eczema"	"Wald ratio"	-0.0264793853280688	0.037135708231798	0.47581867394146	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Eczema"	"Wald ratio"	0.141305795367494	0.118918113825649	0.23473047014276	1	"cis"
"ECP_CVDI"	"ECP"	"Eczema"	"Wald ratio"	0.128628097540439	0.0914600915928187	0.159609842951121	1	"cis"
"EGF_CVDI"	"EGF"	"Eczema"	"Wald ratio"	0.00202380606461351	0.132384683450348	0.987802964228396	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Eczema"	"Wald ratio"	0.0373426785846971	0.137928420557246	0.786591355518742	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Eczema"	"Wald ratio"	-0.0451688579733813	0.153315708703567	0.768289245708335	1	"cis"
"FABP4_CVDI"	"FABP4"	"Eczema"	"Wald ratio"	-0.122155665837142	0.219348375284271	0.577594023801258	1	"cis"
"FAS_CVDI"	"FAS"	"Eczema"	"Wald ratio"	-0.0215903842622732	0.0732609392018197	0.76821904332738	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Eczema"	"Wald ratio"	0.0277222949919303	0.252952581058245	0.912730711420865	1	"cis"
"FS_CVDI"	"FS"	"Eczema"	"Wald ratio"	0.148376543355274	0.131110565783456	0.257764700052141	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Eczema"	"Wald ratio"	-0.00153201320858291	0.0738629402246687	0.983452025551423	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Eczema"	"Wald ratio"	-0.00722216978970696	0.0552381035749613	0.895976117323351	1	"cis"
"HGF_CVDI"	"HGF"	"Eczema"	"Wald ratio"	-0.337633168897083	0.181214754033317	0.0624389144453269	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Eczema"	"Wald ratio"	-0.0119730552360226	0.0588219075135404	0.838707082949945	1	"cis"
"IL-18_CVDI"	"IL-18"	"Eczema"	"Wald ratio"	0.103885560451124	0.0968319082722941	0.283340982547495	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Eczema"	"Wald ratio"	-0.0190755813710632	0.0836093871708657	0.819528703661719	1	"cis"
"IL-27_CVDI"	"IL-27"	"Eczema"	"Wald ratio"	-0.0124318266184439	0.0277011255693763	0.653587359959262	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"Eczema"	"Wald ratio"	0.0792775587400961	0.0179696615862771	1.02540993002392e-05	1	"cis"
"IL-8_CVDI"	"IL-8"	"Eczema"	"Wald ratio"	0.14055765618482	0.248265219398102	0.571285512826242	1	"cis"
"IL16_CVDI"	"IL16"	"Eczema"	"Wald ratio"	-0.0341939692024027	0.035530192385199	0.335852783123431	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"Eczema"	"Wald ratio"	-0.038928814637535	0.0352697235956314	0.269703356231474	1	"cis"
"KLK6_CVDI"	"KLK6"	"Eczema"	"Wald ratio"	0.000707544766642466	0.110105381433213	0.994872774130777	1	"cis"
"LEP_CVDI"	"LEP"	"Eczema"	"Wald ratio"	0.15359294947592	0.231168791542192	0.506422141909968	1	"cis"
"LOX-1_CVDI"	"LOX-1"	"Eczema"	"Wald ratio"	-0.370650988717369	0.212621603064651	0.0812912860450814	1	"cis"
"MCP-1_CVDI"	"MCP-1"	"Eczema"	"Wald ratio"	-0.274455959429838	0.315567574566957	0.384452524304639	1	"cis"
