"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"SLE"	"Wald ratio"	-0.130256011073627	0.227441417136483	0.566846910039417	1	"cis"
"CA-125_CVDI"	"CA-125"	"SLE"	"Wald ratio"	0.168618381298029	0.232231840650727	0.467791084590307	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"SLE"	"Wald ratio"	0.202691024047965	0.208859978759228	0.331815419258838	1	"cis"
"CCL20_CVDI"	"CCL20"	"SLE"	"Wald ratio"	0	0.351890038316721	1	1	"cis"
"CCL3_CVDI"	"CCL3"	"SLE"	"Wald ratio"	0.0247952425944881	0.0730158442401545	0.734167454988746	1	"cis"
"CCL4_CVDI"	"CCL4"	"SLE"	"Wald ratio"	-0.0451393373516747	0.0965974697523821	0.640290146062791	1	"cis"
"CD40_CVDI"	"CD40"	"SLE"	"Wald ratio"	-0.116189248502444	0.0630699892074273	0.0654419259587808	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"SLE"	"Wald ratio"	0.0148982150214964	0.0702690745097811	0.832094030947488	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"SLE"	"Wald ratio"	-0.0572995202594156	0.162182687286121	0.723861803764395	1	"cis"
"CSTB_CVDI"	"CSTB"	"SLE"	"Wald ratio"	0	0.0578950176376774	1	1	"cis"
"CTSD_CVDI"	"CTSD"	"SLE"	"Wald ratio"	0.120265637485464	0.121879117480241	0.323759505574866	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"SLE"	"Wald ratio"	-0.41382666810375	0.249766235924537	0.097548606901465	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"SLE"	"Wald ratio"	0.562704495069528	0.149254581964823	0.000163183044574874	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"SLE"	"Wald ratio"	0.138393483250816	0.100542033042826	0.16867496576511	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"SLE"	"Wald ratio"	-0.351440941640385	0.233928553953367	0.133008531124504	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"SLE"	"Wald ratio"	0.0560144063701808	0.0398176405724052	0.15949452730897	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"SLE"	"Wald ratio"	0.297924475886459	0.216428071865032	0.168650827435273	1	"cis"
"ECP_CVDI"	"ECP"	"SLE"	"Wald ratio"	0	0.142134389535181	1	1	"cis"
"EGF_CVDI"	"EGF"	"SLE"	"Wald ratio"	-0.38595405859707	0.22048309974103	0.0800333311177242	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"SLE"	"Wald ratio"	-0.178172406519255	0.24290189826272	0.463243828774108	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"SLE"	"Wald ratio"	0.229880811205348	0.223915375878551	0.304589317945325	1	"cis"
"FABP4_CVDI"	"FABP4"	"SLE"	"Wald ratio"	0.117240983389948	0.371775810907349	0.752492900498539	1	"cis"
"FAS_CVDI"	"FAS"	"SLE"	"Wald ratio"	0	0.124998459777269	1	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"SLE"	"Wald ratio"	-0.287787853525919	0.446476369974175	0.519202135879673	1	"cis"
"FS_CVDI"	"FS"	"SLE"	"Wald ratio"	0.229315766032152	0.217808851578472	0.292418759547002	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"SLE"	"Wald ratio"	-0.285607253070821	0.107167727710763	0.00769770896846239	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"SLE"	"Wald ratio"	0.121193541808342	0.0838942288654828	0.148570477854339	1	"cis"
"HGF_CVDI"	"HGF"	"SLE"	"Wald ratio"	-0.0989142222586399	0.301512963954131	0.742866599809417	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"SLE"	"Wald ratio"	0	0.0893835588725179	1	1	"cis"
"IL-18_CVDI"	"IL-18"	"SLE"	"Wald ratio"	0.283442069253722	0.143082513464156	0.0475947143838989	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"SLE"	"Wald ratio"	-0.0970717024322534	0.151977372266181	0.523002037458548	1	"cis"
"IL-27_CVDI"	"IL-27"	"SLE"	"Wald ratio"	-0.0438622974351453	0.0472443771569319	0.35319333918998	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"SLE"	"Wald ratio"	0.0510677874915555	0.0302770887516277	0.0916647254806467	1	"cis"
"IL-8_CVDI"	"IL-8"	"SLE"	"Wald ratio"	-0.744999692831338	0.280849493365956	0.0079859025504632	1	"cis"
"IL16_CVDI"	"IL16"	"SLE"	"Wald ratio"	-0.0206557080381555	0.0571573810165167	0.717813125623326	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"SLE"	"Wald ratio"	0.101329520601105	0.0588013428398895	0.0848429978223488	1	"cis"
"KLK6_CVDI"	"KLK6"	"SLE"	"Wald ratio"	-0.0530640752560797	0.164943722064515	0.747672261605075	1	"cis"
"LEP_CVDI"	"LEP"	"SLE"	"Wald ratio"	-0.265475786038364	0.40010093979551	0.506996277814921	1	"cis"
"LOX-1_CVDI"	"LOX-1"	"SLE"	"Wald ratio"	-0.189518830370727	0.383025293296114	0.620745146781916	1	"cis"
"MCP-1_CVDI"	"MCP-1"	"SLE"	"Wald ratio"	-0.31382927569223	0.52815875164971	0.552381713993619	1	"cis"
"MMP-1_CVDI"	"MMP-1"	"SLE"	"Wald ratio"	-0.0826819643120123	0.0845795580316822	0.328289815262267	1	"cis"
"MMP-10_CVDI"	"MMP-10"	"SLE"	"Wald ratio"	-0.123946383802021	0.0967786644515413	0.200291986294507	1	"cis"
"MMP-12_CVDI"	"MMP-12"	"SLE"	"Wald ratio"	0.0397691702372485	0.055347814696528	0.47242938842735	1	"cis"
"MMP-3_CVDI"	"MMP-3"	"SLE"	"Wald ratio"	0.0206224473640789	0.055647404691201	0.71094191855721	1	"cis"
"MMP-7_CVDI"	"MMP-7"	"SLE"	"Wald ratio"	-0.188682871880061	0.112284767012078	0.0928802963375263	1	"cis"
"NT-pro_BNP_CVDI"	"NT-pro_BNP"	"SLE"	"Wald ratio"	-0.496515153901159	0.143482881450682	0.000539275928746811	1	"cis"
"OPG_CVDI"	"OPG"	"SLE"	"Wald ratio"	0.057783570575889	0.162632766978136	0.722364171622929	1	"cis"
"PAPPA_CVDI"	"PAPPA"	"SLE"	"Wald ratio"	0.106918466526612	0.442059680562995	0.808885293552771	1	"cis"
"PAR-1_CVDI"	"PAR-1"	"SLE"	"Wald ratio"	0.0819098276568989	0.256180018195529	0.749168901083457	1	"cis"
"PSGL-1_CVDI"	"PSGL-1"	"SLE"	"Wald ratio"	-0.0336542151576619	0.0640525936049954	0.599294492924524	1	"cis"
"PTX3_CVDI"	"PTX3"	"SLE"	"Wald ratio"	0.380414288586628	0.286905948208806	0.184866250945099	1	"cis"
"PlGF_CVDI"	"PlGF"	"SLE"	"Wald ratio"	-0.355282806964797	0.247714473479167	0.151502863989361	1	"cis"
"SCF_CVDI"	"SCF"	"SLE"	"Wald ratio"	0.14255488328321	0.45877631440862	0.756007017106253	1	"cis"
"SELE_CVDI"	"SELE"	"SLE"	"Wald ratio"	0	0.291346219937133	1	1	"cis"
"SPON1_CVDI"	"SPON1"	"SLE"	"Wald ratio"	-0.0438879294912729	0.121579480892936	0.718113362231345	1	"cis"
"ST2_CVDI"	"ST2"	"SLE"	"Wald ratio"	0.129213712907254	0.0481659855025593	0.00730358028275227	1	"cis"
"TF_CVDI"	"TF"	"SLE"	"Wald ratio"	0.107622974435759	0.170144855172136	0.527035815710341	1	"cis"
"TIE2_CVDI"	"TIE2"	"SLE"	"Wald ratio"	0.0242115506738962	0.0715719441862219	0.735150157872853	1	"cis"
"TM_CVDI"	"TM"	"SLE"	"Wald ratio"	-0.0250631816795549	0.089123238497909	0.778542142800272	1	"cis"
"TNF-R1_CVDI"	"TNF-R1"	"SLE"	"Wald ratio"	0.238029143417217	0.285659596696432	0.404697265693755	1	"cis"
"TNF-R2_CVDI"	"TNF-R2"	"SLE"	"Wald ratio"	-0.0264777297849071	0.193422239631796	0.891117091854009	1	"cis"
"TNFSF14_CVDI"	"TNFSF14"	"SLE"	"Wald ratio"	-0.0469112874806291	0.0968432388176434	0.628098922115319	1	"cis"
"TRAIL_CVDI"	"TRAIL"	"SLE"	"Wald ratio"	-0.0420616552595151	0.141108497337459	0.765641919884499	1	"cis"
"TRAIL-R2_CVDI"	"TRAIL-R2"	"SLE"	"Wald ratio"	-0.0990865565540293	0.101708644714955	0.329947508105731	1	"cis"
"TRANCE_CVDI"	"TRANCE"	"SLE"	"Wald ratio"	0.244692071535964	0.232659330373066	0.292928820083281	1	"cis"
"U-PAR_CVDI"	"U-PAR"	"SLE"	"Wald ratio"	-0.403245038920248	0.273654902218637	0.140601947615726	1	"cis"
"VEGF-A_CVDI"	"VEGF-A"	"SLE"	"Wald ratio"	0.0225546136748238	0.0641619337326968	0.725193469218775	1	"cis"
