"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"All stroke"	"Wald ratio"	-0.0986460348162476	0.0709219858156028	0.164252995736297	1	"cis"
"CA-125_CVDI"	"CA-125"	"All stroke"	"Wald ratio"	-0.0154021677124929	0.0758699372504278	0.839129155428647	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"All stroke"	"Wald ratio"	0.0490956072351421	0.068733850129199	0.475050524053953	1	"cis"
"CCL20_CVDI"	"CCL20"	"All stroke"	"Wald ratio"	-0.0895522388059701	0.105625717566016	0.396534832588875	1	"cis"
"CCL3_CVDI"	"CCL3"	"All stroke"	"Wald ratio"	0.0024919013207077	0.0266633441315724	0.925539759297431	1	"cis"
"CCL4_CVDI"	"CCL4"	"All stroke"	"Wald ratio"	0.0544791429222704	0.0357875541372236	0.127935682849773	1	"cis"
"CD40_CVDI"	"CD40"	"All stroke"	"Wald ratio"	-0.0791625124626122	0.0209371884346959	0.000156229557702761	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"All stroke"	"Wald ratio"	-0.00237177586718055	0.0170471390453602	0.889347078629313	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"All stroke"	"Wald ratio"	0.0524515393386545	0.0530216647662486	0.322542155546151	1	"cis"
"CSTB_CVDI"	"CSTB"	"All stroke"	"Wald ratio"	-0.0028333962976955	0.0187004155647903	0.879569359634668	1	"cis"
"CTSD_CVDI"	"CTSD"	"All stroke"	"Wald ratio"	-0.0691676436107855	0.0377491207502931	0.0669070145713183	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"All stroke"	"Wald ratio"	-0.0152671755725191	0.0780322307039864	0.844882420504495	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"All stroke"	"Wald ratio"	0.0332671300893744	0.048162859980139	0.489740481469678	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"All stroke"	"Wald ratio"	-0.0172900494001411	0.0359915314043754	0.630948570240595	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"All stroke"	"Wald ratio"	0.0922798552472859	0.071773220747889	0.198542793686662	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"All stroke"	"Wald ratio"	0.00511654349061967	0.0191396626871328	0.789217605793216	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"All stroke"	"Wald ratio"	-0.0220167327168648	0.0664905328049318	0.740549443281891	1	"cis"
"ECP_CVDI"	"ECP"	"All stroke"	"Wald ratio"	0.00718849840255591	0.045926517571885	0.875621785073035	1	"cis"
"EGF_CVDI"	"EGF"	"All stroke"	"Wald ratio"	-0.0970654627539504	0.0692249811888638	0.160863319629277	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"All stroke"	"Wald ratio"	-0.0349608197709464	0.0669077757685353	0.601306569127729	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"All stroke"	"Wald ratio"	0.0958490566037736	0.08	0.230872947759818	1	"cis"
"FABP4_CVDI"	"FABP4"	"All stroke"	"Wald ratio"	0.126250962278676	0.11431870669746	0.26942958838859	1	"cis"
"FAS_CVDI"	"FAS"	"All stroke"	"Wald ratio"	0.00489396411092985	0.0415986949429038	0.906347316282193	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"All stroke"	"Wald ratio"	-0.256410256410256	0.13960113960114	0.0662490709111945	1	"cis"
"FS_CVDI"	"FS"	"All stroke"	"Wald ratio"	0.0395655546935609	0.0729247478665632	0.587437474820799	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"All stroke"	"Wald ratio"	0.0458118731363513	0.0368663594470046	0.213997920652974	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"All stroke"	"Wald ratio"	0.0115230460921844	0.0278891115564462	0.679479390212477	1	"cis"
"HGF_CVDI"	"HGF"	"All stroke"	"Wald ratio"	0.100899100899101	0.0954045954045954	0.290241663253527	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"All stroke"	"Wald ratio"	-0.0201224846894138	0.0312044327792359	0.519018036455031	1	"cis"
"IL-18_CVDI"	"IL-18"	"All stroke"	"Wald ratio"	-0.00641319285387082	0.0480989464040312	0.893929766752772	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"All stroke"	"Wald ratio"	-0.0661764705882353	0.046078431372549	0.150953912804239	1	"cis"
"IL-27_CVDI"	"IL-27"	"All stroke"	"Wald ratio"	-0.0090517880991245	0.015284166790325	0.553694567834809	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"All stroke"	"Wald ratio"	-0.0228176679924639	0.00973414276742725	0.0190737716942415	1	"cis"
"IL-8_CVDI"	"IL-8"	"All stroke"	"Wald ratio"	-0.183368869936034	0.124200426439232	0.139837924498808	1	"cis"
"IL16_CVDI"	"IL16"	"All stroke"	"Wald ratio"	0.00114738708667988	0.0176280379680818	0.94810333174936	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"All stroke"	"Wald ratio"	0.0371754932502596	0.0191069574247144	0.0516965352373127	1	"cis"
"KLK6_CVDI"	"KLK6"	"All stroke"	"Wald ratio"	-0.0248152059134108	0.0607180570221753	0.682763024892747	1	"cis"
"LEP_CVDI"	"LEP"	"All stroke"	"Wald ratio"	-0.16688567674113	0.124835742444152	0.18127418199484	1	"cis"
"LOX-1_CVDI"	"LOX-1"	"All stroke"	"Wald ratio"	0.025328330206379	0.117260787992495	0.828987747564888	1	"cis"
"MCP-1_CVDI"	"MCP-1"	"All stroke"	"Wald ratio"	-0.109350237717908	0.171156893819334	0.522895216724075	1	"cis"
"MMP-1_CVDI"	"MMP-1"	"All stroke"	"Wald ratio"	0.0106293706293706	0.0265734265734266	0.689156516779352	1	"cis"
"MMP-10_CVDI"	"MMP-10"	"All stroke"	"Wald ratio"	0.0125931181269954	0.0340546293011706	0.711537724847096	1	"cis"
"MMP-12_CVDI"	"MMP-12"	"All stroke"	"Wald ratio"	-0.0907429168298734	0.0186708447578013	1.1730285271689e-06	1	"cis"
"MMP-3_CVDI"	"MMP-3"	"All stroke"	"Wald ratio"	0.0545077720207254	0.0198963730569948	0.00615171175021819	1	"cis"
"MMP-7_CVDI"	"MMP-7"	"All stroke"	"Wald ratio"	-0.0195200573065903	0.0351002865329513	0.578127149576431	1	"cis"
"MPO_CVDI"	"MPO"	"All stroke"	"Wald ratio"	0.0375143184421535	0.072737686139748	0.606030403190286	1	"cis"
"NT-pro_BNP_CVDI"	"NT-pro_BNP"	"All stroke"	"Wald ratio"	-0.0494816211121583	0.0447690857681433	0.269045576986182	1	"cis"
"OPG_CVDI"	"OPG"	"All stroke"	"Wald ratio"	-0.0342624854819977	0.054006968641115	0.525814197149323	1	"cis"
"PAPPA_CVDI"	"PAPPA"	"All stroke"	"Wald ratio"	0.0106382978723404	0.118085106382979	0.928215624159341	1	"cis"
"PAR-1_CVDI"	"PAR-1"	"All stroke"	"Wald ratio"	0.0660146699266504	0.0757946210268949	0.383771766671715	1	"cis"
"PSGL-1_CVDI"	"PSGL-1"	"All stroke"	"Wald ratio"	0.00121289130183666	0.0220053136190366	0.956044368193987	1	"cis"
"PTX3_CVDI"	"PTX3"	"All stroke"	"Wald ratio"	0.0310378273520854	0.0989330746847721	0.753729539113066	1	"cis"
"PlGF_CVDI"	"PlGF"	"All stroke"	"Wald ratio"	-0.0330722367275892	0.0809399477806788	0.682831652206915	1	"cis"
"REN_CVDI"	"REN"	"All stroke"	"Wald ratio"	0.127295684113866	0.0958448117539027	0.184130635083114	1	"cis"
"SCF_CVDI"	"SCF"	"All stroke"	"Wald ratio"	0.289398280802292	0.141833810888252	0.0413100998183252	1	"cis"
"SELE_CVDI"	"SELE"	"All stroke"	"Wald ratio"	0.0598859315589354	0.0931558935361217	0.520316800507367	1	"cis"
"SPON1_CVDI"	"SPON1"	"All stroke"	"Wald ratio"	0.00567685589519651	0.0419213973799127	0.892282447412413	1	"cis"
"ST2_CVDI"	"ST2"	"All stroke"	"Wald ratio"	-0.0139470013947001	0.0159615682628235	0.382234583931633	1	"cis"
"TF_CVDI"	"TF"	"All stroke"	"Wald ratio"	-0.0472826086956522	0.0516304347826087	0.359777325556014	1	"cis"
"TIE2_CVDI"	"TIE2"	"All stroke"	"Wald ratio"	0.0113705832008803	0.0279985328279741	0.68465917963579	1	"cis"
"TM_CVDI"	"TM"	"All stroke"	"Wald ratio"	0.0740648379052369	0.0296758104738155	0.0125674031902211	1	"cis"
"TNF-R1_CVDI"	"TNF-R1"	"All stroke"	"Wald ratio"	-0.0705109905795033	0.123037396517271	0.566586569629796	1	"cis"
"TNF-R2_CVDI"	"TNF-R2"	"All stroke"	"Wald ratio"	-0.0401809473124002	0.0713145290047898	0.573140183093116	1	"cis"
"TNFSF14_CVDI"	"TNFSF14"	"All stroke"	"Wald ratio"	-0.0253927947944771	0.0322171083954928	0.430592981729961	1	"cis"
"TRAIL_CVDI"	"TRAIL"	"All stroke"	"Wald ratio"	0.0320730671197961	0.0526762956669499	0.542609969127132	1	"cis"
"TRAIL-R2_CVDI"	"TRAIL-R2"	"All stroke"	"Wald ratio"	-0.00585556278464541	0.0328562134027326	0.85855191401308	1	"cis"
"TRANCE_CVDI"	"TRANCE"	"All stroke"	"Wald ratio"	0.0786423841059603	0.076158940397351	0.301787057154339	1	"cis"
"U-PAR_CVDI"	"U-PAR"	"All stroke"	"Wald ratio"	-0.0332179930795848	0.0878892733564014	0.705465690539786	1	"cis"
"VEGF-A_CVDI"	"VEGF-A"	"All stroke"	"Wald ratio"	0.0145870736086176	0.0210951526032316	0.489258063849489	1	"cis"
"hK11_CVDI"	"hK11"	"All stroke"	"Wald ratio"	0.00841006307547307	0.027840208801566	0.762588537368613	1	"cis"
