"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Alzheimer"	"Wald ratio"	-0.0406189555125725	0.119277885235332	0.733449498149666	1	"cis"
"CA-125_CVDI"	"CA-125"	"Alzheimer"	"Wald ratio"	0.0496292070735881	0.167142042213349	0.76652122862311	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Alzheimer"	"Wald ratio"	0.0697674418604651	0.11937984496124	0.558940744185274	1	"cis"
"CCL20_CVDI"	"CCL20"	"Alzheimer"	"Wald ratio"	-0.0241102181400689	0.183696900114811	0.895577543745231	1	"cis"
"CCL3_CVDI"	"CCL3"	"Alzheimer"	"Wald ratio"	-0.0503364066782955	0.0456017941689509	0.269668998650178	1	"cis"
"CCL4_CVDI"	"CCL4"	"Alzheimer"	"Wald ratio"	0.0941417825393207	0.059949851834967	0.116335520284692	1	"cis"
"CD40_CVDI"	"CD40"	"Alzheimer"	"Wald ratio"	0.00877367896311067	0.0350947158524427	0.802587348634153	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Alzheimer"	"Wald ratio"	-0.0103765194189149	0.0292024903646605	0.722342421226462	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Alzheimer"	"Wald ratio"	-0.0524515393386545	0.0895096921322691	0.557884075448815	1	"cis"
"CSTB_CVDI"	"CSTB"	"Alzheimer"	"Wald ratio"	-0.00717793728749528	0.03362296939932	0.830950133616499	1	"cis"
"CTSD_CVDI"	"CTSD"	"Alzheimer"	"Wald ratio"	-0.00984759671746776	0.0647127784290739	0.879049768694381	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Alzheimer"	"Wald ratio"	0	0.135708227311281	1	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Alzheimer"	"Wald ratio"	-0.0436941410129096	0.0804369414101291	0.586985307184361	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Alzheimer"	"Wald ratio"	-0.00564573041637262	0.0631616090331687	0.928775566643984	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Alzheimer"	"Wald ratio"	-0.00904704463208685	0.143546441495778	0.949746429479884	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Alzheimer"	"Wald ratio"	0.0390373318173204	0.0371423157096835	0.29324921684639	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Alzheimer"	"Wald ratio"	0.00176133861734919	0.112285336856011	0.987484677005961	1	"cis"
"ECP_CVDI"	"ECP"	"Alzheimer"	"Wald ratio"	0.0934504792332268	0.077276357827476	0.226546717741115	1	"cis"
"EGF_CVDI"	"EGF"	"Alzheimer"	"Wald ratio"	0.0105342362678706	0.121896162528217	0.931132744979333	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Alzheimer"	"Wald ratio"	0.149487643158529	0.121760096443641	0.2195510548782	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Alzheimer"	"Wald ratio"	0.0867924528301887	0.136603773584906	0.525194226198516	1	"cis"
"FABP4_CVDI"	"FABP4"	"Alzheimer"	"Wald ratio"	0.223248652809854	0.320246343341032	0.485730586955803	1	"cis"
"FAS_CVDI"	"FAS"	"Alzheimer"	"Wald ratio"	-0.100326264274062	0.0705546492659054	0.155036319469797	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Alzheimer"	"Wald ratio"	0.0783475783475783	0.243589743589744	0.747727386689802	1	"cis"
"FS_CVDI"	"FS"	"Alzheimer"	"Wald ratio"	-0.0799069045771916	0.125678820791311	0.524905177922427	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Alzheimer"	"Wald ratio"	0.18595825426945	0.0647872052046625	0.00410091751761663	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Alzheimer"	"Wald ratio"	-0.0896793587174349	0.0504342017368069	0.0753799291443213	1	"cis"
"HGF_CVDI"	"HGF"	"Alzheimer"	"Wald ratio"	-0.010989010989011	0.155844155844156	0.943785496656573	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Alzheimer"	"Wald ratio"	-0.0554097404491105	0.0542432195975503	0.307015063198403	1	"cis"
"IL-18_CVDI"	"IL-18"	"Alzheimer"	"Wald ratio"	-0.0421438387540082	0.0824553366926248	0.609273256070766	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Alzheimer"	"Wald ratio"	-0.017156862745098	0.0764705882352941	0.822477990690132	1	"cis"
"IL-27_CVDI"	"IL-27"	"Alzheimer"	"Wald ratio"	-0.0231488351387446	0.0262650244843449	0.378125201477686	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"Alzheimer"	"Wald ratio"	-0.00512874188821436	0.016432907682646	0.754963074388803	1	"cis"
"IL-8_CVDI"	"IL-8"	"Alzheimer"	"Wald ratio"	-0.0405117270788913	0.198294243070362	0.838118229750606	1	"cis"
"IL16_CVDI"	"IL16"	"Alzheimer"	"Wald ratio"	-0.00876186502555544	0.0333785334306874	0.792935985358011	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"Alzheimer"	"Wald ratio"	-0.0209761163032191	0.0321910695742471	0.514650921679903	1	"cis"
"KLK6_CVDI"	"KLK6"	"Alzheimer"	"Wald ratio"	0.0462207721587819	0.110386079390973	0.675421353368262	1	"cis"
"LEP_CVDI"	"LEP"	"Alzheimer"	"Wald ratio"	0.186596583442838	0.211563731931669	0.377783524999121	1	"cis"
