"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Asthma"	"Wald ratio"	0.0254058441558442	0.0931827922077922	0.785125937281713	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Asthma"	"Wald ratio"	0.323890275611024	0.0945335413416537	0.00061210246485195	1	"cis"
"CCL20_CVDI"	"CCL20"	"Asthma"	"Wald ratio"	-0.285301262916188	0.163768656716418	0.0814910693362891	1	"cis"
"CCL3_CVDI"	"CCL3"	"Asthma"	"Wald ratio"	0.0118614253675554	0.0390916521305756	0.761565200231599	1	"cis"
"CCL4_CVDI"	"CCL4"	"Asthma"	"Wald ratio"	0.0506751994529291	0.0479167084568042	0.29025222918644	1	"cis"
"CD40_CVDI"	"CD40"	"Asthma"	"Wald ratio"	-0.0115203788634098	0.0291663010967099	0.692850733798652	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Asthma"	"Wald ratio"	0.0357607026386007	0.0233972576341536	0.12640971199787	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Asthma"	"Wald ratio"	0.0726976624857469	0.0728119726339795	0.318070861424734	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Asthma"	"Wald ratio"	-0.131649872773537	0.108329177268872	0.224260759496457	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Asthma"	"Wald ratio"	-0.0512447424135498	0.0555309809456599	0.356104371209177	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Asthma"	"Wald ratio"	0.0849439013650374	0.0885689123734038	0.337522830695763	1	"cis"
"EGF_CVDI"	"EGF"	"Asthma"	"Wald ratio"	0.0346667175572519	0.101572671755725	0.73287800960878	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Asthma"	"Wald ratio"	0.0865647989452868	0.0928999340804219	0.351436331652966	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Asthma"	"Wald ratio"	-0.00162910052910053	0.115444897959184	0.988741026722277	1	"cis"
"FAS_CVDI"	"FAS"	"Asthma"	"Wald ratio"	-0.128437683523654	0.0553621125611745	0.0203432397939726	1	"cis"
"FS_CVDI"	"FS"	"Asthma"	"Wald ratio"	-0.00192420480993018	0.0984823894491854	0.984411470524108	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Asthma"	"Wald ratio"	-0.0112703023758099	0.0504398218142549	0.82319263454183	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Asthma"	"Wald ratio"	-0.0289429095762429	0.0378927260593927	0.444979430957231	1	"cis"
"HGF_CVDI"	"HGF"	"Asthma"	"Wald ratio"	0.00407982017982018	0.129042007992008	0.974778110231441	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Asthma"	"Wald ratio"	0.00752350030921459	0.043867316017316	0.863826049089961	1	"cis"
"IL-18_CVDI"	"IL-18"	"Asthma"	"Wald ratio"	0.206144579439252	0.0694688317757009	0.00300291036290733	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Asthma"	"Wald ratio"	-0.0294678431372549	0.0620225490196078	0.634705010334997	1	"cis"
"IL-27_CVDI"	"IL-27"	"Asthma"	"Wald ratio"	-0.0337664045110551	0.0228096008309838	0.138777387986041	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"Asthma"	"Wald ratio"	0.0662229208076159	0.0132920284548593	6.28806506561422e-07	1	"cis"
"IL-8_CVDI"	"IL-8"	"Asthma"	"Wald ratio"	0.225236886993603	0.221144136460554	0.308436998592987	1	"cis"
"IL16_CVDI"	"IL16"	"Asthma"	"Wald ratio"	-0.0044831542714092	0.0240783978303953	0.852295851036069	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"Asthma"	"Wald ratio"	0.0112222637590862	0.0258897196261682	0.664677648723925	1	"cis"
"LEP_CVDI"	"LEP"	"Asthma"	"Wald ratio"	-0.155693298291721	0.179279632063075	0.385154437398408	1	"cis"
