"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"BMI"	"Wald ratio"	-0.0038961038961039	0.0123376623376623	0.752162308378054	1	"cis"
"AGRP_CVDI"	"AGRP"	"BMI"	"Wald ratio"	0.0193708967606955	0.0198759108289445	0.329762856410342	1	"cis"
"CA-125_CVDI"	"CA-125"	"BMI"	"Wald ratio"	0.0108385624643468	0.0119794637763833	0.365591537564832	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"BMI"	"Wald ratio"	0.0170542635658915	0.0144702842377261	0.23856887422207	1	"cis"
"CCL20_CVDI"	"CCL20"	"BMI"	"Wald ratio"	-0.0332950631458094	0.0206659012629162	0.107155507032273	1	"cis"
"CCL3_CVDI"	"CCL3"	"BMI"	"Wald ratio"	0.00647894343384002	0.0049838026414154	0.193600969171221	1	"cis"
"CCL4_CVDI"	"CCL4"	"BMI"	"Wald ratio"	-0.00433097788921815	0.0054707089126966	0.428555063350619	1	"cis"
"CD40_CVDI"	"CD40"	"BMI"	"Wald ratio"	-0.000997008973080758	0.00378863409770688	0.7924288824046	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"BMI"	"Wald ratio"	0	0.00355766380077083	1	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"BMI"	"Wald ratio"	0.0142531356898518	0.0096921322690992	0.141402507486613	1	"cis"
"CSTB_CVDI"	"CSTB"	"BMI"	"Wald ratio"	0.0017000377786173	0.00377786173026067	0.65271044057584	1	"cis"
"CTSD_CVDI"	"CTSD"	"BMI"	"Wald ratio"	-0.00797186400937866	0.00726846424384525	0.272740113942454	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"BMI"	"Wald ratio"	0.00848176420695505	0.0144189991518236	0.556374370426907	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"BMI"	"Wald ratio"	0.0278053624627607	0.00943396226415094	0.00320491112775515	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"BMI"	"Wald ratio"	-0.0127028934368384	0.00670430486944248	0.0581272742106314	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"BMI"	"Wald ratio"	-0.0295536791314837	0.014475271411339	0.0411846073972877	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"BMI"	"Wald ratio"	0.00568504832291075	0.00379003221527383	0.133614402537716	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"BMI"	"Wald ratio"	-0.0110083663584324	0.011889035667107	0.354484476873312	1	"cis"
"ECP_CVDI"	"ECP"	"BMI"	"Wald ratio"	0.00678913738019169	0.00858626198083067	0.429120433490311	1	"cis"
"EGF_CVDI"	"EGF"	"BMI"	"Wald ratio"	0.0233258088788563	0.0150489089541008	0.121141516004118	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"BMI"	"Wald ratio"	-0.0156720916214587	0.0132610006027728	0.237277851868278	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"BMI"	"Wald ratio"	-0.0143396226415094	0.0166037735849057	0.3877876816066	1	"cis"
"FABP4_CVDI"	"FABP4"	"BMI"	"Wald ratio"	0.069284064665127	0.0257890685142417	0.00721904329110619	1	"cis"
"FAS_CVDI"	"FAS"	"BMI"	"Wald ratio"	-0.00285481239804241	0.00734094616639478	0.697358341877476	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"BMI"	"Wald ratio"	0.00427350427350427	0.0256410256410256	0.867632334778193	1	"cis"
"FS_CVDI"	"FS"	"BMI"	"Wald ratio"	0.00620636152055857	0.013188518231187	0.637934810590957	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"BMI"	"Wald ratio"	0.00406614258606668	0.00731905665492003	0.578514721507944	1	"cis"
