"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Body fat %"	"Wald ratio"	0.0272727272727273	0.0422077922077922	0.518179726334666	1	"cis"
"CA-125_CVDI"	"CA-125"	"Body fat %"	"Wald ratio"	-0.017688679245283	0.0683962264150943	0.795927918181723	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Body fat %"	"Wald ratio"	0.0538860103626943	0.0440414507772021	0.22112980236164	1	"cis"
"CCL20_CVDI"	"CCL20"	"Body fat %"	"Wald ratio"	-0.0585533869115959	0.0769230769230769	0.446541183638091	1	"cis"
"CCL3_CVDI"	"CCL3"	"Body fat %"	"Wald ratio"	0.0149514079242462	0.0181908796411662	0.411123676903952	1	"cis"
"CCL4_CVDI"	"CCL4"	"Body fat %"	"Wald ratio"	-0.0218828356507864	0.0164121267380898	0.182422439451736	1	"cis"
"CD40_CVDI"	"CD40"	"Body fat %"	"Wald ratio"	-0.00418743768693918	0.0103688933200399	0.686325854518709	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Body fat %"	"Wald ratio"	-0.00103765194189149	0.00993181144381856	0.916790334119391	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Body fat %"	"Wald ratio"	0.0228050171037628	0.0307867730900798	0.458850651929467	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Body fat %"	"Wald ratio"	-0.0330788804071247	0.0458015267175573	0.47015786285767	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Body fat %"	"Wald ratio"	-0.0204657727593507	0.0239943542695836	0.393691925690234	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Body fat %"	"Wald ratio"	-0.0794011749099867	0.0341102899374645	0.0199239066611274	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Body fat %"	"Wald ratio"	-0.00968736239542052	0.0369881109643329	0.793394868265903	1	"cis"
"EGF_CVDI"	"EGF"	"Body fat %"	"Wald ratio"	0.00763358778625954	0.0427480916030534	0.858274230547457	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Body fat %"	"Wald ratio"	-0.017798286090969	0.03955174686882	0.65271044057584	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Body fat %"	"Wald ratio"	-0.104308390022676	0.0491307634164777	0.0337474064465437	1	"cis"
"FAS_CVDI"	"FAS"	"Body fat %"	"Wald ratio"	0.0122349102773246	0.0240619902120718	0.611120564276547	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Body fat %"	"Wald ratio"	0.0527065527065527	0.0968660968660969	0.586360517498321	1	"cis"
"FS_CVDI"	"FS"	"Body fat %"	"Wald ratio"	-0.0372381691233514	0.0426687354538402	0.382811748670736	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Body fat %"	"Wald ratio"	-0.0103655210038189	0.0215493726132024	0.630507502249952	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Body fat %"	"Wald ratio"	0.0165165165165165	0.0171838505171838	0.336469187101546	1	"cis"
"HGF_CVDI"	"HGF"	"Body fat %"	"Wald ratio"	-0.0304695304695305	0.0504495504495504	0.545869973034074	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Body fat %"	"Wald ratio"	-0.00408282298046078	0.0180810731991834	0.821351959007176	1	"cis"
"IL-18_CVDI"	"IL-18"	"Body fat %"	"Wald ratio"	-0.0221504383940932	0.029533917858791	0.453254704753736	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Body fat %"	"Wald ratio"	-0.0357843137254902	0.0269607843137255	0.184418482119343	1	"cis"
"IL-27_CVDI"	"IL-27"	"Body fat %"	"Wald ratio"	-0.00830983825493397	0.00979373794331503	0.396168007039194	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"Body fat %"	"Wald ratio"	0.00700910137043624	0.00491683230463438	0.154003501413637	1	"cis"
"IL-8_CVDI"	"IL-8"	"Body fat %"	"Wald ratio"	0.0383795309168444	0.0676972281449893	0.570762329490753	1	"cis"
"IL16_CVDI"	"IL16"	"Body fat %"	"Wald ratio"	-0.00177323458850527	0.0103264837801189	0.863659885264128	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"Body fat %"	"Wald ratio"	-0.00996884735202492	0.011214953271028	0.374062797490883	1	"cis"
"LEP_CVDI"	"LEP"	"Body fat %"	"Wald ratio"	-0.0459921156373193	0.0749014454664915	0.539192141149036	1	"cis"
"LOX-1_CVDI"	"LOX-1"	"Body fat %"	"Wald ratio"	0.0581613508442777	0.0675422138836773	0.389176850174411	1	"cis"
"MCP-1_CVDI"	"MCP-1"	"Body fat %"	"Wald ratio"	0.063391442155309	0.0998415213946117	0.525480178215685	1	"cis"
"MMP-12_CVDI"	"MMP-12"	"Body fat %"	"Wald ratio"	-0.00703399765533411	0.0105509964830012	0.504985075093846	1	"cis"
"MMP-3_CVDI"	"MMP-3"	"Body fat %"	"Wald ratio"	0.00831946755407654	0.0114392678868552	0.467058901715173	1	"cis"
"MMP-7_CVDI"	"MMP-7"	"Body fat %"	"Wald ratio"	-0.0207736389684814	0.0279369627507163	0.457124710034358	1	"cis"
"NT-pro_BNP_CVDI"	"NT-pro_BNP"	"Body fat %"	"Wald ratio"	0.0391140433553252	0.026861451460886	0.145353824895129	1	"cis"
"OPG_CVDI"	"OPG"	"Body fat %"	"Wald ratio"	0.000584453535943893	0.0572764465225015	0.991858462095654	1	"cis"
"PAPPA_CVDI"	"PAPPA"	"Body fat %"	"Wald ratio"	-0.0904255319148936	0.075531914893617	0.231235196045801	1	"cis"
"PAR-1_CVDI"	"PAR-1"	"Body fat %"	"Wald ratio"	-0.0423797881010595	0.0448247758761206	0.344426866305938	1	"cis"
"PSGL-1_CVDI"	"PSGL-1"	"Body fat %"	"Wald ratio"	0.00446534889259347	0.0114312931650393	0.696074443674105	1	"cis"
"PTX3_CVDI"	"PTX3"	"Body fat %"	"Wald ratio"	-0.108632395732299	0.0572259941804074	0.0576559045451202	1	"cis"
"PlGF_CVDI"	"PlGF"	"Body fat %"	"Wald ratio"	-0.208013640238704	0.235294117647059	0.376664919719375	1	"cis"
"RAGE_CVDI"	"RAGE"	"Body fat %"	"Wald ratio"	0.0429818670248489	0.035594358629953	0.227221490790263	1	"cis"
"SCF_CVDI"	"SCF"	"Body fat %"	"Wald ratio"	-0.00286532951289398	0.0816618911174785	0.972009793963865	1	"cis"
"SELE_CVDI"	"SELE"	"Body fat %"	"Wald ratio"	-0.0294957183634634	0.055185537583254	0.593007574981209	1	"cis"
"SPON1_CVDI"	"SPON1"	"Body fat %"	"Wald ratio"	-0.000436681222707424	0.0200873362445415	0.982656049567221	1	"cis"
"ST2_CVDI"	"ST2"	"Body fat %"	"Wald ratio"	-0.00650960942343459	0.00852448853068816	0.445083972938247	1	"cis"
"TF_CVDI"	"TF"	"Body fat %"	"Wald ratio"	0.00543478260869565	0.0304347826086957	0.858274230547457	1	"cis"
"TIE2_CVDI"	"TIE2"	"Body fat %"	"Wald ratio"	-0.000489476260401371	0.0157856093979442	0.975263357494293	1	"cis"
"TM_CVDI"	"TM"	"Body fat %"	"Wald ratio"	-0.0745635910224439	0.0845386533665835	0.377773616869347	1	"cis"
"TNF-R1_CVDI"	"TNF-R1"	"Body fat %"	"Wald ratio"	-0.00827861832714816	0.110476734227805	0.940266110188144	1	"cis"
"TNF-R2_CVDI"	"TNF-R2"	"Body fat %"	"Wald ratio"	-0.025279403938265	0.0505588078765301	0.617075077451974	1	"cis"
"TNFSF14_CVDI"	"TNFSF14"	"Body fat %"	"Wald ratio"	-0.021742580542771	0.02142517060784	0.310194110406588	1	"cis"
"TRANCE_CVDI"	"TRANCE"	"Body fat %"	"Wald ratio"	0.0363937138130687	0.0380479735318445	0.338808706669851	1	"cis"
"U-PAR_CVDI"	"U-PAR"	"Body fat %"	"Wald ratio"	-0.0131487889273356	0.055363321799308	0.812268919201515	1	"cis"
"VEGF-A_CVDI"	"VEGF-A"	"Body fat %"	"Wald ratio"	-0.00583482944344704	0.0125673249551167	0.64244305767423	1	"cis"
