"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Bone fracture"	"Wald ratio"	-0.0232624113475177	0.0467504835589942	0.618775492883225	1	"cis"
"CA-125_CVDI"	"CA-125"	"Bone fracture"	"Wald ratio"	-0.0364004563605248	0.0413861950941244	0.37911323853929	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Bone fracture"	"Wald ratio"	-0.0258191214470284	0.0492609819121447	0.600188646297589	1	"cis"
"CCL20_CVDI"	"CCL20"	"Bone fracture"	"Wald ratio"	-0.0582548794489093	0.0766245694603904	0.44709696943627	1	"cis"
"CCL3_CVDI"	"CCL3"	"Bone fracture"	"Wald ratio"	0.00173685522053327	0.0191029155245452	0.927555403724875	1	"cis"
"CCL4_CVDI"	"CCL4"	"Bone fracture"	"Wald ratio"	-0.0105561887394575	0.0228151356279918	0.643591186193868	1	"cis"
"CD40_CVDI"	"CD40"	"Bone fracture"	"Wald ratio"	-0.000925224327018943	0.0151784646061815	0.951393944427859	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Bone fracture"	"Wald ratio"	-7.11532760154166e-05	0.0119033501334124	0.995230606370761	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Bone fracture"	"Wald ratio"	0.0898859749144812	0.0373432155074116	0.0160831613005091	1	"cis"
"CSTB_CVDI"	"CSTB"	"Bone fracture"	"Wald ratio"	-0.0248847752172271	0.0134095202115603	0.063488582678468	1	"cis"
"CTSD_CVDI"	"CTSD"	"Bone fracture"	"Wald ratio"	-0.0139765533411489	0.0251043376318875	0.577706052057854	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Bone fracture"	"Wald ratio"	-0.0533163698049194	0.0558354537743851	0.339636467276807	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Bone fracture"	"Wald ratio"	0.108699106256207	0.032909632571996	0.000956710052938826	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Bone fracture"	"Wald ratio"	0.00842978122794637	0.0254798870853917	0.740764888917474	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Bone fracture"	"Wald ratio"	-0.00756332931242461	0.0481966224366707	0.875302741237426	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Bone fracture"	"Wald ratio"	0.0164297896532121	0.0128804244836081	0.202110129534919	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Bone fracture"	"Wald ratio"	0.356952884191986	0.0467107001321004	2.14239371497219e-14	1	"cis"
"ECP_CVDI"	"ECP"	"Bone fracture"	"Wald ratio"	-0.0254972044728435	0.029319089456869	0.384494345937772	1	"cis"
"EGF_CVDI"	"EGF"	"Bone fracture"	"Wald ratio"	0.0044620015048909	0.0519187358916479	0.931512500787486	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Bone fracture"	"Wald ratio"	0.0426461723930078	0.0446353224834238	0.339357500325036	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Bone fracture"	"Wald ratio"	0.0328301886792453	0.0560301886792453	0.557917515930088	1	"cis"
"FABP4_CVDI"	"FABP4"	"Bone fracture"	"Wald ratio"	0.146478060046189	0.0864126250962279	0.0900564100039176	1	"cis"
"FAS_CVDI"	"FAS"	"Bone fracture"	"Wald ratio"	0.0031973898858075	0.0288458401305057	0.911740009853441	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Bone fracture"	"Wald ratio"	-0.0997720797720798	0.0981481481481482	0.30936958799572	1	"cis"
"FS_CVDI"	"FS"	"Bone fracture"	"Wald ratio"	0.0619705197827774	0.0521955003878976	0.235118357074504	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Bone fracture"	"Wald ratio"	0.018232583355923	0.0250853889943074	0.467335718440236	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Bone fracture"	"Wald ratio"	0.0203557114228457	0.0196843687374749	0.301086905951988	1	"cis"
"HB-EGF_CVDI"	"HB-EGF"	"Bone fracture"	"Wald ratio"	0.103248520095545	0.0689728943815557	0.134407982084602	1	"cis"
"HGF_CVDI"	"HGF"	"Bone fracture"	"Wald ratio"	-0.0297202797202797	0.0661088911088911	0.653023736023566	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Bone fracture"	"Wald ratio"	0.000274132400116652	0.0222426363371245	0.990166612033376	1	"cis"
"IL-18_CVDI"	"IL-18"	"Bone fracture"	"Wald ratio"	0.0176133760879524	0.0342143838754008	0.606696640388772	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Bone fracture"	"Wald ratio"	0.0117401960784314	0.0326421568627451	0.719098706009196	1	"cis"
