"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Depressive symptoms"	"Wald ratio"	0.0193423597678917	0.0322372662798195	0.548506235500147	1	"cis"
"CA-125_CVDI"	"CA-125"	"Depressive symptoms"	"Wald ratio"	0.0342270393610953	0.0285225328009127	0.230139340443417	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Depressive symptoms"	"Wald ratio"	-0.0310077519379845	0.0258397932816537	0.230139340443417	1	"cis"
"CCL20_CVDI"	"CCL20"	"Depressive symptoms"	"Wald ratio"	0.0114810562571757	0.0459242250287026	0.802587348634153	1	"cis"
"CCL3_CVDI"	"CCL3"	"Depressive symptoms"	"Wald ratio"	0.0074757039621231	0.0124595066035385	0.548506235500147	1	"cis"
"CCL4_CVDI"	"CCL4"	"Depressive symptoms"	"Wald ratio"	-0.0113973102347846	0.0136767722817415	0.404656761927286	1	"cis"
"CD40_CVDI"	"CD40"	"Depressive symptoms"	"Wald ratio"	-0.00398803589232303	0.00797607178464606	0.617075077451974	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Depressive symptoms"	"Wald ratio"	0.00444707975096353	0.00592943966795138	0.453254704753736	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Depressive symptoms"	"Wald ratio"	-0.0114025085518814	0.0228050171037628	0.617075077451974	1	"cis"
"CSTB_CVDI"	"CSTB"	"Depressive symptoms"	"Wald ratio"	0.00188893086513034	0.00944465432565168	0.841480581121794	1	"cis"
"CTSD_CVDI"	"CTSD"	"Depressive symptoms"	"Wald ratio"	-0.018757327080891	0.0164126611957796	0.253097908947116	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Depressive symptoms"	"Wald ratio"	0	0.0339270568278202	1	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Depressive symptoms"	"Wald ratio"	0.00496524329692155	0.0198609731876862	0.802587348634153	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Depressive symptoms"	"Wald ratio"	-0.0247000705716302	0.0141143260409315	0.0801183137276342	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Depressive symptoms"	"Wald ratio"	-0.0422195416164053	0.0301568154402895	0.161513318467542	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Depressive symptoms"	"Wald ratio"	0.00189501610763692	0.00758006443054766	0.802587348634153	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Depressive symptoms"	"Wald ratio"	0.00440334654337296	0.0220167327168648	0.841480581121794	1	"cis"
"ECP_CVDI"	"ECP"	"Depressive symptoms"	"Wald ratio"	0.00798722044728434	0.0159744408945687	0.617075077451974	1	"cis"
"EGF_CVDI"	"EGF"	"Depressive symptoms"	"Wald ratio"	-0.0376222723852521	0.0300978179082017	0.21129954733371	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Depressive symptoms"	"Wald ratio"	0.0482218203737191	0.0301386377335744	0.109598583399116	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Depressive symptoms"	"Wald ratio"	0.0226415094339623	0.030188679245283	0.453254704753736	1	"cis"
"FAS_CVDI"	"FAS"	"Depressive symptoms"	"Wald ratio"	-0.0367047308319739	0.0163132137030995	0.0244489453100894	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Depressive symptoms"	"Wald ratio"	0.0284900284900285	0.056980056980057	0.617075077451974	1	"cis"
"FS_CVDI"	"FS"	"Depressive symptoms"	"Wald ratio"	-0.00775795190069822	0.0232738557020946	0.738882680363527	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Depressive symptoms"	"Wald ratio"	-0.0108430468961778	0.0162645703442667	0.504985075093846	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Depressive symptoms"	"Wald ratio"	0.00501002004008016	0.0100200400801603	0.617075077451974	1	"cis"
"HGF_CVDI"	"HGF"	"Depressive symptoms"	"Wald ratio"	-0.004995004995005	0.034965034965035	0.886403006367064	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Depressive symptoms"	"Wald ratio"	-0.0145815106445028	0.0145815106445028	0.317310507862914	1	"cis"
"IL-18_CVDI"	"IL-18"	"Depressive symptoms"	"Wald ratio"	0.00916170407695831	0.0183234081539166	0.617075077451974	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Depressive symptoms"	"Wald ratio"	-0.0245098039215686	0.0147058823529412	0.0955807045456294	1	"cis"
"IL-27_CVDI"	"IL-27"	"Depressive symptoms"	"Wald ratio"	0.00741949844190533	0.00593559875352426	0.21129954733371	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"Depressive symptoms"	"Wald ratio"	-0.00209336403600586	0.00418672807201172	0.617075077451974	1	"cis"
"IL-8_CVDI"	"IL-8"	"Depressive symptoms"	"Wald ratio"	-0.0533049040511727	0.0426439232409382	0.21129954733371	1	"cis"
"IL16_CVDI"	"IL16"	"Depressive symptoms"	"Wald ratio"	0.00834463335767185	0.00730155418796287	0.253097908947116	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"Depressive symptoms"	"Wald ratio"	0	0.00623052959501558	1	1	"cis"
"KLK6_CVDI"	"KLK6"	"Depressive symptoms"	"Wald ratio"	0.0369588173178458	0.0263991552270327	0.161513318467542	1	"cis"
