"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"eGFR (cystatin C)"	"Wald ratio"	0.0953101785664228	0.0700810136517815	0.17382992389417	1	"cis"
"CA-125_CVDI"	"CA-125"	"eGFR (cystatin C)"	"Wald ratio"	-0.019841761948461	0.0892879287680746	0.824140895741885	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"eGFR (cystatin C)"	"Wald ratio"	-0.128075497135153	0.0741489720256151	0.0841186947979136	1	"cis"
"CCL20_CVDI"	"CCL20"	"eGFR (cystatin C)"	"Wald ratio"	-0.179703489242749	0.114810562571757	0.117531945029355	1	"cis"
"CCL3_CVDI"	"CCL3"	"eGFR (cystatin C)"	"Wald ratio"	0.0281693192775653	0.0281693192775653	0.317310507862914	1	"cis"
"CCL4_CVDI"	"CCL4"	"eGFR (cystatin C)"	"Wald ratio"	-0.0118928454623839	0.0366696068423504	0.745692505957826	1	"cis"
"CD40_CVDI"	"CD40"	"eGFR (cystatin C)"	"Wald ratio"	0.0494169664918289	0.0216741081104513	0.0226076884771056	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"eGFR (cystatin C)"	"Wald ratio"	-0.0193351293520154	0.0174016164168138	0.266520525805011	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"eGFR (cystatin C)"	"Wald ratio"	-0.0421397055178226	0.0545337365524763	0.439683802605572	1	"cis"
"CSTB_CVDI"	"CSTB"	"eGFR (cystatin C)"	"Wald ratio"	0.0279233258323615	0.0197105829404905	0.156580407089635	1	"cis"
"CTSD_CVDI"	"CTSD"	"eGFR (cystatin C)"	"Wald ratio"	0.100922575054794	0.0428156379020337	0.0184161605763039	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"eGFR (cystatin C)"	"Wald ratio"	0.0258140649776893	0.0811299185013091	0.750347023651697	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"eGFR (cystatin C)"	"Wald ratio"	0.0690816458702129	0.0518112344026596	0.182422439451736	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"eGFR (cystatin C)"	"Wald ratio"	0	0.0368199809763432	1	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"eGFR (cystatin C)"	"Wald ratio"	0.144228247757906	0.0891592804321603	0.105738681329251	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"eGFR (cystatin C)"	"Wald ratio"	-0.00247176014039598	0.0197740811231678	0.900523550339774	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"eGFR (cystatin C)"	"Wald ratio"	0.00382899699423736	0.0689219458962725	0.955695871316436	1	"cis"
"ECP_CVDI"	"ECP"	"eGFR (cystatin C)"	"Wald ratio"	-0.000868176135574385	0.0520905681344631	0.986702539612635	1	"cis"
"EGF_CVDI"	"EGF"	"eGFR (cystatin C)"	"Wald ratio"	0.00654300389308732	0.0785160467170478	0.933586496294755	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"eGFR (cystatin C)"	"Wald ratio"	-0.0104830044290694	0.0733810310034856	0.886403006367064	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"eGFR (cystatin C)"	"Wald ratio"	-0.137817883511075	0.0853158326497129	0.106227429780004	1	"cis"
