"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Fasting glucose"	"Wald ratio"	0.0257855390187381	0.0311204781260632	0.407346960940474	1	"cis"
"CA-125_CVDI"	"CA-125"	"Fasting glucose"	"Wald ratio"	-0.0371390611598773	0.0524791081606962	0.479136355375383	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Fasting glucose"	"Wald ratio"	-0.0219939544890934	0.0326361905322031	0.50036659904388	1	"cis"
"CCL20_CVDI"	"CCL20"	"Fasting glucose"	"Wald ratio"	-0.00943261334705016	0.0534514756332843	0.859924253238214	1	"cis"
"CCL3_CVDI"	"CCL3"	"Fasting glucose"	"Wald ratio"	0.00477702828947295	0.0126250033364642	0.705149527894255	1	"cis"
"CCL4_CVDI"	"CCL4"	"Fasting glucose"	"Wald ratio"	0.0106123171362185	0.0165427296535171	0.521191753559074	1	"cis"
"CD40_CVDI"	"CD40"	"Fasting glucose"	"Wald ratio"	0.00081912325276976	0.00955643794898053	0.931693545566772	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Fasting glucose"	"Wald ratio"	0.00101489848617461	0.00771322849492703	0.895317338291782	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Fasting glucose"	"Wald ratio"	0.0249815468651636	0.0249815468651636	0.317310507862914	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Fasting glucose"	"Wald ratio"	0.0116140885288107	0.0360036744393132	0.747012853671546	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Fasting glucose"	"Wald ratio"	0.00483169032303028	0.0198099303244242	0.807306380150854	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Fasting glucose"	"Wald ratio"	0.0150737674762966	0.0295445842535413	0.6099084929594	1	"cis"
"EGF_CVDI"	"EGF"	"Fasting glucose"	"Wald ratio"	0.029267503092603	0.0344938429305678	0.396168007039194	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Fasting glucose"	"Wald ratio"	0.0324949488145578	0.0315923113474867	0.303681109722319	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Fasting glucose"	"Wald ratio"	-0.0248399281187625	0.0382948891830922	0.516565503095008	1	"cis"
"FAS_CVDI"	"FAS"	"Fasting glucose"	"Wald ratio"	-0.00502598260110972	0.0189870453819701	0.791236045636806	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Fasting glucose"	"Wald ratio"	0.0565665670781434	0.0643688521923701	0.37951629965665	1	"cis"
"FS_CVDI"	"FS"	"Fasting glucose"	"Wald ratio"	-0.018059051697669	0.0329312119192787	0.583426134426407	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Fasting glucose"	"Wald ratio"	0.0018675682454266	0.01755514150701	0.915278497446585	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Fasting glucose"	"Wald ratio"	-0.0196462944993365	0.0127929359530564	0.124608469802929	1	"cis"
"HGF_CVDI"	"HGF"	"Fasting glucose"	"Wald ratio"	-0.00820759862665404	0.044457825894376	0.853530718192098	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Fasting glucose"	"Wald ratio"	0.00878525016798752	0.0143758639112523	0.541126024471668	1	"cis"
"IL-18_CVDI"	"IL-18"	"Fasting glucose"	"Wald ratio"	-0.0265392909907544	0.0221160758256287	0.230139340443417	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Fasting glucose"	"Wald ratio"	0.0275202659506951	0.0214792319615182	0.200105868954852	1	"cis"
"IL-27_CVDI"	"IL-27"	"Fasting glucose"	"Wald ratio"	-0.00304785807437331	0.00812762153166216	0.707660466654552	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"Fasting glucose"	"Wald ratio"	-0.00658937626604791	0.00458391392420724	0.150575972824847	1	"cis"
"IL-8_CVDI"	"IL-8"	"Fasting glucose"	"Wald ratio"	-0.0452540854626335	0.0627717959642981	0.470952440870632	1	"cis"
"IL16_CVDI"	"IL16"	"Fasting glucose"	"Wald ratio"	0.00571315755730377	0.00856973633595566	0.504985075093846	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"Fasting glucose"	"Wald ratio"	-0.00796270592965938	0.00881585299355145	0.366406064176293	1	"cis"
"LEP_CVDI"	"LEP"	"Fasting glucose"	"Wald ratio"	-0.0287895093308128	0.0575790186616255	0.617075077451974	1	"cis"
"LOX-1_CVDI"	"LOX-1"	"Fasting glucose"	"Wald ratio"	0.0642261274646708	0.0552344696196169	0.244914432269935	1	"cis"
