"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"HbA1C"	"Wald ratio"	0.032430113106256	0.0274408649360628	0.237277851868278	1	"cis"
"CA-125_CVDI"	"CA-125"	"HbA1C"	"Wald ratio"	-0.0815459665552809	0.0419055661464638	0.0516612330214306	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"HbA1C"	"Wald ratio"	0.00199052906271958	0.0268721423467143	0.940951444465206	1	"cis"
"CCL20_CVDI"	"CCL20"	"HbA1C"	"Wald ratio"	0	0.0463123667692449	1	1	"cis"
"CCL3_CVDI"	"CCL3"	"HbA1C"	"Wald ratio"	-0.00478659493028755	0.0105305088466326	0.649436283726755	1	"cis"
"CCL4_CVDI"	"CCL4"	"HbA1C"	"Wald ratio"	0.00788135167983568	0.0113841746486515	0.488744120386507	1	"cis"
"CD40_CVDI"	"CD40"	"HbA1C"	"Wald ratio"	0.0107246451195779	0.00689441471972864	0.119813814205544	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"HbA1C"	"Wald ratio"	-0.00227792534304701	0.00654903536126017	0.727970796961297	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"HbA1C"	"Wald ratio"	0.0240928916770449	0.0208074973574478	0.246906995624742	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"HbA1C"	"Wald ratio"	0.00814614311079048	0.0293261151988457	0.78118295086715	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"HbA1C"	"Wald ratio"	-0.0122002434084118	0.0149114086102811	0.41325337549364	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"HbA1C"	"Wald ratio"	0.000845821464343635	0.0245288224659654	0.972492190799539	1	"cis"
"EGF_CVDI"	"EGF"	"HbA1C"	"Wald ratio"	-0.0806468167968257	0.0278598094389034	0.00379476516759274	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"HbA1C"	"Wald ratio"	0.00506489267112563	0.0253244633556282	0.841480581121794	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"HbA1C"	"Wald ratio"	-0.0116151809253176	0.0319417475446234	0.716129568855565	1	"cis"
"FAS_CVDI"	"FAS"	"HbA1C"	"Wald ratio"	0.00156677042864959	0.0164510895008207	0.924125711867492	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"HbA1C"	"Wald ratio"	0.00273626858336808	0.0547253716673617	0.960122388323255	1	"cis"
"FS_CVDI"	"FS"	"HbA1C"	"Wald ratio"	-0.0417254424163561	0.0268234986962289	0.119813814205544	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"HbA1C"	"Wald ratio"	0.0392974743356055	0.0136231244363432	0.00391892118188704	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"HbA1C"	"Wald ratio"	-0.00608881387470195	0.00993438053240845	0.539940330191881	1	"cis"
"HGF_CVDI"	"HGF"	"HbA1C"	"Wald ratio"	0.0211083576431252	0.0335814780686083	0.529629670287596	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"HbA1C"	"Wald ratio"	-0.00840271454735081	0.0117638003662911	0.475050524053953	1	"cis"
"IL-18_CVDI"	"IL-18"	"HbA1C"	"Wald ratio"	-0.0132962197429008	0.0177282929905343	0.453254704753736	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"HbA1C"	"Wald ratio"	0.00941598306629605	0.0169487695193329	0.578514721507944	1	"cis"
"IL-27_CVDI"	"IL-27"	"HbA1C"	"Wald ratio"	0.000570072872985427	0.00598576516634698	0.924125711867492	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"HbA1C"	"Wald ratio"	-0.00803791419823996	0.00321516567929599	0.0124193306515523	1	"cis"
"IL-8_CVDI"	"IL-8"	"HbA1C"	"Wald ratio"	-0.0624586851156653	0.0563152078911736	0.267390966262006	1	"cis"
"IL16_CVDI"	"IL16"	"HbA1C"	"Wald ratio"	0.00681227271803791	0.00641155079344744	0.288008758003942	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"HbA1C"	"Wald ratio"	-0.0023935956953575	0.00718078708607251	0.738882680363527	1	"cis"
"LEP_CVDI"	"LEP"	"HbA1C"	"Wald ratio"	0.0681514253996829	0.0504825373330984	0.177015982874804	1	"cis"
"LOX-1_CVDI"	"LOX-1"	"HbA1C"	"Wald ratio"	0.0144154637562806	0.045048324238377	0.74896833055336	1	"cis"
"MCP-1_CVDI"	"MCP-1"	"HbA1C"	"Wald ratio"	-0.00608830600800125	0.0669713660880138	0.927564826606211	1	"cis"
"MMP-12_CVDI"	"MMP-12"	"HbA1C"	"Wald ratio"	0.00575482513313288	0.00650545449832412	0.37636410621678	1	"cis"
"MMP-3_CVDI"	"MMP-3"	"HbA1C"	"Wald ratio"	-0.00719124164297818	0.00719124164297818	0.317310507862914	1	"cis"
"MMP-7_CVDI"	"MMP-7"	"HbA1C"	"Wald ratio"	-0.0343993650702793	0.0144477333295173	0.0172679439961756	1	"cis"
"NT-pro_BNP_CVDI"	"NT-pro_BNP"	"HbA1C"	"Wald ratio"	0.0153886094599033	0.016293821781074	0.344942578828617	1	"cis"
"OPG_CVDI"	"OPG"	"HbA1C"	"Wald ratio"	0.0392928808260396	0.0336796121366054	0.243345009148763	1	"cis"
"PAPPA_CVDI"	"PAPPA"	"HbA1C"	"Wald ratio"	-0.0163477493236119	0.0469997793053841	0.727970796961297	1	"cis"
"PAR-1_CVDI"	"PAR-1"	"HbA1C"	"Wald ratio"	-0.0140894416542132	0.0281788833084263	0.617075077451974	1	"cis"
"PSGL-1_CVDI"	"PSGL-1"	"HbA1C"	"Wald ratio"	-0.00331656083711642	0.00777676334220403	0.669764975156882	1	"cis"
"PTX3_CVDI"	"PTX3"	"HbA1C"	"Wald ratio"	-0.0242203560541388	0.0372620862371367	0.515692221611729	1	"cis"
"PlGF_CVDI"	"PlGF"	"HbA1C"	"Wald ratio"	-0.0184536820967409	0.0301969343401215	0.541126024471668	1	"cis"
"RAGE_CVDI"	"RAGE"	"HbA1C"	"Wald ratio"	-0.0580515275678964	0.0232206110271586	0.0124193306515523	1	"cis"
"SCF_CVDI"	"SCF"	"HbA1C"	"Wald ratio"	0.0220155936449787	0.0577909333180692	0.703238583398932	1	"cis"
"SELE_CVDI"	"SELE"	"HbA1C"	"Wald ratio"	0.0438636090319557	0.0347253571502983	0.206532441214479	1	"cis"
"SPON1_CVDI"	"SPON1"	"HbA1C"	"Wald ratio"	0.0260029156817713	0.0134208597067207	0.052684253378283	1	"cis"
"ST2_CVDI"	"ST2"	"HbA1C"	"Wald ratio"	-0.000297715521624984	0.00565659491087469	0.958025455470674	1	"cis"
"TF_CVDI"	"TF"	"HbA1C"	"Wald ratio"	0.0657685947652374	0.0198349730244367	0.000913846430416687	1	"cis"
"TIE2_CVDI"	"TIE2"	"HbA1C"	"Wald ratio"	-0.0145733423669252	0.0108124798206219	0.177714325380176	1	"cis"
"TM_CVDI"	"TM"	"HbA1C"	"Wald ratio"	-0.00882478045417027	0.010295577196532	0.391365938307552	1	"cis"
"TNF-R1_CVDI"	"TNF-R1"	"HbA1C"	"Wald ratio"	-0.0460611720879387	0.043867782940894	0.293718112751792	1	"cis"
"TNF-R2_CVDI"	"TNF-R2"	"HbA1C"	"Wald ratio"	0.0470247924928803	0.0265792305394541	0.076855371351919	1	"cis"
"TNFSF14_CVDI"	"TNFSF14"	"HbA1C"	"Wald ratio"	-0.00640185231804671	0.0128037046360934	0.617075077451974	1	"cis"
"TRANCE_CVDI"	"TRANCE"	"HbA1C"	"Wald ratio"	0.0365424255972383	0.0254208178067745	0.150575972824847	1	"cis"
"U-PAR_CVDI"	"U-PAR"	"HbA1C"	"Wald ratio"	-0.0305742508976201	0.0358915119232932	0.394296323068415	1	"cis"
"VEGF-A_CVDI"	"VEGF-A"	"HbA1C"	"Wald ratio"	-0.008190383834148	0.008190383834148	0.317310507862914	1	"cis"
