"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Heart rate"	"Wald ratio"	0.0246320346320346	0.0261904761904762	0.346963268260169	1	"cis"
"CA-125_CVDI"	"CA-125"	"Heart rate"	"Wald ratio"	-0.0677279874213837	0.0421383647798742	0.107993810465709	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Heart rate"	"Wald ratio"	-0.0230742659758204	0.0275647668393782	0.402540445518096	1	"cis"
"CCL20_CVDI"	"CCL20"	"Heart rate"	"Wald ratio"	0.0675851511672407	0.0434749330271718	0.120046734253462	1	"cis"
"CCL3_CVDI"	"CCL3"	"Heart rate"	"Wald ratio"	-0.00353849987540493	0.0107484010299859	0.741995644923465	1	"cis"
"CCL4_CVDI"	"CCL4"	"Heart rate"	"Wald ratio"	0.00402704961629056	0.0128105767038979	0.753252569366905	1	"cis"
"CD40_CVDI"	"CD40"	"Heart rate"	"Wald ratio"	0.0051312728481223	0.00760385510136258	0.499786843939117	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Heart rate"	"Wald ratio"	0.00205553908488981	0.00616661725466943	0.738882680363527	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Heart rate"	"Wald ratio"	-0.00649942987457241	0.019612314709236	0.740345877694572	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Heart rate"	"Wald ratio"	0.053774385072095	0.0283290924512299	0.0576692677253745	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Heart rate"	"Wald ratio"	0.0204504826599929	0.0128709331426528	0.112085480144251	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Heart rate"	"Wald ratio"	0.00214296198444151	0.0234258036107442	0.927112232789697	1	"cis"
"EGF_CVDI"	"EGF"	"Heart rate"	"Wald ratio"	-0.00402035623409669	0.0269211195928753	0.881286636458605	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Heart rate"	"Wald ratio"	0.0101955614150736	0.0245660294440782	0.678122259621867	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Heart rate"	"Wald ratio"	-0.00428319475938524	0.0312421264802217	0.890954302215031	1	"cis"
"FAS_CVDI"	"FAS"	"Heart rate"	"Wald ratio"	0.0112289287656335	0.0149809679173464	0.453528015701756	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Heart rate"	"Wald ratio"	-0.0313390313390313	0.0547008547008547	0.566701119222339	1	"cis"
"FS_CVDI"	"FS"	"Heart rate"	"Wald ratio"	-0.0111714507370054	0.0264804758210499	0.673116258667889	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Heart rate"	"Wald ratio"	0.0273140571012911	0.0141843971631206	0.0541492123521781	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Heart rate"	"Wald ratio"	0.00547213880547214	0.0105105105105105	0.602621117993287	1	"cis"
"HGF_CVDI"	"HGF"	"Heart rate"	"Wald ratio"	-0.0186147186147186	0.0376623376623377	0.621127602858424	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Heart rate"	"Wald ratio"	-0.0135121998639059	0.0116263244872169	0.245151246630862	1	"cis"
"IL-18_CVDI"	"IL-18"	"Heart rate"	"Wald ratio"	-0.0120289186279034	0.0183971696662052	0.513210927875975	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Heart rate"	"Wald ratio"	-0.0112091503267974	0.0168954248366013	0.507046912414184	1	"cis"
"IL-27_CVDI"	"IL-27"	"Heart rate"	"Wald ratio"	0.0096455195496729	0.00555809118109438	0.082669721698186	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"Heart rate"	"Wald ratio"	0.00142971719496461	0.00366147086515326	0.696184458032408	1	"cis"
"IL-8_CVDI"	"IL-8"	"Heart rate"	"Wald ratio"	0.120184790334044	0.0507462686567164	0.0178677525650839	1	"cis"
"IL16_CVDI"	"IL16"	"Heart rate"	"Wald ratio"	0.00629324432391085	0.00688432252007927	0.360642543633021	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"Heart rate"	"Wald ratio"	0.00573208722741433	0.00695050190377293	0.409541252969828	1	"cis"
"LEP_CVDI"	"LEP"	"Heart rate"	"Wald ratio"	0.0888304862023653	0.0473061760840999	0.0604115714895674	1	"cis"
"LOX-1_CVDI"	"LOX-1"	"Heart rate"	"Wald ratio"	0.00988117573483427	0.0435272045028143	0.820414804363773	1	"cis"
"MCP-1_CVDI"	"MCP-1"	"Heart rate"	"Wald ratio"	-0.00274696249339672	0.0648705758055996	0.966223451909577	1	"cis"
"MMP-12_CVDI"	"MMP-12"	"Heart rate"	"Wald ratio"	-0.00891841431114585	0.00631322999435543	0.157757263795115	1	"cis"
"MMP-3_CVDI"	"MMP-3"	"Heart rate"	"Wald ratio"	-0.00492235163616195	0.00709927897947865	0.488084050185034	1	"cis"
"MMP-7_CVDI"	"MMP-7"	"Heart rate"	"Wald ratio"	0.0085243553008596	0.0169054441260745	0.614094640268984	1	"cis"
"NT-pro_BNP_CVDI"	"NT-pro_BNP"	"Heart rate"	"Wald ratio"	0.00939365378573673	0.0167766258246937	0.575530531771677	1	"cis"
