"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Ischemic stroke"	"Wald ratio"	-0.113475177304965	0.0773694390715667	0.142466754827972	1	"cis"
"CA-125_CVDI"	"CA-125"	"Ischemic stroke"	"Wald ratio"	-0.0405019965772961	0.0792926411865374	0.60949715491811	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Ischemic stroke"	"Wald ratio"	0.0351421188630491	0.0744186046511628	0.636768179585686	1	"cis"
"CCL20_CVDI"	"CCL20"	"Ischemic stroke"	"Wald ratio"	-0.149253731343284	0.12743972445465	0.241529980712954	1	"cis"
"CCL3_CVDI"	"CCL3"	"Ischemic stroke"	"Wald ratio"	-0.0024919013207077	0.0291552454522801	0.931887676762172	1	"cis"
"CCL4_CVDI"	"CCL4"	"Ischemic stroke"	"Wald ratio"	0.0674720765899248	0.0387508547982676	0.0816526503109918	1	"cis"
"CD40_CVDI"	"CD40"	"Ischemic stroke"	"Wald ratio"	-0.0725822532402792	0.0227318045862413	0.00140811501288258	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Ischemic stroke"	"Wald ratio"	0.0120071153276015	0.0185294989623481	0.516984950280438	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Ischemic stroke"	"Wald ratio"	0.080957810718358	0.0581527936145952	0.163874902280053	1	"cis"
"CSTB_CVDI"	"CSTB"	"Ischemic stroke"	"Wald ratio"	-0.0117113713638081	0.0202115602568946	0.562292825008221	1	"cis"
"CTSD_CVDI"	"CTSD"	"Ischemic stroke"	"Wald ratio"	-0.0558030480656507	0.0403282532239156	0.166443922186174	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"Wald ratio"	-0.0432569974554707	0.083969465648855	0.606447146740021	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Ischemic stroke"	"Wald ratio"	0.0531281032770606	0.0516385302879841	0.303551974594793	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Ischemic stroke"	"Wald ratio"	-0.0239943542695836	0.039167254763585	0.540132516578263	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Ischemic stroke"	"Wald ratio"	0.128468033775633	0.0778045838359469	0.098705338715477	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Ischemic stroke"	"Wald ratio"	0.00132651127534584	0.0206556755732424	0.948794906468399	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Ischemic stroke"	"Wald ratio"	-0.0224570673712021	0.0730955526199912	0.758669137623361	1	"cis"
"ECP_CVDI"	"ECP"	"Ischemic stroke"	"Wald ratio"	0	0.0503194888178914	1	1	"cis"
"EGF_CVDI"	"EGF"	"Ischemic stroke"	"Wald ratio"	-0.109857035364936	0.0782543265613243	0.160364666866555	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Ischemic stroke"	"Wald ratio"	-0.0319469559975889	0.0729355033152502	0.661374301555698	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Ischemic stroke"	"Wald ratio"	0.0573584905660377	0.0867924528301887	0.508695965504407	1	"cis"
"FABP4_CVDI"	"FABP4"	"Ischemic stroke"	"Wald ratio"	0.207082371054657	0.123556581986143	0.0937357518283982	1	"cis"
"FAS_CVDI"	"FAS"	"Ischemic stroke"	"Wald ratio"	-0.00122349102773246	0.0448613376835236	0.97824220925832	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Ischemic stroke"	"Wald ratio"	-0.316239316239316	0.152421652421652	0.0380081941992796	1	"cis"
"FS_CVDI"	"FS"	"Ischemic stroke"	"Wald ratio"	0.0892164468580295	0.0791311093871218	0.259551854896014	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Ischemic stroke"	"Wald ratio"	0.0458118731363513	0.040119273515858	0.253498959315101	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Ischemic stroke"	"Wald ratio"	0.0273881095524382	0.032565130260521	0.400333570043143	1	"cis"
"HGF_CVDI"	"HGF"	"Ischemic stroke"	"Wald ratio"	0.112387612387612	0.104395604395604	0.281679106444634	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Ischemic stroke"	"Wald ratio"	-0.0250801983085448	0.0341207349081365	0.462313468026068	1	"cis"
"IL-18_CVDI"	"IL-18"	"Ischemic stroke"	"Wald ratio"	-0.0297755382501145	0.0522217132386624	0.568558713055521	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Ischemic stroke"	"Wald ratio"	-0.0897058823529412	0.05	0.0727943929305395	1	"cis"
"IL-27_CVDI"	"IL-27"	"Ischemic stroke"	"Wald ratio"	-0.0154325567591631	0.0166196765098679	0.353111234506006	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"Ischemic stroke"	"Wald ratio"	-0.0234456772032656	0.0105714883818296	0.0265669863255511	1	"cis"
"IL-8_CVDI"	"IL-8"	"Ischemic stroke"	"Wald ratio"	-0.0341151385927505	0.133262260127932	0.797950837314868	1	"cis"
"IL16_CVDI"	"IL16"	"Ischemic stroke"	"Wald ratio"	-0.0120997183686242	0.0190883488056744	0.526159281437831	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"Ischemic stroke"	"Wald ratio"	0.0413291796469367	0.0203530633437175	0.0422943445980252	1	"cis"
"KLK6_CVDI"	"KLK6"	"Ischemic stroke"	"Wald ratio"	-0.0316789862724393	0.0649419218585005	0.625688055872567	1	"cis"
"LEP_CVDI"	"LEP"	"Ischemic stroke"	"Wald ratio"	-0.19053876478318	0.135348226018397	0.159200077879955	1	"cis"
"LOX-1_CVDI"	"LOX-1"	"Ischemic stroke"	"Wald ratio"	-0.0112570356472795	0.126641651031895	0.929170213978481	1	"cis"
