"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Schizophrenia"	"Wald ratio"	0.00322453282838326	0.0870406189555126	0.970448089487667	1	"cis"
"CA-125_CVDI"	"CA-125"	"Schizophrenia"	"Wald ratio"	-0.0758764759790559	0.0907016543069025	0.402845516762661	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Schizophrenia"	"Wald ratio"	-0.0217114353723412	0.0930232558139535	0.815452420219568	1	"cis"
"CCL20_CVDI"	"CCL20"	"Schizophrenia"	"Wald ratio"	-0.259502011589313	0.140068886337543	0.0639290704815932	1	"cis"
"CCL3_CVDI"	"CCL3"	"Schizophrenia"	"Wald ratio"	-0.0398636352728826	0.0348866184899078	0.253178690717135	1	"cis"
"CCL4_CVDI"	"CCL4"	"Schizophrenia"	"Wald ratio"	0.0289498713887217	0.0412582630499202	0.482882174734093	1	"cis"
"CD40_CVDI"	"CD40"	"Schizophrenia"	"Wald ratio"	-0.0805637220964554	0.0273180458624128	0.0031869807723485	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Schizophrenia"	"Wald ratio"	-0.00859289778709969	0.0216424547880225	0.691338729318781	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Schizophrenia"	"Wald ratio"	0.0313287929417324	0.0684150513112885	0.647008104458268	1	"cis"
"CSTB_CVDI"	"CSTB"	"Schizophrenia"	"Wald ratio"	0.0275708449327714	0.0241783150736683	0.254155959262233	1	"cis"
"CTSD_CVDI"	"CTSD"	"Schizophrenia"	"Wald ratio"	-0.0224991645332871	0.0501758499413834	0.653860034550354	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Schizophrenia"	"Wald ratio"	-0.167961215404408	0.100932994062765	0.0960951789806161	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Schizophrenia"	"Wald ratio"	-0.0198708112179643	0.0610724925521351	0.74490534122766	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Schizophrenia"	"Wald ratio"	0.0208092987511785	0.0458715596330275	0.650086005639798	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Schizophrenia"	"Wald ratio"	0.0687864177529463	0.0989143546441496	0.48679594807758	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Schizophrenia"	"Wald ratio"	0.0051096485649849	0.0240667045669888	0.831863686534811	1	"cis"
