"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Total cholesterol"	"Wald ratio"	0.0136363636363636	0.0376623376623377	0.717300494430804	1	"cis"
"CA-125_CVDI"	"CA-125"	"Total cholesterol"	"Wald ratio"	-0.137971698113208	0.0642688679245283	0.0318100841925848	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Total cholesterol"	"Wald ratio"	-0.0756476683937824	0.038860103626943	0.051574710365228	1	"cis"
"CCL20_CVDI"	"CCL20"	"Total cholesterol"	"Wald ratio"	0.0941446613088404	0.0642939150401837	0.143115898802514	1	"cis"
"CCL3_CVDI"	"CCL3"	"Total cholesterol"	"Wald ratio"	-0.00074757039621231	0.0154497881883877	0.961407742542763	1	"cis"
"CCL4_CVDI"	"CCL4"	"Total cholesterol"	"Wald ratio"	0.0196033736038295	0.0127649874629587	0.124608469802929	1	"cis"
"CD40_CVDI"	"CD40"	"Total cholesterol"	"Wald ratio"	0.0213359920239282	0.00797607178464606	0.00747292501863558	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Total cholesterol"	"Wald ratio"	0.00459531574266232	0.00993181144381856	0.643589048142027	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Total cholesterol"	"Wald ratio"	0.0222348916761688	0.0302166476624857	0.461822562879907	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Total cholesterol"	"Wald ratio"	0.0135708227311281	0.0432569974554707	0.753729539113066	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Total cholesterol"	"Wald ratio"	-0.00858062209510189	0.0196639256346085	0.662572917836399	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Total cholesterol"	"Wald ratio"	-0.0308234258036107	0.035667107001321	0.387479388385057	1	"cis"
"EGF_CVDI"	"EGF"	"Total cholesterol"	"Wald ratio"	-0.066412213740458	0.0412213740458015	0.107155507032273	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Total cholesterol"	"Wald ratio"	0.0988793671720501	0.036914963744232	0.00739369604991586	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Total cholesterol"	"Wald ratio"	-0.0529100529100529	0.0461073318216175	0.251158104958492	1	"cis"
"FAS_CVDI"	"FAS"	"Total cholesterol"	"Wald ratio"	-0.00163132137030995	0.0228384991843393	0.943056670967043	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Total cholesterol"	"Wald ratio"	-0.105413105413105	0.0783475783475783	0.178478490745752	1	"cis"
"FS_CVDI"	"FS"	"Total cholesterol"	"Wald ratio"	0.0124127230411171	0.0395655546935609	0.753729539113066	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Total cholesterol"	"Wald ratio"	-0.00572831423895254	0.0210038188761593	0.785062868547559	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Total cholesterol"	"Wald ratio"	-0.026026026026026	0.0158491825158492	0.100568191135906	1	"cis"
"HGF_CVDI"	"HGF"	"Total cholesterol"	"Wald ratio"	-0.11038961038961	0.036963036963037	0.00282203310414966	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Total cholesterol"	"Wald ratio"	0.0460775736366288	0.0177894429862934	0.00959302365279137	1	"cis"
"IL-18_CVDI"	"IL-18"	"Total cholesterol"	"Wald ratio"	-0.00738347946469774	0.0267651130595293	0.782654008414754	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Total cholesterol"	"Wald ratio"	0.122549019607843	0.0259803921568627	2.39369879632517e-06	1	"cis"
"IL-27_CVDI"	"IL-27"	"Total cholesterol"	"Wald ratio"	0.00958466453674121	0.00851970181043664	0.260589034273618	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"Total cholesterol"	"Wald ratio"	0.00543989957108484	0.00376608431844335	0.148613996455212	1	"cis"
"IL-8_CVDI"	"IL-8"	"Total cholesterol"	"Wald ratio"	0.126865671641791	0.0900852878464819	0.15904698448246	1	"cis"
"IL16_CVDI"	"IL16"	"Total cholesterol"	"Wald ratio"	-0.00865755710858454	0.0100135600292062	0.387267523500026	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"Total cholesterol"	"Wald ratio"	0.02533748701973	0.0105919003115265	0.0167496820173491	1	"cis"
"LEP_CVDI"	"LEP"	"Total cholesterol"	"Wald ratio"	-0.0433639947437582	0.0709592641261498	0.541126024471668	1	"cis"
"LOX-1_CVDI"	"LOX-1"	"Total cholesterol"	"Wald ratio"	-0.0300187617260788	0.0647279549718574	0.642813889141328	1	"cis"
"MCP-1_CVDI"	"MCP-1"	"Total cholesterol"	"Wald ratio"	0.05229793977813	0.0966719492868463	0.588518882160993	1	"cis"
