"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Triglycerides"	"Wald ratio"	-0.0616883116883117	0.0344155844155844	0.0730604586484772	1	"cis"
"CA-125_CVDI"	"CA-125"	"Triglycerides"	"Wald ratio"	-0.0418632075471698	0.058372641509434	0.473268148347127	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Triglycerides"	"Wald ratio"	-0.0305699481865285	0.0352331606217617	0.38558757617446	1	"cis"
"CCL20_CVDI"	"CCL20"	"Triglycerides"	"Wald ratio"	-0.109070034443169	0.0585533869115959	0.0624981376391148	1	"cis"
"CCL3_CVDI"	"CCL3"	"Triglycerides"	"Wald ratio"	0.00299028158484924	0.0142038375280339	0.833256914830536	1	"cis"
"CCL4_CVDI"	"CCL4"	"Triglycerides"	"Wald ratio"	0.0104855254160018	0.0120811488488717	0.38543565018451	1	"cis"
"CD40_CVDI"	"CD40"	"Triglycerides"	"Wald ratio"	0.0151545363908275	0.00757726819541376	0.0455002638963584	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Triglycerides"	"Wald ratio"	-0.00459531574266232	0.00919063148532464	0.617075077451974	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Triglycerides"	"Wald ratio"	0.0438996579247434	0.0273660205245154	0.1086773200701	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"Wald ratio"	0.0373197625106022	0.0398642917726887	0.34918555711746	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Triglycerides"	"Wald ratio"	-0.0160886664283161	0.0182338219520915	0.377585975474249	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Triglycerides"	"Wald ratio"	-0.00572435050638485	0.0325847644209599	0.860548746080912	1	"cis"
"EGF_CVDI"	"EGF"	"Triglycerides"	"Wald ratio"	-0.0236641221374046	0.0374045801526718	0.526960228463328	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Triglycerides"	"Wald ratio"	-0.00593276203032301	0.034278180619644	0.862590963908731	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Triglycerides"	"Wald ratio"	0.0166288737717309	0.0423280423280423	0.694424996831734	1	"cis"
"FAS_CVDI"	"FAS"	"Triglycerides"	"Wald ratio"	0.016721044045677	0.0207993474714519	0.421442272706332	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Triglycerides"	"Wald ratio"	-0.142450142450142	0.0712250712250712	0.0455002638963584	1	"cis"
"FS_CVDI"	"FS"	"Triglycerides"	"Wald ratio"	0.030256012412723	0.0364623739332816	0.406659089801972	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Triglycerides"	"Wald ratio"	0.0190943807965085	0.01936715766503	0.324174583558961	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Triglycerides"	"Wald ratio"	-0.0183516850183517	0.0143476810143477	0.200872488721984	1	"cis"
"HGF_CVDI"	"HGF"	"Triglycerides"	"Wald ratio"	-0.145354645354645	0.034965034965035	3.22252494026077e-05	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Triglycerides"	"Wald ratio"	0.00116652085156022	0.0163312919218431	0.943056670967043	1	"cis"
"IL-18_CVDI"	"IL-18"	"Triglycerides"	"Wald ratio"	-0.0207660359944624	0.0244577757268113	0.395849796303638	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Triglycerides"	"Wald ratio"	0.0406862745098039	0.0235294117647059	0.0837792702905663	1	"cis"
"IL-27_CVDI"	"IL-27"	"Triglycerides"	"Wald ratio"	0.0126274151833257	0.00791115168111973	0.110454449214406	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"Triglycerides"	"Wald ratio"	0.00177842870593158	0.00355685741186317	0.617075077451974	1	"cis"
"IL-8_CVDI"	"IL-8"	"Triglycerides"	"Wald ratio"	0.05863539445629	0.0868869936034115	0.499773213909106	1	"cis"
"IL16_CVDI"	"IL16"	"Triglycerides"	"Wald ratio"	0.00177323458850527	0.00907478877646813	0.845078017077611	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"Triglycerides"	"Wald ratio"	0.0222222222222222	0.00976116303219107	0.0228103772300798	1	"cis"
"LEP_CVDI"	"LEP"	"Triglycerides"	"Wald ratio"	0.00657030223390276	0.064388961892247	0.918724277407713	1	"cis"
"LOX-1_CVDI"	"LOX-1"	"Triglycerides"	"Wald ratio"	0.0525328330206379	0.0590994371482176	0.374062797490883	1	"cis"
"MCP-1_CVDI"	"MCP-1"	"Triglycerides"	"Wald ratio"	-0.00475435816164818	0.0887480190174326	0.957276620509357	1	"cis"
"MMP-12_CVDI"	"MMP-12"	"Triglycerides"	"Wald ratio"	-0.00182362902175329	0.00898788589292692	0.839214327076337	1	"cis"
"MMP-3_CVDI"	"MMP-3"	"Triglycerides"	"Wald ratio"	-0.00270382695507487	0.00977537437603993	0.782090532523617	1	"cis"
"MMP-7_CVDI"	"MMP-7"	"Triglycerides"	"Wald ratio"	0.0236389684813754	0.0234598853868195	0.313630398227934	1	"cis"
"NT-pro_BNP_CVDI"	"NT-pro_BNP"	"Triglycerides"	"Wald ratio"	0.00706880301602262	0.0230914231856739	0.759511416075572	1	"cis"
"OPG_CVDI"	"OPG"	"Triglycerides"	"Wald ratio"	0.016374269005848	0.0274853801169591	0.551345804442167	1	"cis"
"PAPPA_CVDI"	"PAPPA"	"Triglycerides"	"Wald ratio"	-0.0319148936170213	0.0638297872340425	0.617075077451974	1	"cis"
"PAR-1_CVDI"	"PAR-1"	"Triglycerides"	"Wald ratio"	-0.019559902200489	0.0383048084759576	0.609604353481759	1	"cis"
"PSGL-1_CVDI"	"PSGL-1"	"Triglycerides"	"Wald ratio"	-0.0188140033341272	0.0110740652536318	0.0893333665288348	1	"cis"
"PTX3_CVDI"	"PTX3"	"Triglycerides"	"Wald ratio"	0.0387972841901067	0.0514064015518914	0.450418815379629	1	"cis"
"PlGF_CVDI"	"PlGF"	"Triglycerides"	"Wald ratio"	-0.0986899563318777	0.0410480349344978	0.0162054506025674	1	"cis"
"RAGE_CVDI"	"RAGE"	"Triglycerides"	"Wald ratio"	0.130288784419073	0.0275352585627938	2.22639273118433e-06	1	"cis"
"RETN_CVDI"	"RETN"	"Triglycerides"	"Wald ratio"	0.0161770543866614	0.0312624057165542	0.604834863245213	1	"cis"
"SCF_CVDI"	"SCF"	"Triglycerides"	"Wald ratio"	0.0530085959885387	0.0687679083094556	0.440805726712719	1	"cis"
"SELE_CVDI"	"SELE"	"Triglycerides"	"Wald ratio"	0.0627973358705994	0.0466222645099905	0.17799995187925	1	"cis"
"SPON1_CVDI"	"SPON1"	"Triglycerides"	"Wald ratio"	0.00131004366812227	0.014410480349345	0.927564826606211	1	"cis"
"ST2_CVDI"	"ST2"	"Triglycerides"	"Wald ratio"	0.00960942343459392	0.00743955362678239	0.19647260583939	1	"cis"
"TF_CVDI"	"TF"	"Triglycerides"	"Wald ratio"	-0.0320652173913044	0.0260869565217391	0.219009323830433	1	"cis"
"TIE2_CVDI"	"TIE2"	"Triglycerides"	"Wald ratio"	0.00146842878120411	0.0143171806167401	0.918308934545483	1	"cis"
"TM_CVDI"	"TM"	"Triglycerides"	"Wald ratio"	0.00561510974987238	0.0104645227156713	0.591554054889021	1	"cis"
"TNF-R2_CVDI"	"TNF-R2"	"Triglycerides"	"Wald ratio"	0.00558807876530069	0.0377860564129856	0.882431692229302	1	"cis"
"TNFSF14_CVDI"	"TNFSF14"	"Triglycerides"	"Wald ratio"	0.00491985399142993	0.017457546421203	0.778082928698548	1	"cis"
"TRANCE_CVDI"	"TRANCE"	"Triglycerides"	"Wald ratio"	-0.00248138957816377	0.0281224152191894	0.92968966605199	1	"cis"
"U-PAR_CVDI"	"U-PAR"	"Triglycerides"	"Wald ratio"	-0.0470588235294118	0.0470588235294118	0.317310507862914	1	"cis"
"VEGF-A_CVDI"	"VEGF-A"	"Triglycerides"	"Wald ratio"	0.013689407540395	0.0107719928186715	0.203787947474472	1	"cis"
