"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"2-h glucose"	"Wald ratio"	0.054278767	0.162836301	0.73888268	1	"pan"
"AGRP_CVDI"	"AGRP"	"2-h glucose"	"Wald ratio"	0.09434633	0.145148201	0.515692222	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"2-h glucose"	"Wald ratio"	-0.003690976	0.069718437	0.957778776	1	"pan"
"CCL20_CVDI"	"CCL20"	"2-h glucose"	"Wald ratio"	-0.128832436	0.110427803	0.243345009	1	"pan"
"CCL3_CVDI"	"CCL3"	"2-h glucose"	"Wald ratio"	0.091436354	0.125724987	0.467058902	1	"pan"
"CD40_CVDI"	"CD40"	"2-h glucose"	"Wald ratio"	-0.000629024	0.020443273	0.975453579	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"2-h glucose"	"Wald ratio"	0.018258218	0.079323529	0.817956524	2	"pan"
"CSF-1_CVDI"	"CSF-1"	"2-h glucose"	"Wald ratio"	0.094109613	0.051760287	0.069036348	1	"pan"
"CTSD_CVDI"	"CTSD"	"2-h glucose"	"Wald ratio"	0.393232769	0.397749796	0.322837573	2	"pan"
"CTSL1_CVDI"	"CTSL1"	"2-h glucose"	"Wald ratio"	-0.088120912	0.06031497	0.144012071	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"2-h glucose"	"Wald ratio"	0.153396516	0.099256569	0.122236355	1	"pan"
"CXCL16_CVDI"	"CXCL16"	"2-h glucose"	"Wald ratio"	0.027988183	0.073525608	0.703456311	3	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"2-h glucose"	"Wald ratio"	0.065698259	0.05160384	0.202972868	2	"pan"
"FABP4_CVDI"	"FABP4"	"2-h glucose"	"Wald ratio"	-0.23852962	0.11926481	0.045500264	1	"pan"
"FGF-23_CVDI"	"FGF-23"	"2-h glucose"	"Wald ratio"	0.283964537	0.1359459	0.03672524	3	"pan"
"FS_CVDI"	"FS"	"2-h glucose"	"Wald ratio"	0.236776215	0.222935214	0.28819696	2	"pan"
"GAL_CVDI"	"GAL"	"2-h glucose"	"Wald ratio"	0.129620524	0.088687727	0.143867728	1	"pan"
"Gal-3_CVDI"	"Gal-3"	"2-h glucose"	"Wald ratio"	0.152282881	0.183326728	0.40616357	2	"pan"
