"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Eczema"	"Inverse variance weighted"	-0.26127494642359	0.0938399807796863	0.00536499357685618	4	"pan"
"AGRP_CVDI"	"AGRP"	"Eczema"	"Inverse variance weighted"	0.326780989166731	0.211293628434625	0.121966280695865	2	"pan"
"CA-125_CVDI"	"CA-125"	"Eczema"	"Inverse variance weighted"	0.0192149376441805	0.0939709901035825	0.837980501704276	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Eczema"	"Inverse variance weighted"	0.270265587171904	0.139423369628813	0.0525680338093893	1	"pan"
"CCL20_CVDI"	"CCL20"	"Eczema"	"Inverse variance weighted"	-0.136259274524453	0.255355988755224	0.593614734004262	2	"pan"
"CCL3_CVDI"	"CCL3"	"Eczema"	"Inverse variance weighted"	-0.00776928974500156	0.105269466158924	0.941166479739275	3	"pan"
"CCL4_CVDI"	"CCL4"	"Eczema"	"Inverse variance weighted"	-0.060028812573513	0.0561001374357981	0.284605945634398	4	"pan"
"CD40_CVDI"	"CD40"	"Eczema"	"Inverse variance weighted"	-0.0223056272083585	0.0387464185011951	0.56482994322039	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Eczema"	"Inverse variance weighted"	-0.313480337979555	0.285726940948302	0.272583436766831	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Eczema"	"Inverse variance weighted"	0.0592520989679702	0.0561058518470078	0.290933043375764	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Eczema"	"Inverse variance weighted"	0.0764221175808763	0.096167877556837	0.426803126082454	1	"pan"
"CSTB_CVDI"	"CSTB"	"Eczema"	"Inverse variance weighted"	0.0108291203209272	0.0334780997636415	0.746340242391572	2	"pan"
"CTSD_CVDI"	"CTSD"	"Eczema"	"Inverse variance weighted"	0.00630066513414296	0.0604110456819429	0.916933996143351	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Eczema"	"Inverse variance weighted"	-0.0107941070791068	0.056257716630631	0.84784488685574	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Eczema"	"Inverse variance weighted"	-0.0584627206280781	0.129617045857051	0.651959339639222	5	"pan"
"CXCL1_CVDI"	"CXCL1"	"Eczema"	"Inverse variance weighted"	0.0289089719974197	0.0626441431143618	0.644454807231059	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Eczema"	"Inverse variance weighted"	-0.0341044199322487	0.0848219803961691	0.687632109029023	10	"pan"
"CXCL6_CVDI"	"CXCL6"	"Eczema"	"Inverse variance weighted"	-0.0264793853280688	0.037135708231798	0.47581867394146	1	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Eczema"	"Inverse variance weighted"	0.0314109539037784	0.0943673267648881	0.739241200436211	5	"pan"
"ECP_CVDI"	"ECP"	"Eczema"	"Inverse variance weighted"	0.128628097540439	0.0914600915928187	0.159609842951121	1	"pan"
"EGF_CVDI"	"EGF"	"Eczema"	"Inverse variance weighted"	0.00202380606461351	0.132384683450348	0.987802964228396	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Eczema"	"Inverse variance weighted"	0.0373426785846971	0.137928420557246	0.786591355518742	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Eczema"	"Inverse variance weighted"	-0.0451688579733813	0.153315708703567	0.768289245708335	1	"pan"
"FABP4_CVDI"	"FABP4"	"Eczema"	"Inverse variance weighted"	-0.174813283672899	0.166327112061092	0.29324895600214	2	"pan"
"FAS_CVDI"	"FAS"	"Eczema"	"Inverse variance weighted"	-0.0317721130053932	0.0710381346045514	0.654691440741259	2	"pan"
"FGF-23_CVDI"	"FGF-23"	"Eczema"	"Inverse variance weighted"	-0.133948482391999	0.123796619210085	0.279250588260047	7	"pan"
"FS_CVDI"	"FS"	"Eczema"	"Inverse variance weighted"	0.116361707342981	0.0806945289503532	0.149301686317218	4	"pan"
"GAL_CVDI"	"GAL"	"Eczema"	"Inverse variance weighted"	-0.0505459634804148	0.0662576336742752	0.445540906893719	4	"pan"
"GDF-15_CVDI"	"GDF-15"	"Eczema"	"Inverse variance weighted"	-0.0439484746285569	0.190178382639445	0.817244262069473	2	"pan"
"Gal-3_CVDI"	"Gal-3"	"Eczema"	"Inverse variance weighted"	-0.0294345513040387	0.0534857051656977	0.582096087547921	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Eczema"	"Inverse variance weighted"	0.102124364017035	0.138534470825303	0.461014988665668	5	"pan"
"HGF_CVDI"	"HGF"	"Eczema"	"Inverse variance weighted"	-0.0382564122953541	0.245083467076436	0.875957790518986	2	"pan"
"HSP_27_CVDI"	"HSP_27"	"Eczema"	"Inverse variance weighted"	0.0214486242135061	0.148275030627431	0.884983804482352	2	"pan"
"IL-18_CVDI"	"IL-18"	"Eczema"	"Inverse variance weighted"	0.0082432982433179	0.0619738880329195	0.894183539930589	6	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Eczema"	"Inverse variance weighted"	0.0195117096704752	0.0789124950279608	0.804708914175914	3	"pan"
"IL-27_CVDI"	"IL-27"	"Eczema"	"Inverse variance weighted"	0.00714068082848405	0.0406106832601776	0.860425480683555	11	"pan"
"IL-6_CVDI"	"IL-6"	"Eczema"	"Inverse variance weighted"	0.427920292196259	0.0928606825938179	4.06176299798997e-06	2	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Eczema"	"Inverse variance weighted"	0.0792775587400961	0.0179696615862771	1.02540993002392e-05	1	"pan"
"IL-8_CVDI"	"IL-8"	"Eczema"	"Inverse variance weighted"	0.14055765618482	0.248265219398102	0.571285512826242	1	"pan"
"IL16_CVDI"	"IL16"	"Eczema"	"Inverse variance weighted"	-0.0350512220482933	0.0352795276335985	0.320452387539796	2	"pan"
"ITGB1BP2_CVDI"	"ITGB1BP2"	"Eczema"	"Inverse variance weighted"	-0.0602745417827111	0.141517235534279	0.670168608260645	1	"pan"
"KIM-1_CVDI"	"KIM-1"	"Eczema"	"Inverse variance weighted"	-0.0410283564250711	0.0328021641246999	0.211014024023197	8	"pan"
"KLK6_CVDI"	"KLK6"	"Eczema"	"Inverse variance weighted"	0.0123013591339963	0.105330430760309	0.907027836710088	2	"pan"
