"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Breast cancer"	"Inverse variance weighted"	0.0969717622146003	0.12062130165329	0.421434151035832	4	"pan"
"AGRP_CVDI"	"AGRP"	"Breast cancer"	"Inverse variance weighted"	0.0371291600309595	0.229193581431492	0.871306541600099	2	"pan"
"CA-125_CVDI"	"CA-125"	"Breast cancer"	"Inverse variance weighted"	0.0589908585512356	0.050120611465846	0.239204275313747	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Breast cancer"	"Inverse variance weighted"	-0.488372093023256	0.135400516795866	0.000309912555019679	1	"pan"
"CCL20_CVDI"	"CCL20"	"Breast cancer"	"Inverse variance weighted"	-0.101857512986664	0.175909044647578	0.562565483033289	2	"pan"
"CCL3_CVDI"	"CCL3"	"Breast cancer"	"Inverse variance weighted"	-0.0668643965735153	0.108638250450772	0.538239437414294	3	"pan"
"CCL4_CVDI"	"CCL4"	"Breast cancer"	"Inverse variance weighted"	0.0472330966938519	0.0421909046042653	0.262923060885431	4	"pan"
"CD40_CVDI"	"CD40"	"Breast cancer"	"Inverse variance weighted"	-0.0432498112666731	0.0394897506727105	0.27342196782823	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Breast cancer"	"Inverse variance weighted"	0.147905759162304	0.265706806282723	0.577766416561879	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Breast cancer"	"Inverse variance weighted"	0.0112345936323724	0.0319091831503599	0.724778068902271	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Breast cancer"	"Inverse variance weighted"	0.222919042189282	0.100342075256556	0.0263109648046493	1	"pan"
"CSTB_CVDI"	"CSTB"	"Breast cancer"	"Inverse variance weighted"	0.0377660766428345	0.0716825746389265	0.598296670947795	2	"pan"
"CTSD_CVDI"	"CTSD"	"Breast cancer"	"Inverse variance weighted"	-0.0181627058028053	0.0582982678233605	0.755384096784029	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Breast cancer"	"Inverse variance weighted"	0.0138879909687885	0.0673678212036569	0.836672414035442	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Breast cancer"	"Inverse variance weighted"	-0.0153120514707378	0.0707092104761681	0.828559364506355	5	"pan"
"CXCL1_CVDI"	"CXCL1"	"Breast cancer"	"Inverse variance weighted"	-0.0445539623079486	0.122479784478158	0.716032869464342	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Breast cancer"	"Inverse variance weighted"	0.148501782320903	0.0944540247857777	0.115901317033425	10	"pan"
"CXCL6_CVDI"	"CXCL6"	"Breast cancer"	"Inverse variance weighted"	-0.0183538494106511	0.0395884548091609	0.642922737923112	2	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Breast cancer"	"Inverse variance weighted"	0.0358790705232453	0.12637799764531	0.776484851661947	5	"pan"
"ECP_CVDI"	"ECP"	"Breast cancer"	"Inverse variance weighted"	-0.0762779552715655	0.0870607028753994	0.380950239445957	1	"pan"
"EGF_CVDI"	"EGF"	"Breast cancer"	"Inverse variance weighted"	-0.128668171557562	0.139954853273138	0.357910002895183	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Breast cancer"	"Inverse variance weighted"	-0.221820373719108	0.127787823990356	0.082590527435087	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Breast cancer"	"Inverse variance weighted"	0.239245283018868	0.153207547169811	0.118387823387367	1	"pan"
"FABP4_CVDI"	"FABP4"	"Breast cancer"	"Inverse variance weighted"	-0.239352687558668	0.169613716053707	0.158196405728812	2	"pan"
"FAS_CVDI"	"FAS"	"Breast cancer"	"Inverse variance weighted"	-0.0668614019364057	0.0790950454205069	0.397926705997236	2	"pan"
"FGF-23_CVDI"	"FGF-23"	"Breast cancer"	"Inverse variance weighted"	-0.0579812146305078	0.0861569668416283	0.500965190539952	7	"pan"
"FS_CVDI"	"FS"	"Breast cancer"	"Inverse variance weighted"	-0.150177177842053	0.0851848522887416	0.0779078487964493	4	"pan"
"GAL_CVDI"	"GAL"	"Breast cancer"	"Inverse variance weighted"	-0.0352079723416375	0.0665713714602258	0.596891766864071	4	"pan"
"GDF-15_CVDI"	"GDF-15"	"Breast cancer"	"Inverse variance weighted"	-0.00257989088297618	0.068399332534444	0.969912467649654	2	"pan"
"Gal-3_CVDI"	"Gal-3"	"Breast cancer"	"Inverse variance weighted"	0.0140207137757149	0.0477087704947605	0.768848635438882	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Breast cancer"	"Inverse variance weighted"	-0.143196861839797	0.135776834104365	0.29158602108902	5	"pan"
"HGF_CVDI"	"HGF"	"Breast cancer"	"Inverse variance weighted"	-0.117738569192349	0.115825274218899	0.309382397813572	2	"pan"
"HSP_27_CVDI"	"HSP_27"	"Breast cancer"	"Inverse variance weighted"	-0.0580864191933993	0.0628651533827913	0.355494453184883	2	"pan"
"IL-18_CVDI"	"IL-18"	"Breast cancer"	"Inverse variance weighted"	0.0167111755950905	0.0630398953907155	0.790940989429893	6	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Breast cancer"	"Inverse variance weighted"	-0.040616030067737	0.0689440135782129	0.555783377618982	3	"pan"
"IL-27_CVDI"	"IL-27"	"Breast cancer"	"Inverse variance weighted"	-0.0268788737544975	0.0445187281960395	0.545999536287545	11	"pan"
"IL-6_CVDI"	"IL-6"	"Breast cancer"	"Inverse variance weighted"	-0.16892028729237	0.0941702950116072	0.0728491458271794	2	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Breast cancer"	"Inverse variance weighted"	-0.0296211011094829	0.0188402763240527	0.11589902349934	1	"pan"
"IL-8_CVDI"	"IL-8"	"Breast cancer"	"Inverse variance weighted"	0.0554371002132196	0.231876332622601	0.811043193312686	1	"pan"
