"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Prostate cancer"	"Inverse variance weighted"	0.0811911318909359	0.0948333041468524	0.391917156289404	4	"pan"
"AGRP_CVDI"	"AGRP"	"Prostate cancer"	"Inverse variance weighted"	0.0132127029045283	0.0548634655756206	0.809687802667196	4	"pan"
"CA-125_CVDI"	"CA-125"	"Prostate cancer"	"Inverse variance weighted"	0.0312519590045714	0.022464154718781	0.164167122459024	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Prostate cancer"	"Inverse variance weighted"	-0.00748072351421189	0.0858739018087855	0.930581781893962	1	"pan"
"CCL20_CVDI"	"CCL20"	"Prostate cancer"	"Inverse variance weighted"	0.0756009843943421	0.104944626131306	0.471285344157777	2	"pan"
"CCL3_CVDI"	"CCL3"	"Prostate cancer"	"Inverse variance weighted"	0.0243780450913624	0.0543117874564406	0.653537219803147	3	"pan"
"CCL4_CVDI"	"CCL4"	"Prostate cancer"	"Inverse variance weighted"	0.017364648112543	0.0233577161729999	0.457226020581846	4	"pan"
"CD40_CVDI"	"CD40"	"Prostate cancer"	"Inverse variance weighted"	-0.01267937227457	0.0247383922161204	0.608274356893516	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Prostate cancer"	"Inverse variance weighted"	-0.374303664921466	0.165989528795812	0.0241343583103811	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Prostate cancer"	"Inverse variance weighted"	-0.0180830134381669	0.0237074672647028	0.445608912809359	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Prostate cancer"	"Inverse variance weighted"	-0.0142978335233751	0.0653095781071836	0.826709257233852	1	"pan"
"CSTB_CVDI"	"CSTB"	"Prostate cancer"	"Inverse variance weighted"	0.00138704175966336	0.0214588382583619	0.948462771086524	2	"pan"
"CTSD_CVDI"	"CTSD"	"Prostate cancer"	"Inverse variance weighted"	-0.0047935635352317	0.0484272199588516	0.921150259104591	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Prostate cancer"	"Inverse variance weighted"	0.0820988364446582	0.0556470306162749	0.140118519547658	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Prostate cancer"	"Inverse variance weighted"	-0.0100996881295578	0.0444566859428723	0.820283460203338	5	"pan"
"CXCL1_CVDI"	"CXCL1"	"Prostate cancer"	"Inverse variance weighted"	-0.0535242638626987	0.0410516363485164	0.192292308745675	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Prostate cancer"	"Inverse variance weighted"	0.0370305801921498	0.0421759143660064	0.379942079726322	10	"pan"
"CXCL6_CVDI"	"CXCL6"	"Prostate cancer"	"Inverse variance weighted"	0.0335003316234928	0.0223322007520783	0.133590852064657	2	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Prostate cancer"	"Inverse variance weighted"	-0.0761081461993392	0.06039472947373	0.207604937545674	5	"pan"
"ECP_CVDI"	"ECP"	"Prostate cancer"	"Inverse variance weighted"	-0.0764211261980831	0.0529840255591054	0.149205700087198	1	"pan"
"EGF_CVDI"	"EGF"	"Prostate cancer"	"Inverse variance weighted"	-0.215422121896163	0.0879977426636569	0.0143635128934183	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Prostate cancer"	"Inverse variance weighted"	0.0384731766124171	0.0834171187462327	0.644644789334101	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Prostate cancer"	"Inverse variance weighted"	0.0174083018867924	0.0975358490566038	0.858345193030116	1	"pan"
"FABP4_CVDI"	"FABP4"	"Prostate cancer"	"Inverse variance weighted"	0.122157816942145	0.102307420153848	0.232467425795191	2	"pan"
"FAS_CVDI"	"FAS"	"Prostate cancer"	"Inverse variance weighted"	-0.110460762485003	0.0453889762330357	0.014947549419661	2	"pan"
"FGF-23_CVDI"	"FGF-23"	"Prostate cancer"	"Inverse variance weighted"	0.0314177157952779	0.0501113915918234	0.530687055049349	7	"pan"
"FS_CVDI"	"FS"	"Prostate cancer"	"Inverse variance weighted"	0.0954985164984604	0.0531077606199042	0.072144897946819	4	"pan"
"GAL_CVDI"	"GAL"	"Prostate cancer"	"Inverse variance weighted"	0.033534151824911	0.0728106373679694	0.645109538350643	4	"pan"
"GDF-15_CVDI"	"GDF-15"	"Prostate cancer"	"Inverse variance weighted"	-0.0102680552695858	0.0427606357417172	0.810230496546968	2	"pan"
"Gal-3_CVDI"	"Gal-3"	"Prostate cancer"	"Inverse variance weighted"	0.0747908139033531	0.041268908436826	0.0699429562629346	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Prostate cancer"	"Inverse variance weighted"	0.00133115748075258	0.102182143323302	0.989606012105128	6	"pan"
"HGF_CVDI"	"HGF"	"Prostate cancer"	"Inverse variance weighted"	0.0815498723422009	0.0741544947132947	0.271450074164384	2	"pan"
"HSP_27_CVDI"	"HSP_27"	"Prostate cancer"	"Inverse variance weighted"	0.0248504322008156	0.0367824153516295	0.499290629154882	2	"pan"
"IL-18_CVDI"	"IL-18"	"Prostate cancer"	"Inverse variance weighted"	0.0250486149527629	0.038132745970917	0.511258470673792	6	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Prostate cancer"	"Inverse variance weighted"	-0.129167050231769	0.0933062192239477	0.166255950185764	3	"pan"
"IL-27_CVDI"	"IL-27"	"Prostate cancer"	"Inverse variance weighted"	-0.00755642484468321	0.021191350361462	0.721405788176618	11	"pan"
"IL-6_CVDI"	"IL-6"	"Prostate cancer"	"Inverse variance weighted"	0.113649723040978	0.0589277055506982	0.053776849307577	2	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Prostate cancer"	"Inverse variance weighted"	0.0192969436885074	0.0119576093782709	0.106575284346831	1	"pan"
"IL-8_CVDI"	"IL-8"	"Prostate cancer"	"Inverse variance weighted"	-0.0908960554371002	0.12767750533049	0.476514870282852	1	"pan"
"IL16_CVDI"	"IL16"	"Prostate cancer"	"Inverse variance weighted"	0.00740793346946658	0.0218660339406751	0.734770008205795	3	"pan"
"ITGB1BP2_CVDI"	"ITGB1BP2"	"Prostate cancer"	"Inverse variance weighted"	-0.0645532450331126	0.0808569536423841	0.424659545673978	1	"pan"
