"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Rheumatoid Arthritis"	"Inverse variance weighted"	-0.271883832872797	0.304877214604889	0.372510106818338	4	"pan"
"AGRP_CVDI"	"AGRP"	"Rheumatoid Arthritis"	"Inverse variance weighted"	-0.297336746188884	0.308662952662538	0.335394191340124	1	"pan"
"CA-125_CVDI"	"CA-125"	"Rheumatoid Arthritis"	"Inverse variance weighted"	-0.0305869983787937	0.0875304351457853	0.726755894015367	2	"pan"
"CASP-8_CVDI"	"CASP-8"	"Rheumatoid Arthritis"	"Inverse variance weighted"	-0.152758667914958	0.153649019594397	0.320122933760908	1	"pan"
"CCL20_CVDI"	"CCL20"	"Rheumatoid Arthritis"	"Inverse variance weighted"	-0.167448684381166	0.207892340467852	0.4205550573714	2	"pan"
"CCL3_CVDI"	"CCL3"	"Rheumatoid Arthritis"	"Inverse variance weighted"	0.153144111388055	0.122245222712312	0.210292508404535	3	"pan"
"CCL4_CVDI"	"CCL4"	"Rheumatoid Arthritis"	"Inverse variance weighted"	-0.142759842230767	0.0811499429739505	0.0785417395605517	4	"pan"
"CD40_CVDI"	"CD40"	"Rheumatoid Arthritis"	"Inverse variance weighted"	0.268695564840976	0.0584277352722904	4.24997941893789e-06	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Rheumatoid Arthritis"	"Inverse variance weighted"	0	0.267270069265213	1	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Rheumatoid Arthritis"	"Inverse variance weighted"	-0.0216109537884254	0.0295867396310481	0.465129212868616	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Rheumatoid Arthritis"	"Inverse variance weighted"	0.0572995202594156	0.108084033231443	0.596015823917294	1	"pan"
"CSTB_CVDI"	"CSTB"	"Rheumatoid Arthritis"	"Inverse variance weighted"	0.0049367270982845	0.0421635424753027	0.906792532211093	2	"pan"
"CTSD_CVDI"	"CTSD"	"Rheumatoid Arthritis"	"Inverse variance weighted"	-0.0930923202787093	0.0717403738036129	0.194415183754551	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Rheumatoid Arthritis"	"Inverse variance weighted"	-0.276344214174849	0.310594988653269	0.373613414725068	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Rheumatoid Arthritis"	"Inverse variance weighted"	0.0517050969341349	0.0637423725343395	0.417275288250468	5	"pan"
