"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Age at menarche"	"Inverse variance weighted"	-0.0225779952959653	0.0200830870199209	0.260915753365992	4	"pan"
"AGRP_CVDI"	"AGRP"	"Age at menarche"	"Inverse variance weighted"	-0.0354773189445437	0.047067820496331	0.451000000000001	1	"pan"
"CA-125_CVDI"	"CA-125"	"Age at menarche"	"Inverse variance weighted"	0.0109817529245888	0.00670809977820852	0.101611981584327	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Age at menarche"	"Inverse variance weighted"	-0.00244215962967091	0.0234342188563574	0.917	1	"pan"
"CCL20_CVDI"	"CCL20"	"Age at menarche"	"Inverse variance weighted"	-0.0200259893688213	0.0622351981938937	0.747620008437517	2	"pan"
"CCL3_CVDI"	"CCL3"	"Age at menarche"	"Inverse variance weighted"	-0.000232279756093072	0.028182628456578	0.993423951452302	3	"pan"
"CCL4_CVDI"	"CCL4"	"Age at menarche"	"Inverse variance weighted"	-0.00645171948614556	0.0186487389683864	0.729372705358351	4	"pan"
"CD40_CVDI"	"CD40"	"Age at menarche"	"Inverse variance weighted"	-0.000762299062307918	0.00843685518544634	0.92800633844794	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Age at menarche"	"Inverse variance weighted"	-0.067154823324496	0.0456190870830637	0.141	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Age at menarche"	"Inverse variance weighted"	-0.0010271297142355	0.0139662936205208	0.941373652604203	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Age at menarche"	"Inverse variance weighted"	-0.00885228166790226	0.0167886169738307	0.598	1	"pan"
"CSTB_CVDI"	"CSTB"	"Age at menarche"	"Inverse variance weighted"	0.000961854106464394	0.00558926975861146	0.863367242184859	2	"pan"
"CTSD_CVDI"	"CTSD"	"Age at menarche"	"Inverse variance weighted"	0.0122592664055016	0.0238363331894151	0.607035216085772	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Age at menarche"	"Inverse variance weighted"	-0.000985860492944305	0.00957676391120042	0.918008235953194	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Age at menarche"	"Inverse variance weighted"	0.00315806447753611	0.0121221728030363	0.794462943319072	5	"pan"
"CXCL1_CVDI"	"CXCL1"	"Age at menarche"	"Inverse variance weighted"	0.0295785944898201	0.0372334228795571	0.426956924817645	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Age at menarche"	"Inverse variance weighted"	-0.019889232104297	0.0203079137155057	0.327390612007609	10	"pan"
"CXCL6_CVDI"	"CXCL6"	"Age at menarche"	"Inverse variance weighted"	0.00703610922298186	0.00607783575162178	0.247	1	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Age at menarche"	"Inverse variance weighted"	0.03501448756403	0.0277365820852113	0.206807141042751	5	"pan"
"ECP_CVDI"	"ECP"	"Age at menarche"	"Inverse variance weighted"	-0.00431362746089751	0.0141817326932482	0.761	1	"pan"
"EGF_CVDI"	"EGF"	"Age at menarche"	"Inverse variance weighted"	-0.0309857370620452	0.0227926341979397	0.174	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Age at menarche"	"Inverse variance weighted"	-0.00528997894466304	0.0221212001025999	0.811	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Age at menarche"	"Inverse variance weighted"	-0.0142658985159644	0.0255765713154142	0.577	1	"pan"
"FABP4_CVDI"	"FABP4"	"Age at menarche"	"Inverse variance weighted"	-0.0599703599497431	0.0273166935960777	0.0281367778058056	2	"pan"
"FAS_CVDI"	"FAS"	"Age at menarche"	"Inverse variance weighted"	0.00824137736952976	0.012249807336413	0.501089757161919	2	"pan"
