"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Age at menopause"	"Inverse variance weighted"	-0.0270598871162074	0.0447695004235914	0.545559903965348	4	"pan"
"AGRP_CVDI"	"AGRP"	"Age at menopause"	"Inverse variance weighted"	-0.0382061450763741	0.0764122901527482	0.617075077451974	1	"pan"
"CA-125_CVDI"	"CA-125"	"Age at menopause"	"Inverse variance weighted"	0	0.06001248259638	1	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Age at menopause"	"Inverse variance weighted"	-0.0263681788817255	0.0395522683225883	0.504985075093846	1	"pan"
"CCL20_CVDI"	"CCL20"	"Age at menopause"	"Inverse variance weighted"	-0.0324038322624115	0.0759646574967099	0.669696500538565	2	"pan"
"CCL3_CVDI"	"CCL3"	"Age at menopause"	"Inverse variance weighted"	-0.00691669716220615	0.01229768199276	0.573816887131666	3	"pan"
"CCL4_CVDI"	"CCL4"	"Age at menopause"	"Inverse variance weighted"	0.00890169811772112	0.0217187452133309	0.681906852239081	2	"pan"
"CD40_CVDI"	"CD40"	"Age at menopause"	"Inverse variance weighted"	0.0491620627985393	0.0099887996049421	8.57874194804002e-07	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Age at menopause"	"Inverse variance weighted"	0.0118800351022054	0.0514104293482677	0.817250943477447	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Age at menopause"	"Inverse variance weighted"	-0.014507008335727	0.029014016671454	0.617075077451974	1	"pan"
"CTSD_CVDI"	"CTSD"	"Age at menopause"	"Inverse variance weighted"	0.0921552591459369	0.0968183539087638	0.341179823824287	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Age at menopause"	"Inverse variance weighted"	-0.00176259742383872	0.0181961622484954	0.922832461959695	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Age at menopause"	"Inverse variance weighted"	0.0467187943129409	0.0983726725321784	0.634846570181045	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Age at menopause"	"Inverse variance weighted"	-0.0294821376458352	0.0540987816119903	0.585775109016658	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Age at menopause"	"Inverse variance weighted"	0.070393184440171	0.0267958960381244	0.00861378806350595	6	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Age at menopause"	"Inverse variance weighted"	-0.00165221169279998	0.0223779345968171	0.941143921042916	5	"pan"
"EGF_CVDI"	"EGF"	"Age at menopause"	"Inverse variance weighted"	0.0582716624905308	0.0388477749936872	0.133614402537716	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Age at menopause"	"Inverse variance weighted"	0.0167734295457252	0.0335468590914504	0.617075077451974	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Age at menopause"	"Inverse variance weighted"	-0.0769321016503859	0.0576990762377894	0.182422439451736	1	"pan"
"FABP4_CVDI"	"FABP4"	"Age at menopause"	"Inverse variance weighted"	0.0703556477996271	0.0703556477996271	0.317310507862914	1	"pan"
"FAS_CVDI"	"FAS"	"Age at menopause"	"Inverse variance weighted"	0.0207547248131037	0.0207547248131037	0.317310507862914	1	"pan"
"FGF-23_CVDI"	"FGF-23"	"Age at menopause"	"Inverse variance weighted"	0.0281286130895827	0.0316854717740456	0.374678036722095	7	"pan"
"FS_CVDI"	"FS"	"Age at menopause"	"Inverse variance weighted"	0.114244309624225	0.0962894514558661	0.235437708795723	3	"pan"
"GAL_CVDI"	"GAL"	"Age at menopause"	"Inverse variance weighted"	-0.0705036350422803	0.0220404179378977	0.00137984665507809	3	"pan"
"GDF-15_CVDI"	"GDF-15"	"Age at menopause"	"Inverse variance weighted"	-0.0347044361986704	0.0208226617192022	0.0955807045456294	1	"pan"
"Gal-3_CVDI"	"Gal-3"	"Age at menopause"	"Inverse variance weighted"	0.0170260341372493	0.0220968137398155	0.44099157064747	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Age at menopause"	"Inverse variance weighted"	0.0350261111759806	0.0502747394545152	0.485994291515796	3	"pan"
"HGF_CVDI"	"HGF"	"Age at menopause"	"Inverse variance weighted"	0.0889695546184096	0.050839745496234	0.0801183137276342	1	"pan"
"HSP_27_CVDI"	"HSP_27"	"Age at menopause"	"Inverse variance weighted"	0.022261848312218	0.022261848312218	0.317310507862914	1	"pan"
"IL-18_CVDI"	"IL-18"	"Age at menopause"	"Inverse variance weighted"	0.0178427507659112	0.017738774458082	0.31448218538929	4	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Age at menopause"	"Inverse variance weighted"	0.027119192583829	0.0246782960142963	0.271807919881158	2	"pan"
"IL-27_CVDI"	"IL-27"	"Age at menopause"	"Inverse variance weighted"	-0.016494307111856	0.0153501475439288	0.282581906823878	9	"pan"
"IL-6_CVDI"	"IL-6"	"Age at menopause"	"Inverse variance weighted"	-0.0302200624950892	0.0302200624950892	0.317310507862914	1	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Age at menopause"	"Inverse variance weighted"	-0.00532383986209125	0.00532383986209125	0.317310507862914	1	"pan"
