"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"All stroke"	"Inverse variance weighted"	-0.0990248674122415	0.0589373947573287	0.0929241624249778	3	"pan"
"AGRP_CVDI"	"AGRP"	"All stroke"	"Inverse variance weighted"	0.168168168168168	0.145645645645646	0.248238217135493	1	"pan"
"CA-125_CVDI"	"CA-125"	"All stroke"	"Inverse variance weighted"	0.00478917191875275	0.0222611935100689	0.829661714596404	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"All stroke"	"Inverse variance weighted"	0.0490956072351421	0.068733850129199	0.475050524053953	1	"pan"
"CCL20_CVDI"	"CCL20"	"All stroke"	"Inverse variance weighted"	0.00842716874572238	0.0931437215232233	0.927909840269199	2	"pan"
"CCL3_CVDI"	"CCL3"	"All stroke"	"Inverse variance weighted"	0.0285448891956895	0.126687186054492	0.821731984835759	3	"pan"
"CCL4_CVDI"	"CCL4"	"All stroke"	"Inverse variance weighted"	-0.0216421247496767	0.0377790543239644	0.566739208710388	4	"pan"
"CD40_CVDI"	"CD40"	"All stroke"	"Inverse variance weighted"	-0.0785418526116051	0.020546836816321	0.000132064564474696	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"All stroke"	"Inverse variance weighted"	0.147905759162304	0.170157068062827	0.384720920909087	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"All stroke"	"Inverse variance weighted"	0.00192796811330551	0.0163089381027329	0.905896965156443	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"All stroke"	"Inverse variance weighted"	0.0524515393386545	0.0530216647662486	0.322542155546151	1	"pan"
"CSTB_CVDI"	"CSTB"	"All stroke"	"Inverse variance weighted"	-0.00686857334847487	0.0194774933878274	0.724357188046441	2	"pan"
"CTSD_CVDI"	"CTSD"	"All stroke"	"Inverse variance weighted"	-0.0339017496638787	0.0304891477595819	0.266168931358571	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"All stroke"	"Inverse variance weighted"	-0.00110035801330285	0.0401137932316303	0.978116041695295	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"All stroke"	"Inverse variance weighted"	0.0013366736171493	0.105830512227631	0.989922727724688	4	"pan"
"CXCL1_CVDI"	"CXCL1"	"All stroke"	"Inverse variance weighted"	-0.0243247440791489	0.0340940153508109	0.475560650611367	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"All stroke"	"Inverse variance weighted"	-0.0848899811125863	0.0862026370271231	0.324735861464703	10	"pan"
"CXCL6_CVDI"	"CXCL6"	"All stroke"	"Inverse variance weighted"	0.00511654349061967	0.0191396626871328	0.789217605793216	1	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"All stroke"	"Inverse variance weighted"	0.000652186125196644	0.0393405431623903	0.986773303981064	5	"pan"
"ECP_CVDI"	"ECP"	"All stroke"	"Inverse variance weighted"	0.00718849840255591	0.045926517571885	0.875621785073035	1	"pan"
"EGF_CVDI"	"EGF"	"All stroke"	"Inverse variance weighted"	-0.0970654627539504	0.0692249811888638	0.160863319629277	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"All stroke"	"Inverse variance weighted"	-0.0349608197709464	0.0669077757685353	0.601306569127729	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"All stroke"	"Inverse variance weighted"	0.0958490566037736	0.08	0.230872947759818	1	"pan"
"FABP4_CVDI"	"FABP4"	"All stroke"	"Inverse variance weighted"	0.0503647887397665	0.0874743425483061	0.564773076200538	2	"pan"
"FAS_CVDI"	"FAS"	"All stroke"	"Inverse variance weighted"	0.0247269133679867	0.0582338722681365	0.671118136512265	2	"pan"
"FGF-23_CVDI"	"FGF-23"	"All stroke"	"Inverse variance weighted"	-0.0155601272350135	0.0741155506398466	0.83371125326053	7	"pan"
"FS_CVDI"	"FS"	"All stroke"	"Inverse variance weighted"	0.0612671827087576	0.049091656249581	0.21202512145639	4	"pan"
"GAL_CVDI"	"GAL"	"All stroke"	"Inverse variance weighted"	0.0340427865294108	0.0347885306538559	0.327795698399959	4	"pan"
"GDF-15_CVDI"	"GDF-15"	"All stroke"	"Inverse variance weighted"	0.0458118731363513	0.0368663594470046	0.213997920652974	1	"pan"
"Gal-3_CVDI"	"Gal-3"	"All stroke"	"Inverse variance weighted"	0.0269131686292176	0.0245114228174952	0.272211145325543	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"All stroke"	"Inverse variance weighted"	0.0316401397757273	0.066750795268974	0.63549709952368	4	"pan"
"HGF_CVDI"	"HGF"	"All stroke"	"Inverse variance weighted"	0.150085817848667	0.0602125057347669	0.0126810868301556	2	"pan"
"HSP_27_CVDI"	"HSP_27"	"All stroke"	"Inverse variance weighted"	-0.0201224846894138	0.0312044327792359	0.519018036455031	1	"pan"
"IL-18_CVDI"	"IL-18"	"All stroke"	"Inverse variance weighted"	0.0366359135209062	0.0374484913417002	0.327925251119629	6	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"All stroke"	"Inverse variance weighted"	-0.0651385203728561	0.0351096524982699	0.0635550970428134	3	"pan"
