"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Asthma"	"Inverse variance weighted"	0.0357573627807226	0.0668341106858501	0.592638335968785	4	"pan"
"AGRP_CVDI"	"AGRP"	"Asthma"	"Inverse variance weighted"	-0.175722852760736	0.208601226993865	0.399571659804056	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Asthma"	"Inverse variance weighted"	0.323890275611024	0.0945335413416537	0.00061210246485195	1	"pan"
"CCL20_CVDI"	"CCL20"	"Asthma"	"Inverse variance weighted"	-0.181688861752277	0.110547963716381	0.100273385385826	2	"pan"
"CCL3_CVDI"	"CCL3"	"Asthma"	"Inverse variance weighted"	-0.0469380196894042	0.144294698153458	0.744959514715319	3	"pan"
"CCL4_CVDI"	"CCL4"	"Asthma"	"Inverse variance weighted"	-0.00074806435557945	0.194779084484933	0.996935669278464	2	"pan"
"CD40_CVDI"	"CD40"	"Asthma"	"Inverse variance weighted"	0.000983630049324453	0.064708878146754	0.987871942319062	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Asthma"	"Inverse variance weighted"	0.0370013992730374	0.0230033518836698	0.107720885751804	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Asthma"	"Inverse variance weighted"	0.0726976624857469	0.0728119726339795	0.318070861424734	1	"pan"
"CTSD_CVDI"	"CTSD"	"Asthma"	"Inverse variance weighted"	0.0276285450146801	0.0891626884711391	0.75666235259704	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Asthma"	"Inverse variance weighted"	-0.172920971893444	0.0612402774529512	0.0047480535311777	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Asthma"	"Inverse variance weighted"	0.128805068608098	0.124311355932257	0.300132704885997	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Asthma"	"Inverse variance weighted"	0.0141715067829938	0.171719065284489	0.934227428791166	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Asthma"	"Inverse variance weighted"	0.0951072292024163	0.129312338637548	0.462044436477167	6	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Asthma"	"Inverse variance weighted"	0.140646537651317	0.0727755172936829	0.0532845218832217	5	"pan"
"EGF_CVDI"	"EGF"	"Asthma"	"Inverse variance weighted"	0.0346667175572519	0.101572671755725	0.73287800960878	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Asthma"	"Inverse variance weighted"	0.0865647989452868	0.0928999340804219	0.351436331652966	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Asthma"	"Inverse variance weighted"	-0.00162910052910053	0.115444897959184	0.988741026722277	1	"pan"
"FABP4_CVDI"	"FABP4"	"Asthma"	"Inverse variance weighted"	0.0821067281105991	0.172740184331797	0.634559468242689	1	"pan"
"FAS_CVDI"	"FAS"	"Asthma"	"Inverse variance weighted"	-0.128437683523654	0.0553621125611745	0.0203432397939726	1	"pan"
"FGF-23_CVDI"	"FGF-23"	"Asthma"	"Inverse variance weighted"	0.0534328191871187	0.115159018944753	0.64265375308927	5	"pan"
"FS_CVDI"	"FS"	"Asthma"	"Inverse variance weighted"	0.0286916098829309	0.064629445201816	0.657085807518134	3	"pan"
"GAL_CVDI"	"GAL"	"Asthma"	"Inverse variance weighted"	-0.0344907738341641	0.0666215807521084	0.604659412801543	3	"pan"
"GDF-15_CVDI"	"GDF-15"	"Asthma"	"Inverse variance weighted"	-0.0112703023758099	0.0504398218142549	0.82319263454183	1	"pan"
"Gal-3_CVDI"	"Gal-3"	"Asthma"	"Inverse variance weighted"	-0.0632417754554409	0.0521624868547099	0.225359474079083	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Asthma"	"Inverse variance weighted"	0.362107448193577	0.193531664728066	0.061338131719825	3	"pan"
"HGF_CVDI"	"HGF"	"Asthma"	"Inverse variance weighted"	0.00407982017982018	0.129042007992008	0.974778110231441	1	"pan"
"HSP_27_CVDI"	"HSP_27"	"Asthma"	"Inverse variance weighted"	0.00752350030921459	0.043867316017316	0.863826049089961	1	"pan"
"IL-18_CVDI"	"IL-18"	"Asthma"	"Inverse variance weighted"	0.0823446385596421	0.0796273521779243	0.301077712750105	4	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Asthma"	"Inverse variance weighted"	0.0839514123456902	0.445886526472493	0.850657343488079	2	"pan"
"IL-27_CVDI"	"IL-27"	"Asthma"	"Inverse variance weighted"	-0.0654809984698395	0.0388856538289863	0.0921938088801426	9	"pan"
"IL-6_CVDI"	"IL-6"	"Asthma"	"Inverse variance weighted"	0.349395248998283	0.0794429879793933	1.09221386212124e-05	1	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Asthma"	"Inverse variance weighted"	0.0662229208076159	0.0132920284548593	6.28806506561422e-07	1	"pan"
"IL-8_CVDI"	"IL-8"	"Asthma"	"Inverse variance weighted"	0.225236886993603	0.221144136460554	0.308436998592987	1	"pan"
"IL16_CVDI"	"IL16"	"Asthma"	"Inverse variance weighted"	-0.0044831542714092	0.0240783978303953	0.852295851036069	1	"pan"
"KIM-1_CVDI"	"KIM-1"	"Asthma"	"Inverse variance weighted"	0.0107933739607808	0.0290647929015169	0.710372681900019	6	"pan"
"LEP_CVDI"	"LEP"	"Asthma"	"Inverse variance weighted"	0.0712772616545205	0.269479731347105	0.791395028729562	2	"pan"
