"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Body fat %"	"Inverse variance weighted"	0.0293119003029376	0.0427296314223871	0.492722359433794	4	"pan"
"AGRP_CVDI"	"AGRP"	"Body fat %"	"Inverse variance weighted"	0.166666666666667	0.0855855855855856	0.0514905811821035	1	"pan"
"CA-125_CVDI"	"CA-125"	"Body fat %"	"Inverse variance weighted"	-0.017688679245283	0.0683962264150943	0.795927918181723	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Body fat %"	"Inverse variance weighted"	0.0538860103626943	0.0440414507772021	0.22112980236164	1	"pan"
"CCL20_CVDI"	"CCL20"	"Body fat %"	"Inverse variance weighted"	-0.0358341997894284	0.0697235131994447	0.60728895237373	2	"pan"
"CCL3_CVDI"	"CCL3"	"Body fat %"	"Inverse variance weighted"	0.0109969912454256	0.0172540633689267	0.523892588035952	3	"pan"
"CCL4_CVDI"	"CCL4"	"Body fat %"	"Inverse variance weighted"	-0.0173327417728047	0.0205238162824476	0.398379750869283	2	"pan"
"CD40_CVDI"	"CD40"	"Body fat %"	"Inverse variance weighted"	-0.00352659237420379	0.0102574654206836	0.730991145182913	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Body fat %"	"Inverse variance weighted"	-0.00386602809446976	0.0103513305824516	0.708790282723122	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Body fat %"	"Inverse variance weighted"	0.0228050171037628	0.0307867730900798	0.458850651929467	1	"pan"
"CTSD_CVDI"	"CTSD"	"Body fat %"	"Inverse variance weighted"	-0.029084189385181	0.0385192611430208	0.450215535725323	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Body fat %"	"Inverse variance weighted"	-0.00664182778850593	0.0221950099190132	0.764750296107967	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Body fat %"	"Inverse variance weighted"	0.0249810344915607	0.0480645648475842	0.603245418989425	3	"pan"
"CXCL1_CVDI"	"CXCL1"	"Body fat %"	"Inverse variance weighted"	-0.031505425642769	0.0247418845868478	0.202888898409478	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Body fat %"	"Inverse variance weighted"	0.0320580506192447	0.0264978737692531	0.226342278127373	6	"pan"
"CXCL6_CVDI"	"CXCL6"	"Body fat %"	"Inverse variance weighted"	-0.0794011749099867	0.0341102899374645	0.0199239066611274	1	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Body fat %"	"Inverse variance weighted"	0.00797057623268029	0.0427023624040017	0.851931750733102	5	"pan"
"EGF_CVDI"	"EGF"	"Body fat %"	"Inverse variance weighted"	0.00763358778625954	0.0427480916030534	0.858274230547457	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Body fat %"	"Inverse variance weighted"	-0.017798286090969	0.03955174686882	0.65271044057584	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Body fat %"	"Inverse variance weighted"	-0.104308390022676	0.0491307634164777	0.0337474064465437	1	"pan"
"FABP4_CVDI"	"FABP4"	"Body fat %"	"Inverse variance weighted"	0.283870967741935	0.0635944700460829	8.0530716150531e-06	1	"pan"
"FAS_CVDI"	"FAS"	"Body fat %"	"Inverse variance weighted"	0.0113491228063094	0.024014912474276	0.636508234433824	2	"pan"
"FGF-23_CVDI"	"FGF-23"	"Body fat %"	"Inverse variance weighted"	-0.000980126730264624	0.0347126699258358	0.977474389342725	7	"pan"
"FS_CVDI"	"FS"	"Body fat %"	"Inverse variance weighted"	-0.031220853158707	0.026138158786961	0.232300052764807	3	"pan"
"GAL_CVDI"	"GAL"	"Body fat %"	"Inverse variance weighted"	0.0260736948565726	0.0252881159976769	0.302510273901802	3	"pan"
"GDF-15_CVDI"	"GDF-15"	"Body fat %"	"Inverse variance weighted"	-0.0103655210038189	0.0215493726132024	0.630507502249952	1	"pan"
"Gal-3_CVDI"	"Gal-3"	"Body fat %"	"Inverse variance weighted"	0.0136458989418039	0.0166015543041508	0.411096736155354	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Body fat %"	"Inverse variance weighted"	-0.0535691687166282	0.0287554232707788	0.0624729568306573	3	"pan"
"HGF_CVDI"	"HGF"	"Body fat %"	"Inverse variance weighted"	-0.0304695304695305	0.0504495504495504	0.545869973034074	1	"pan"
"HSP_27_CVDI"	"HSP_27"	"Body fat %"	"Inverse variance weighted"	-0.00408282298046078	0.0180810731991834	0.821351959007176	1	"pan"
"IL-18_CVDI"	"IL-18"	"Body fat %"	"Inverse variance weighted"	-0.00866657228096795	0.0201569688909432	0.667228999293836	5	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Body fat %"	"Inverse variance weighted"	-0.0412930567021558	0.0261551063817749	0.114387423716248	2	"pan"
"IL-27_CVDI"	"IL-27"	"Body fat %"	"Inverse variance weighted"	0.000494770683056878	0.00886889732291294	0.955511355848508	9	"pan"
"IL-6_CVDI"	"IL-6"	"Body fat %"	"Inverse variance weighted"	0.0372066399542072	0.0269032627361191	0.166671389885043	1	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Body fat %"	"Inverse variance weighted"	0.00700910137043624	0.00491683230463438	0.154003501413637	1	"pan"
"IL-8_CVDI"	"IL-8"	"Body fat %"	"Inverse variance weighted"	0.0383795309168444	0.0676972281449893	0.570762329490753	1	"pan"
"IL16_CVDI"	"IL16"	"Body fat %"	"Inverse variance weighted"	-0.00177323458850527	0.0103264837801189	0.863659885264128	1	"pan"
"KIM-1_CVDI"	"KIM-1"	"Body fat %"	"Inverse variance weighted"	-0.00746923776173804	0.0107344460430664	0.486541824145175	6	"pan"
"LEP_CVDI"	"LEP"	"Body fat %"	"Inverse variance weighted"	0.383506035802639	0.427109861332694	0.369233757373581	2	"pan"
"LOX-1_CVDI"	"LOX-1"	"Body fat %"	"Inverse variance weighted"	-0.014185172035157	0.0256116861551252	0.579677774103501	7	"pan"
"MB_CVDI"	"MB"	"Body fat %"	"Inverse variance weighted"	0.0644578854734903	0.0603759172354554	0.285696826132454	2	"pan"
