"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Bone fracture"	"Inverse variance weighted"	-0.00178137594992576	0.0486158388016511	0.970770546942426	4	"pan"
"AGRP_CVDI"	"AGRP"	"Bone fracture"	"Inverse variance weighted"	0.199684684684685	0.104444444444444	0.0558922750991863	1	"pan"
"CA-125_CVDI"	"CA-125"	"Bone fracture"	"Inverse variance weighted"	-0.00774943286142454	0.0122553227707416	0.527169952144356	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Bone fracture"	"Inverse variance weighted"	-0.0258191214470284	0.0492609819121447	0.600188646297589	1	"pan"
"CCL20_CVDI"	"CCL20"	"Bone fracture"	"Inverse variance weighted"	-0.0466165493953461	0.0522057073014067	0.371889457435332	2	"pan"
"CCL3_CVDI"	"CCL3"	"Bone fracture"	"Inverse variance weighted"	0.00264040707430969	0.0186552004946575	0.887445480012136	3	"pan"
"CCL4_CVDI"	"CCL4"	"Bone fracture"	"Inverse variance weighted"	-0.00213614071593032	0.0151811211013574	0.888098776017	4	"pan"
"CD40_CVDI"	"CD40"	"Bone fracture"	"Inverse variance weighted"	0.00130208778916073	0.0148766015819597	0.930253507391026	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Bone fracture"	"Inverse variance weighted"	0.000404297310163212	0.0114626769048824	0.971863840064021	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Bone fracture"	"Inverse variance weighted"	0.0898859749144812	0.0373432155074116	0.0160831613005091	1	"pan"
"CSTB_CVDI"	"CSTB"	"Bone fracture"	"Inverse variance weighted"	-0.0248847752172271	0.0134095202115603	0.063488582678468	1	"pan"
"CTSD_CVDI"	"CTSD"	"Bone fracture"	"Inverse variance weighted"	0.00921168089481067	0.0219177554468152	0.674278031380237	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Bone fracture"	"Inverse variance weighted"	-0.0154371090242234	0.0206678601318475	0.455115622321322	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Bone fracture"	"Inverse variance weighted"	0.0821566885125112	0.0388520956000234	0.0344639501337151	5	"pan"
"CXCL1_CVDI"	"CXCL1"	"Bone fracture"	"Inverse variance weighted"	0.00456348875480493	0.0241745742441708	0.850271322658502	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Bone fracture"	"Inverse variance weighted"	-0.00351949423488151	0.0366502617797362	0.923497404960354	9	"pan"
"CXCL6_CVDI"	"CXCL6"	"Bone fracture"	"Inverse variance weighted"	0.0164297896532121	0.0128804244836081	0.202110129534919	1	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Bone fracture"	"Inverse variance weighted"	0.114919279456792	0.0865797817176809	0.18440207316382	5	"pan"
