"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Bone mineral density"	"Inverse variance weighted"	0.041846969577501	0.00961972457364731	1.36062193179766e-05	4	"pan"
"AGRP_CVDI"	"AGRP"	"Bone mineral density"	"Inverse variance weighted"	-0.162219219219219	0.0292088588588589	2.79576841854283e-08	1	"pan"
"CA-125_CVDI"	"CA-125"	"Bone mineral density"	"Inverse variance weighted"	-0.00199058528589663	0.00453675030697439	0.660828942174309	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Bone mineral density"	"Inverse variance weighted"	0.01564165374677	0.013778811369509	0.256293138370368	1	"pan"
"CCL20_CVDI"	"CCL20"	"Bone mineral density"	"Inverse variance weighted"	-0.0136667604094555	0.014605859034032	0.349425621576805	2	"pan"
"CCL3_CVDI"	"CCL3"	"Bone mineral density"	"Inverse variance weighted"	0.0161853382733358	0.0133034707429912	0.223746835386805	2	"pan"
"CCL4_CVDI"	"CCL4"	"Bone mineral density"	"Inverse variance weighted"	0.0295726976911418	0.0246967087696111	0.231137139583168	3	"pan"
"CD40_CVDI"	"CD40"	"Bone mineral density"	"Inverse variance weighted"	-0.000928672924619591	0.00421886253798839	0.825774578848009	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Bone mineral density"	"Inverse variance weighted"	0.000778320165212235	0.00716285874518483	0.913471733680324	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Bone mineral density"	"Inverse variance weighted"	-0.0400833523375142	0.0104554732041049	0.000126220025706016	1	"pan"
"CSTB_CVDI"	"CSTB"	"Bone mineral density"	"Inverse variance weighted"	-0.000137356063468077	0.00381849263316963	0.971305260248365	1	"pan"
"CTSD_CVDI"	"CTSD"	"Bone mineral density"	"Inverse variance weighted"	0.0138459041802666	0.0129212035536027	0.283915645397415	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Bone mineral density"	"Inverse variance weighted"	0.0185646149895664	0.0149902575659455	0.215550968784431	10	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Bone mineral density"	"Inverse variance weighted"	0.00241515561565643	0.0471636580708991	0.959159793804895	5	"pan"
"CXCL1_CVDI"	"CXCL1"	"Bone mineral density"	"Inverse variance weighted"	-0.00993306083258523	0.00681915599153993	0.145215559358717	2	"pan"
