"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Coronary heart disease"	"Inverse variance weighted"	-0.00886856460994072	0.0990051987450717	0.928623555524103	4	"pan"
"AGRP_CVDI"	"AGRP"	"Coronary heart disease"	"Inverse variance weighted"	0.0945045045045045	0.151801801801802	0.53357900913962	1	"pan"
"CA-125_CVDI"	"CA-125"	"Coronary heart disease"	"Inverse variance weighted"	0.0565487735310896	0.0780969766115231	0.469014148554537	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Coronary heart disease"	"Inverse variance weighted"	-0.0304909560723514	0.0804072351421189	0.704534434060861	1	"pan"
"CCL20_CVDI"	"CCL20"	"Coronary heart disease"	"Inverse variance weighted"	0.17838260178979	0.296580465956505	0.54753069429893	2	"pan"
"CCL3_CVDI"	"CCL3"	"Coronary heart disease"	"Inverse variance weighted"	0.0121251839354122	0.113382608885893	0.914836245672009	3	"pan"
"CCL4_CVDI"	"CCL4"	"Coronary heart disease"	"Inverse variance weighted"	0.0361775936869483	0.021176348778337	0.0875628527220897	4	"pan"
"CD40_CVDI"	"CD40"	"Coronary heart disease"	"Inverse variance weighted"	-0.008728686042439	0.0204174909663624	0.669007743308554	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Coronary heart disease"	"Inverse variance weighted"	0.405837696335079	0.151083769633508	0.00722748630606245	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Coronary heart disease"	"Inverse variance weighted"	0.00613976689327487	0.0480103492212925	0.898240585415531	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Coronary heart disease"	"Inverse variance weighted"	0.125530216647662	0.0538124287343216	0.0196619792691871	1	"pan"
"CSTB_CVDI"	"CSTB"	"Coronary heart disease"	"Inverse variance weighted"	0.0187371597689531	0.0181471915965313	0.301833188764769	2	"pan"
"CTSD_CVDI"	"CTSD"	"Coronary heart disease"	"Inverse variance weighted"	-0.0213705188942278	0.0557458749627794	0.701455779541357	5	"pan"
