"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"eGFR (creatinine)"	"Inverse variance weighted"	-0.000408195461491407	0.0325274383705655	0.989987397580071	3	"pan"
"AGRP_CVDI"	"AGRP"	"eGFR (creatinine)"	"Inverse variance weighted"	-0.168918918918919	0.0688188188188188	0.0141062829473795	1	"pan"
"CA-125_CVDI"	"CA-125"	"eGFR (creatinine)"	"Inverse variance weighted"	0.00864400836775464	0.0142085972195806	0.542945647096295	2	"pan"
"CASP-8_CVDI"	"CASP-8"	"eGFR (creatinine)"	"Inverse variance weighted"	-0.0129198966408269	0.0301464254952627	0.668235141795249	1	"pan"
"CCL20_CVDI"	"CCL20"	"eGFR (creatinine)"	"Inverse variance weighted"	0.00796427829995415	0.0331014548484794	0.809863551690315	2	"pan"
"CCL3_CVDI"	"CCL3"	"eGFR (creatinine)"	"Inverse variance weighted"	0.000346506965513032	0.0288788295798947	0.990426692206362	3	"pan"
"CCL4_CVDI"	"CCL4"	"eGFR (creatinine)"	"Inverse variance weighted"	-0.0153961805700374	0.0145255067852111	0.289171429599553	4	"pan"
"CD40_CVDI"	"CD40"	"eGFR (creatinine)"	"Inverse variance weighted"	-0.00730493982101709	0.00896695932208016	0.415272272081026	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0124979840686218	0.037049348346086	0.735865555195233	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"eGFR (creatinine)"	"Inverse variance weighted"	-0.0118776130748765	0.0237552261497529	0.617075077451974	1	"pan"
"CSTB_CVDI"	"CSTB"	"eGFR (creatinine)"	"Inverse variance weighted"	-0.00865759979851404	0.00865759979851404	0.317310507862914	1	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0355878999561705	0.0542762551140718	0.512029506262842	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (creatinine)"	"Inverse variance weighted"	0.00325683840323704	0.0133962983020917	0.807916465170082	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"eGFR (creatinine)"	"Inverse variance weighted"	0.00217959927049327	0.021995091950197	0.921062999585855	4	"pan"
"CXCL1_CVDI"	"CXCL1"	"eGFR (creatinine)"	"Inverse variance weighted"	0.00409366688124681	0.0164012051259831	0.802900184267367	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0151782293177674	0.0261343558819326	0.561390848236644	10	"pan"
"CXCL6_CVDI"	"CXCL6"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0157918008969743	0.00947508053818458	0.0955807045456294	1	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0140270090011957	0.0283964881479731	0.621327472329984	5	"pan"
"ECP_CVDI"	"ECP"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0124800319488818	0.0208000532481363	0.548506235500147	1	"pan"
"EGF_CVDI"	"EGF"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0689741660396288	0.0344870830198144	0.0455002638963584	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"eGFR (creatinine)"	"Inverse variance weighted"	-0.0100462125778581	0.0301386377335744	0.738882680363527	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"eGFR (creatinine)"	"Inverse variance weighted"	-0.0251572327044025	0.0345911949685535	0.467058901715173	1	"pan"
"FABP4_CVDI"	"FABP4"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0131215916581399	0.038554053003299	0.733598441681865	2	"pan"
"FAS_CVDI"	"FAS"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0118950516585101	0.0186922240348015	0.524539436435313	1	"pan"
"FGF-23_CVDI"	"FGF-23"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0303844188331981	0.116446878160864	0.794146920389729	7	"pan"
"FS_CVDI"	"FS"	"eGFR (creatinine)"	"Inverse variance weighted"	0.16152094831652	0.0607135645345687	0.007805331567664	4	"pan"
"GAL_CVDI"	"GAL"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0217798439352284	0.0152187833562117	0.152396980457295	4	"pan"
"GDF-15_CVDI"	"GDF-15"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0225896810337038	0.0169422607752779	0.182422439451736	1	"pan"
"Gal-3_CVDI"	"Gal-3"	"eGFR (creatinine)"	"Inverse variance weighted"	-0.00494835077884411	0.0111304135732856	0.656623854678517	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"eGFR (creatinine)"	"Inverse variance weighted"	0.00883220213879372	0.0209452881806746	0.673258847894877	5	"pan"
"HGF_CVDI"	"HGF"	"eGFR (creatinine)"	"Inverse variance weighted"	0.0237909880816189	0.0502874694700461	0.636142031494446	2	"pan"
