"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Fasting glucose"	"Inverse variance weighted"	0.0146199012658758	0.0224680057641231	0.515241027728055	4	"pan"
"AGRP_CVDI"	"AGRP"	"Fasting glucose"	"Inverse variance weighted"	-0.0267280983304927	0.0678482496081739	0.693625785030416	1	"pan"
"CA-125_CVDI"	"CA-125"	"Fasting glucose"	"Inverse variance weighted"	-0.0371390611598773	0.0524791081606962	0.479136355375383	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Fasting glucose"	"Inverse variance weighted"	-0.0219939544890934	0.0326361905322031	0.50036659904388	1	"pan"
"CCL20_CVDI"	"CCL20"	"Fasting glucose"	"Inverse variance weighted"	-0.00963124547309712	0.052308222166821	0.853915483577556	2	"pan"
"CCL3_CVDI"	"CCL3"	"Fasting glucose"	"Inverse variance weighted"	0.00358832319004788	0.0121860225414337	0.768404732180949	3	"pan"
"CCL4_CVDI"	"CCL4"	"Fasting glucose"	"Inverse variance weighted"	0.0112749896955489	0.0159443603803398	0.479475790025071	2	"pan"
"CD40_CVDI"	"CD40"	"Fasting glucose"	"Inverse variance weighted"	0.00152112594872177	0.00937826832363092	0.871150809377534	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Fasting glucose"	"Inverse variance weighted"	-0.00845683238799256	0.0551386689043804	0.878103430459346	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Fasting glucose"	"Inverse variance weighted"	0.0249815468651636	0.0249815468651636	0.317310507862914	1	"pan"
"CTSD_CVDI"	"CTSD"	"Fasting glucose"	"Inverse variance weighted"	-0.0229184692179033	0.153255425239979	0.881124187251985	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Fasting glucose"	"Inverse variance weighted"	0.0141043404905334	0.0173804778411581	0.417075860756747	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Fasting glucose"	"Inverse variance weighted"	0.0254417811062957	0.0409862974695238	0.534771560389686	3	"pan"
"CXCL1_CVDI"	"CXCL1"	"Fasting glucose"	"Inverse variance weighted"	-0.0023381251010848	0.018342786613163	0.898569706443334	2	"pan"
