"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Fasting insulin"	"Inverse variance weighted"	-0.0115765725995484	0.024731215794181	0.639716245792056	4	"pan"
"AGRP_CVDI"	"AGRP"	"Fasting insulin"	"Inverse variance weighted"	-0.00190063481202722	0.0627209487968981	0.97582537985171	1	"pan"
"CA-125_CVDI"	"CA-125"	"Fasting insulin"	"Inverse variance weighted"	-0.0313470265106281	0.0507523286362551	0.536808016981021	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Fasting insulin"	"Inverse variance weighted"	0.0209877352921886	0.030825736210402	0.495965735328731	1	"pan"
"CCL20_CVDI"	"CCL20"	"Fasting insulin"	"Inverse variance weighted"	-0.157794867502309	0.0500382109616548	0.00161332196019902	2	"pan"
"CCL3_CVDI"	"CCL3"	"Fasting insulin"	"Inverse variance weighted"	-0.00381988570844857	0.0296588496776776	0.897520551295708	3	"pan"
"CCL4_CVDI"	"CCL4"	"Fasting insulin"	"Inverse variance weighted"	0.0284238099051861	0.0461273051094575	0.537760175087132	2	"pan"
"CD40_CVDI"	"CD40"	"Fasting insulin"	"Inverse variance weighted"	-0.00576437262214885	0.0104165627941938	0.579999609503367	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Fasting insulin"	"Inverse variance weighted"	0.00133101573783958	0.0306264801038429	0.965335138335539	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Fasting insulin"	"Inverse variance weighted"	0.033918854553065	0.0230936882063421	0.141900610277981	1	"pan"
"CTSD_CVDI"	"CTSD"	"Fasting insulin"	"Inverse variance weighted"	-0.0507304662435737	0.0745441314926742	0.49616087970434	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Fasting insulin"	"Inverse variance weighted"	0.00115098099226971	0.0162608465114551	0.943570976152861	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Fasting insulin"	"Inverse variance weighted"	0.0563957980768263	0.0378391534306715	0.136116843834545	3	"pan"
"CXCL1_CVDI"	"CXCL1"	"Fasting insulin"	"Inverse variance weighted"	-0.0178692534189516	0.0163058452110347	0.273131191419372	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Fasting insulin"	"Inverse variance weighted"	0.0216618733530517	0.0204017652826358	0.288342537570853	6	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Fasting insulin"	"Inverse variance weighted"	-0.00351195772390261	0.016931074482867	0.835676594772754	5	"pan"
"EGF_CVDI"	"EGF"	"Fasting insulin"	"Inverse variance weighted"	0.0473475698135086	0.0318871388539956	0.137583964946946	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Fasting insulin"	"Inverse variance weighted"	-0.0567409026810076	0.0292048763799304	0.0520334213607994	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Fasting insulin"	"Inverse variance weighted"	0.00191356430054441	0.0363577217103438	0.958025455470674	1	"pan"
"FABP4_CVDI"	"FABP4"	"Fasting insulin"	"Inverse variance weighted"	-0.174998541678819	0.0536662194481713	0.00111071120866263	1	"pan"
"FAS_CVDI"	"FAS"	"Fasting insulin"	"Inverse variance weighted"	0.0123897825593161	0.0175521919590311	0.480261302753423	1	"pan"
"FGF-23_CVDI"	"FGF-23"	"Fasting insulin"	"Inverse variance weighted"	0.0101698742429013	0.02151641094712	0.636458174721476	7	"pan"
