"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"HDL cholesterol"	"Inverse variance weighted"	0.0164176496740986	0.0466282033666076	0.724765531792331	4	"pan"
"AGRP_CVDI"	"AGRP"	"HDL cholesterol"	"Inverse variance weighted"	0.0585585585585586	0.0750750750750751	0.435390875171466	1	"pan"
"CA-125_CVDI"	"CA-125"	"HDL cholesterol"	"Inverse variance weighted"	0.00648584905660377	0.0636792452830189	0.918874267786572	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"HDL cholesterol"	"Inverse variance weighted"	0.00466321243523316	0.0362694300518135	0.897696775323655	1	"pan"
"CCL20_CVDI"	"CCL20"	"HDL cholesterol"	"Inverse variance weighted"	0.0542331027774187	0.0581233013946011	0.350783881178116	2	"pan"
"CCL3_CVDI"	"CCL3"	"HDL cholesterol"	"Inverse variance weighted"	-0.0280958484171741	0.0718774463651663	0.695881904669238	3	"pan"
"CCL4_CVDI"	"CCL4"	"HDL cholesterol"	"Inverse variance weighted"	-0.0264091114238341	0.0282524822433433	0.349915261589086	2	"pan"
"CD40_CVDI"	"CD40"	"HDL cholesterol"	"Inverse variance weighted"	0.00801522412031074	0.00770191058837392	0.298024099945394	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"HDL cholesterol"	"Inverse variance weighted"	-0.00634816424074358	0.0208893817505489	0.761208413341167	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"HDL cholesterol"	"Inverse variance weighted"	-0.0843785632839225	0.0279361459521095	0.00252434248633068	1	"pan"
"CTSD_CVDI"	"CTSD"	"HDL cholesterol"	"Inverse variance weighted"	-0.0230195136307944	0.04816727011183	0.632715836322429	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"HDL cholesterol"	"Inverse variance weighted"	-0.021847856571734	0.0275003575650772	0.426929326498059	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"HDL cholesterol"	"Inverse variance weighted"	-0.0685643057110051	0.0843789025434148	0.4164609611809	3	"pan"
"CXCL1_CVDI"	"CXCL1"	"HDL cholesterol"	"Inverse variance weighted"	0.0498554812922944	0.0804348341205149	0.535373333102394	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"HDL cholesterol"	"Inverse variance weighted"	0.117893272857407	0.0563738466444844	0.0365033293958318	6	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"HDL cholesterol"	"Inverse variance weighted"	0.0433335002562801	0.0477882253780748	0.364522116157665	5	"pan"
"EGF_CVDI"	"EGF"	"HDL cholesterol"	"Inverse variance weighted"	0.0786259541984733	0.0381679389312977	0.0393985408187538	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"HDL cholesterol"	"Inverse variance weighted"	0.0718523401450231	0.034937376400791	0.0397243549569646	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"HDL cholesterol"	"Inverse variance weighted"	-0.0287226001511716	0.0430839002267574	0.504985075093846	1	"pan"
"FABP4_CVDI"	"FABP4"	"HDL cholesterol"	"Inverse variance weighted"	0.0711610486891386	0.0674157303370786	0.291171315245308	1	"pan"
"FAS_CVDI"	"FAS"	"HDL cholesterol"	"Inverse variance weighted"	-0.00611745513866232	0.0212071778140294	0.772993467640966	1	"pan"
"FGF-23_CVDI"	"FGF-23"	"HDL cholesterol"	"Inverse variance weighted"	0.053910157156009	0.0331333896365561	0.103723431011571	7	"pan"
"FS_CVDI"	"FS"	"HDL cholesterol"	"Inverse variance weighted"	-0.0458041128016869	0.0821155294281682	0.576980376489957	3	"pan"
