"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Heart rate"	"Inverse variance weighted"	-0.00018687060242802	0.0238768338947162	0.993755468289316	4	"pan"
"AGRP_CVDI"	"AGRP"	"Heart rate"	"Inverse variance weighted"	-0.019019019019019	0.0543543543543543	0.726407803798512	1	"pan"
"CA-125_CVDI"	"CA-125"	"Heart rate"	"Inverse variance weighted"	-0.0677279874213837	0.0421383647798742	0.107993810465709	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Heart rate"	"Inverse variance weighted"	-0.0230742659758204	0.0275647668393782	0.402540445518096	1	"pan"
"CCL20_CVDI"	"CCL20"	"Heart rate"	"Inverse variance weighted"	0.0629517747900185	0.0427783699750876	0.141134449014591	2	"pan"
"CCL3_CVDI"	"CCL3"	"Heart rate"	"Inverse variance weighted"	0.00452281599609883	0.0224494870652461	0.840333946512644	3	"pan"
"CCL4_CVDI"	"CCL4"	"Heart rate"	"Inverse variance weighted"	0.0109008024231168	0.0262206646863119	0.677605200070049	2	"pan"
"CD40_CVDI"	"CD40"	"Heart rate"	"Inverse variance weighted"	0.00476611254870799	0.00746723230369636	0.523297746578754	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Heart rate"	"Inverse variance weighted"	0.00465186638271646	0.0145611054333543	0.749368573321851	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Heart rate"	"Inverse variance weighted"	-0.00649942987457241	0.019612314709236	0.740345877694572	1	"pan"
"CTSD_CVDI"	"CTSD"	"Heart rate"	"Inverse variance weighted"	0.0102422641864456	0.0434036130135563	0.81345034239368	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Heart rate"	"Inverse variance weighted"	0.034194723733933	0.0129521945156268	0.00828884597848828	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Heart rate"	"Inverse variance weighted"	-0.0154274125946919	0.0345443231006732	0.655165611965798	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Heart rate"	"Inverse variance weighted"	0.0196584636113223	0.0122311458744261	0.108000355166833	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Heart rate"	"Inverse variance weighted"	-0.025801938023144	0.019093955256373	0.176594718808542	6	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Heart rate"	"Inverse variance weighted"	-0.00116207691492667	0.0146177479590803	0.936636784192504	5	"pan"
"EGF_CVDI"	"EGF"	"Heart rate"	"Inverse variance weighted"	-0.00402035623409669	0.0269211195928753	0.881286636458605	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Heart rate"	"Inverse variance weighted"	0.0101955614150736	0.0245660294440782	0.678122259621867	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Heart rate"	"Inverse variance weighted"	-0.00428319475938524	0.0312421264802217	0.890954302215031	1	"pan"
